"pred.var","coef"
"cg15653945",0.004627384
"cg03489416",0.002801733
"cg22817198",-0.002877328
"cg04529955",-0.008103272
"cg15273066",-0.003647635
"cg14684441",-0.000385505
"cg14895945",0.015992026
"cg13120814",0.001678844
"cg07882171",-0.016086729
"cg05033322",-0.004541294
"cg03710176",0.007483479
"cg02424179",0.000296103
"cg00486627",0.006245576
"cg23149492",0.005570797
"cg00930213",-0.001101048
"cg07830103",0.002827941
"cg15173150",0.001054323
"cg12532001",-5.08e-05
"cg02667677",-0.004456403
"cg02740128",0.004492859
"cg00521588",-0.006997762
"cg18430156",-5.95e-05
"cg25780389",0.001364893
"cg07973470",0.006651554
"cg01620569",0.009355102
"cg01457752",0.00539588
"cg14860120",0.013238022
"cg09977064",0.001563343
"cg11485704",0.004711874
"cg07316489",-0.009666966
"cg13438961",0.0068792
"cg24342146",-0.018861886
"cg14067419",-0.006051897
"cg03704912",-0.025251522
"cg05064352",-0.020503634
"cg00473245",0.008955188
"cg11903057",-0.005848701
"cg01786994",0.023851734
"cg23304605",0.002003791
"cg18342621",0.010721683
"cg23247274",-8.01e-05
"cg00750088",0.008602522
"cg01660473",-0.024385355
"cg03438305",0.001756642
"cg23497436",-0.001370306
"cg08610862",-0.000449905
"cg22570213",0.008690837
"cg10899547",0.018217682
"cg26685515",0.007262423
"cg18910313",0.021030357
"cg00968241",-0.01046396
"cg13257654",0.007706444
"cg15011409",0.04527821
"cg24608381",0.003483
"cg03650189",0.104878054
"cg20248866",0.004210161
"cg08883485",-0.027261772
"cg15194935",0.011049727
"cg23917477",-0.000929693
"cg25972787",0.016091064
"cg26274929",0.012857319
"cg21994045",0.010350661
"cg04850017",-0.002434151
"cg08010094",0.003069047
"cg26767990",-0.000439534
"cg03636183",-0.044873746
"cg23302570",0.034788356
"cg22853855",-0.004672878
"cg14994247",0.012795601
"cg17755564",-0.003279897
"cg18493113",0.013147341
"cg20893919",0.005281356
"cg01333287",-0.008456825
"cg15833286",-0.00359065
"cg24581650",-0.006131122
"cg20036207",-0.074634861
"cg15844419",-0.008418051
"cg16005592",-0.026040247
"cg00517612",0.013194933
"cg00474696",-0.001668208
"cg12777474",-0.005476485
"cg17922283",-0.010648825
"cg27078670",6.03e-05
"cg20295214",-0.025805192
"cg06556905",-0.001905169
"cg18862137",0.000915596
"cg04824469",-0.004214943
"cg14512156",0.007502197
"cg20320946",-0.025648272
"cg19287064",-0.002426204
"cg06359938",-0.000600976
"cg09659587",-0.005205474
"cg15418419",-0.012020839
"cg19439777",0.037337597
"cg04734587",0.004282074
"cg16616053",-0.00750711
"cg15059371",-0.003372615
"cg15123428",0.00748689
"cg18236745",-0.012774215
"cg09346503",-0.011971378
"cg12588208",-0.00712528
"cg11920264",-0.004241322
"cg18500830",-0.004086197
"cg08853359",-0.004212127
"cg22607266",-0.007236962
"cg09389557",0.007993475
"cg06624020",-0.011165015
"cg23413051",-0.002985427
"cg21503148",0.013498584
"cg05575921",-0.037126975
"cg07315969",-0.000612294
"cg08993681",0.006985742
"cg00777560",-0.007417402
"cg16178942",0.020034209
"cg04426109",-0.000899675
"cg19862272",-0.002460091
"cg05516773",-0.001453547
"cg08466517",-0.003720318
"cg19972273",-0.008446671
"cg03052099",0.006008176
"cg17167581",-0.004894178
"cg01329394",-0.005142707
"cg13668646",0.011004724
"cg19021412",-0.001974659
"cg17287155",-0.01487953
"cg21195176",0.011022967
"cg11225745",-0.010885202
"cg25990678",-0.0054622
"cg11516540",0.003999062
"cg21631753",0.013228986
"cg25882887",0.002530976
"cg05006473",0.007181239
