"pred.var","coef"
"cg15716707",-0.001812968
"cg09635784",-0.001667003
"cg11868916",-0.023944919
"cg00224299",0.007322907
"cg09864156",-0.003664818
"cg26870725",0.011145459
"cg00574958",-0.043462469
"cg11252953",0.004388993
"cg22222999",0.009942426
"cg15756114",0.014718139
"cg03607951",0.000727572
"cg17038235",0.001459824
"cg08973382",-0.004166553
"cg06500161",0.006762483
"cg16988970",-0.008955709
"cg08371947",0.009334617
"cg00935421",0.022827256
"cg25009141",0.007781408
"cg22798214",-0.013805744
"cg25792439",0.002800518
"cg10851168",-0.012215421
"cg19693031",-0.011496083
"cg23661483",0.001875461
"cg23304156",-0.005231517
"cg27546431",0.008768356
"cg00784161",0.014632963
"cg26688191",0.00269369
"cg27409802",-0.000368111
"cg03916364",8.57e-06
"cg21599081",-0.007566674
"cg22828990",-0.000462577
"cg13376246",-0.013497256
"cg22871175",0.001233035
"cg11892946",-0.012863492
"cg25547939",-0.001223758
"cg27055236",0.002039544
"cg09830278",-0.000102384
