"pred.var","coef"
"cg21872608",0.000151516
"cg24504518",0.009130405
"cg05875421",-8.14e-05
"cg03578689",0.00203689
"cg07305776",-0.000879141
"cg24390938",0.005766714
"cg15020801",0.007175981
"cg17372101",0.025531063
"cg14973055",0.017816947
"cg23673974",0.000524009
"cg03547355",-0.004715202
"cg23101885",-0.003032584
"cg09762515",0.010344202
"cg03636183",-0.007923182
"cg25772143",0.00053604
"cg21161138",-0.005124291
"cg25648203",-0.048698576
"cg06690548",-0.027545505
"cg15499736",0.011855622
"cg05575921",-0.209423696
"cg22213242",-0.005195969
"cg06560955",0.019662229
"cg21610297",-0.003849686
"cg25848990",-0.00318766
"cg07455685",-0.001620581
"cg05417607",0.002844301
"cg02049041",-0.013584316
