"pred.var","coef"
"cg26260819",0.01561773
"cg14965477",0.026917589
"cg16420636",0.015395929
"cg06553107",0.022431578
"cg18326657",0.033958472
"cg22563312",0.054388139
"cg16996262",0.025138659
"cg20686234",0.009720235
"cg23903483",0.000358151
"cg06662976",0.004218908
"cg12137194",0.009628626
"cg00942551",0.044446178
"cg26797585",0.042543628
"cg03945320",0.033467978
"cg12410692",0.016881126
"cg21393163",0.019306104
"cg12145907",-0.005853127
"cg05893785",-0.006983873
"cg04334496",-0.008762471
"cg00008629",0.0028668
"cg08173263",-0.073175238
"cg07167185",-0.039724371
"cg10322443",-0.011870405
"cg08899667",-0.002852303
"cg05135521",0.001793632
"cg04972384",-0.002564113
"cg00988037",-0.001812054
"cg20118840",-0.009633286
"cg11847235",-0.00214427
"cg14753631",-0.001753565
"cg17071432",-0.023606346
"cg22738586",-0.031696251
"cg10882886",-0.046085593
"cg25101337",-0.061421197
"cg10506497",-0.003770184
"cg17136719",-0.051421099
"cg25010805",-0.012460567
"cg22128613",-0.006891365
"cg17754168",-0.016018798
"cg18990050",-0.003326344
"cg05168012",-0.02591732
