"pred.var","coef"
"cg19930420",0.021739955
"cg00878630",-0.023812941
"cg15933527",-0.014675987
"cg15957017",-0.007555422
"cg10727654",-0.002534402
"cg25419914",0.010311943
"cg18885387",0.000462912
"cg05509697",0.021102609
"cg07190917",-0.023672026
"cg11007423",0.003212171
"cg07398558",0.007451848
"cg10938702",0.015046382
"cg18800085",0.0004077
"cg13021409",-0.011056849
"cg12131414",0.00121261
"cg25874782",0.003566
"cg07642638",-0.001950592
"cg12986700",0.002222276
"cg07644446",0.034172235
"cg00306909",-0.007346752
"cg12636435",0.013240053
"cg03263197",-0.013128716
"cg24251439",0.02519749
"cg11100481",0.001986466
"cg18105361",-0.024473251
"cg20820876",-0.003190226
"cg06381803",0.005089819
"cg00254017",-0.028188993
"cg06495615",0.00538685
"cg20808080",-0.002318266
"cg07731047",-0.029861457
"cg17922283",-0.017338677
"cg10963058",0.014071256
"cg06677367",0.008088082
"cg02474076",-0.017387526
"cg12159023",-0.010451158
"cg03002586",-0.001851768
"cg17898884",0.000662124
"cg18236745",-0.034239066
"cg16305094",0.013013851
"cg08878757",0.004450626
"cg05168141",-0.029829638
"cg26023960",0.019275362
"cg04130549",0.022070167
"cg20946538",-0.001968913
"cg06624020",-0.001483343
"cg15298545",0.001846779
"cg25189523",-0.008110668
"cg03394018",0.017889158
"cg04212926",-0.027784451
"cg04664643",-0.078435203
"cg17719473",-0.005623811
"cg11712962",0.001113953
"cg19091930",-0.001041216
"cg04227892",-0.005598482
"cg04683149",-0.003189085
"cg02367916",0.007680549
"cg00270654",-0.012610587
"cg10328290",-0.038289701
"cg02146941",0.00277324
"cg17350552",-0.006119202
"cg15644756",-0.001140583
