"pred.var","coef"
"cg22760295",-0.00484352
"cg18109106",-0.000103981
"cg13529912",-0.005129733
"cg25646046",-0.008211426
"cg26884816",-0.076928715
"cg07626874",-0.016639541
"cg05427356",-8.37e-05
"cg10833576",0.000842284
"cg16863212",0.001032057
"cg27209395",-0.010033198
"cg03168184",-0.010628616
"cg02768139",-0.007758117
"cg01907658",-0.007410362
"cg18176922",-0.010766417
"cg03485262",0.001131896
"cg00504690",0.0040227
"cg23848131",-0.007313948
"cg27416749",-0.003673969
"cg01272707",-0.024640039
"cg00387457",-0.000278798
"cg21665057",-0.046943783
"cg19246266",-0.028979823
"cg22408278",-0.003607139
"cg09789664",-0.001017639
"cg11462509",-0.002298652
"cg04383369",-0.004511496
"cg00696803",-0.023822664
"cg11713336",0.018128721
"cg22625347",-0.005392253
"cg00443971",0.009318111
"cg21612339",-0.001995471
"cg08278706",-0.027601483
"cg27394046",-0.017705415
"cg07220293",-0.008903987
"cg08581512",-0.0018214
"cg10125865",-0.008553105
"cg19296960",0.002703792
"cg20860638",-0.035218885
"cg06095699",-0.004138391
"cg26033254",0.003354664
"cg24881159",0.002108087
"cg23781810",0.000768158
"cg08178278",-0.000553905
"cg15570148",-0.001418514
"cg24012595",-0.003605123
"cg19156280",-0.008082542
"cg05068340",-0.001872127
"cg04055819",-0.003882132
"cg06291595",-0.008725144
"cg17484733",-0.006947125
"cg10149976",0.000968245
"cg04859477",0.00439613
"cg04915494",-0.010643385
"cg04159903",-0.002948748
"cg25390656",-0.021298027
"cg22103637",-0.001907735
"cg15717853",-0.006026942
"cg06936355",0.009923054
"cg04166812",-0.007974815
"cg10805511",-0.013434023
"cg26829310",-0.003780477
"cg20000562",-0.001985994
"cg01528052",-0.015403787
"cg05826596",-0.007340687
"cg18457597",9.66e-05
"cg24308560",0.081793928
"cg00110654",-0.008702406
"cg20858400",0.00056764
"cg26386673",-0.002097784
"cg11301354",0.000141949
"cg13436843",-0.012509309
"cg21582582",-0.010275156
"cg03357999",0.005259386
"cg02938205",0.007481205
"cg08736088",-0.001484721
"cg00466136",0.007196561
"cg11520030",0.007246372
"cg00977403",0.001770134
"cg13910493",-0.00348528
"cg14899046",-0.001965899
"cg06697425",0.006280088
"cg05126514",0.584091035
"cg21121119",-0.00476347
"cg15769343",-0.007169317
"cg22220710",0.002318542
"cg26139975",0.001013872
"cg01021658",0.004451017
"cg25661769",-0.00403976
"cg03930924",0.014193895
"cg11876912",-0.013608217
"cg22260625",0.001719366
"cg05627765",0.001441491
"cg07948496",0.000919012
"cg16490015",0.00188233
"cg20090970",0.011648105
"cg21919992",0.003212084
"cg26603685",0.003356119
"cg03939371",-0.004133068
"cg23685650",-0.003570446
"cg01604429",0.005993522
"cg18135489",-0.006627158
"cg05623727",-0.005655225
"cg14315842",0.002231631
"cg25382821",-0.013352851
"cg01099150",0.000318234
"cg18195656",0.009549058
"cg25111926",0.001637689
"cg05536286",0.000541589
"cg00828709",-0.008473214
"cg10928426",-0.016380634
"cg20180538",-0.001299172
"cg23887776",0.004762109
"cg02642126",0.001922615
"cg01929435",0.019658426
"cg17405812",-0.005947449
"cg11147723",0.009456379
"cg00559919",0.03642218
"cg00857862",-0.006973488
"cg09190795",0.004736877
"cg00206542",0.000472426
"cg22476251",0.005551713
"cg17447514",-0.010402741
"cg18788205",-0.004567809
"cg03182620",0.013969941
"cg05817750",0.007956328
"cg04446870",3.35e-05
"cg07329131",0.00695385
"cg22017146",0.004303491
"cg18538501",-0.008421525
"cg00530320",-0.003068049
"cg07318808",-0.001711562
"cg25906360",0.001115539
"cg19461383",0.028209865
"cg11945095",-0.003810795
"cg17237181",0.000502233
"cg06083089",0.01554292
"cg03383695",0.004903955
"cg07960369",-0.019006062
"cg00465319",0.007291004
"cg16345055",0.02217133
"cg13958495",0.049247248
"cg21948027",0.000880151
"cg16562217",0.001252566
"cg13660942",0.003871588
"cg21899610",0.012182728
"cg15318662",-0.001338819
"cg22980380",0.003978561
"cg18727095",0.0117772
"cg21712732",-0.000954121
"cg16095355",-0.012425978
"cg22042896",0.001724473
"cg03670369",0.001622044
"cg00972522",0.009234446
"cg13663170",0.016210175
"cg12778183",0.011881686
"cg09796800",0.007754352
