"pred.var","coef","target"
"cg22719334",-0.008431446,"MMP.1"
"cg10098888",-0.000568948,"MMP.1"
"cg16489826",0.009331648,"MMP.1"
"cg09731958",-0.003723112,"MMP.1"
"cg15908791",0.002015331,"MMP.1"
"cg25312763",0.016633689,"MMP.1"
"cg23363971",0.006597124,"MMP.1"
"cg21037180",-0.041350784,"MMP.1"
"cg17063929",0.005780047,"MMP.1"
"cg24028809",-0.007067393,"MMP.1"
"cg02583484",-0.026342834,"MMP.1"
"cg02853948",-0.008237812,"MMP.1"
"cg26248581",0.003123759,"MMP.1"
"cg01612140",-0.011613183,"MMP.1"
"cg13308279",-0.012131257,"MMP.1"
"cg01914278",0.005651856,"MMP.1"
"cg21341592",-9.48e-05,"MMP.1"
"cg03615605",0.015224392,"MMP.1"
"cg15414698",-0.007752167,"MMP.1"
"cg19914732",-0.010818782,"MMP.1"
"cg01730148",0.003195628,"MMP.1"
"cg20536364",-0.014948981,"MMP.1"
"cg17571335",-0.044005984,"MMP.1"
"cg19570558",-0.001966212,"MMP.1"
"cg22877129",-0.037414837,"MMP.1"
"cg05211192",-0.007680875,"MMP.1"
"cg16300021",0.004694915,"MMP.1"
"cg12608169",0.005669206,"MMP.1"
"cg03723307",-0.014859334,"MMP.1"
"cg20948778",0.016178797,"MMP.1"
"cg26910511",-0.016686782,"MMP.1"
"cg23736989",0.000559769,"MMP.1"
"cg00281048",0.008384379,"MMP.1"
"cg25623774",-0.00680286,"MMP.1"
