"pred.var","coef"
"cg00257786",-0.000863475
"cg06079273",-0.011521721
"cg08592530",0.005915565
"cg10913456",-0.008400608
"cg23118464",0.001696159
"cg12359279",8.83e-06
"cg07860918",-0.023433599
"cg23083894",-0.007122644
"cg00574958",0.035083186
"cg01881899",-0.004520701
"cg21148362",0.005893912
"cg23480341",0.001457342
"cg11580704",-0.005586187
"cg14968300",-0.004421939
"cg26789064",-0.00901386
"cg21789008",0.003350011
"cg05925497",-0.038271815
"cg26403843",-0.008903076
"cg27537570",-0.004867286
"cg07504977",-0.04173394
"cg17378803",0.02461656
"cg13787850",0.032744677
"cg11945929",-0.037110571
"cg12954512",-0.000901094
"cg22871318",0.008158092
"cg18810310",0.031845447
"cg16677448",0.004676223
"cg21225804",0.007493187
"cg00310412",0.041010969
"cg08979515",0.005143152
"cg01347957",0.002246436
"cg12494515",0.007945743
"cg19341656",0.016398784
"cg18182981",-0.017335668
"cg05232694",0.014108921
"cg04757345",0.003740819
"cg02402368",0.00586158
"cg13388277",0.008542675
"cg21566642",0.019507868
"cg04865290",-0.000512332
"cg15711987",0.014722814
"cg06957790",0.007994674
"cg18858739",-0.014238545
"cg03172931",-0.021939949
"cg02638348",0.002467169
"cg24355809",-0.010183442
"cg17287605",0.008321448
"cg03046611",0.000138515
"cg07464859",0.000166565
"cg15742515",-0.008967188
"cg16316183",-0.005067284
"cg04747996",-0.000328576
"cg02204618",0.006603705
"cg10157558",-0.004798693
"cg12213687",-0.001784679
"cg09430882",-0.003242184
"cg26420469",0.000713664
"cg12734820",-0.006748475
"cg05575921",0.017970932
"cg07711036",0.002279111
"cg23840866",-0.000568975
"cg07829265",0.018186135
"cg25630265",-0.002353493
"cg21868353",-0.014049796
"cg20670488",0.008426379
"cg02064366",-0.002864161
