"pred.var","coef"
"cg04882937",0.000962726
"cg11317171",0.017608178
"cg22487209",0.018759778
"cg18837932",0.007748507
"cg03608000",0.002225858
"cg23037918",0.015125156
"cg22967284",0.027626853
"cg17563769",0.006679655
"cg17088155",0.000804928
"cg16849268",-0.002067549
"cg19188205",0.012120597
"cg15644174",0.000228916
"cg13578134",0.004805772
"cg00507008",0.005109546
"cg00832555",0.00160918
"cg15731180",0.009189854
"cg08949143",-0.008800887
"cg04874562",-0.015037236
"cg24638356",-0.005829688
"cg03618918",-0.002053781
"cg04015962",0.016556613
"cg19086603",0.043888409
"cg13729510",-0.016994377
"cg13207534",0.03752597
"cg19610383",-0.005036277
"cg00314343",-0.001007617
