"pred.var","coef"
"cg10857807",0.028955336
"cg25604739",0.008059925
"cg17025142",0.008053529
"cg08977266",0.00013428
"cg02341038",0.03696676
"cg21226534",0.008461026
"cg09782300",0.13160286
"cg22739477",0.018221759
"cg01244034",0.00606211
"cg08845510",0.011549771
"cg09421092",0.03644317
"cg07121078",-0.001242217
"cg08648346",0.022309248
"cg15863924",0.030505824
"cg09725147",-0.002836519
"cg02461391",0.002969409
"cg05477457",0.008261196
"cg06201907",0.015564122
"cg00574958",-0.003333063
"cg16589299",0.008666871
"cg00695799",-0.033025166
"cg19610615",-0.007273437
"cg02711608",-0.000770673
"cg07626482",-0.018203721
"cg19670290",-0.005733478
"cg00815399",0.012943023
"cg16054275",-0.004618653
"cg20217649",-0.001382513
"cg20952257",-0.008265439
"cg11024682",0.026515267
"cg15366301",0.000563587
"cg00214970",-0.010757399
"cg06500161",0.011135844
"cg01970336",-0.001531036
"cg20651995",-0.000138234
"cg24681499",0.002935878
"cg25256723",-0.011021263
"cg20211134",-0.001308548
"cg00372692",-0.003768697
"cg21736476",-0.001244668
"cg26126740",0.003278739
"cg24403644",0.014688599
"cg22486214",-0.001001335
"cg06690548",-0.044622503
"cg03984502",0.0277974
"cg09397997",-0.019636217
"cg15369633",0.000481299
"cg03661054",-0.022084869
"cg21027282",0.001559121
"cg07882535",-0.06726735
"cg07982740",0.002189017
"cg15476875",-0.00463754
"cg09936218",-0.007527992
"cg06217827",0.000750432
"cg21587477",-0.046025616
"cg01853541",-0.039747857
"cg02693438",-0.006276068
"cg11944462",-0.014167934
