"pred.var","coef"
"cg13781149",-0.011273324
"cg26709537",0.010068157
"cg03788131",-0.009756629
"cg10237911",-0.01526464
"cg26072213",0.013360839
"cg00854006",-0.008943424
"cg12051532",0.00116788
"cg04765236",-0.035502025
"cg16769688",-0.006349141
"cg09764440",-0.008094705
"cg16790610",-0.002647842
"cg19747876",-0.000436064
"cg22907174",0.007717167
"cg19311602",-0.004364679
"cg22350160",-0.00471416
"cg18844850",-0.00261127
"cg12615866",0.006348235
"cg21113044",0.007919767
"cg17567317",-0.00535421
"cg09775785",-0.001174259
"cg24085258",-0.005575299
"cg24328964",-0.012913742
"cg03628682",-0.006675909
"cg08159148",-0.003186557
"cg06113534",-0.010020094
"cg11706729",-0.002370824
"cg22175178",-0.006123819
"cg23048366",0.003204849
"cg10365046",-0.000111759
"cg08759689",-2.84e-05
"cg10403048",-0.01075939
"cg07190917",-0.005791884
"cg07611812",-0.001120806
"cg11608114",-0.000540803
"cg18845289",-0.015736289
"cg19850565",-0.000564152
"cg23107161",-0.001021709
"cg25143070",0.022015227
"cg02713901",-0.0007632
"cg24009736",-0.004846571
"cg03631864",-0.001004866
"cg19774488",0.006914419
"cg02650017",0.00930955
"cg05956273",-0.004738407
"cg09987651",-0.019641281
"cg00522018",-0.000614274
"cg00251618",-0.003095222
"cg16741710",-0.001351491
"cg17130457",0.007001513
"cg18179849",0.000873483
"cg01225698",0.000192451
"cg14026788",0.008385358
"cg27298570",-0.002942757
"cg15634398",-0.001880032
"cg27403635",-0.009787523
"cg26866348",-0.001413496
"cg03699074",0.004988189
"cg24336718",0.004595802
"cg10636246",0.004424431
"cg11751545",-0.019317736
"cg09599862",-0.020566579
"cg05438378",0.008872395
"cg23378546",-0.008743535
"cg05540716",-0.022944236
"cg19206146",0.00079104
"cg17077610",0.011643252
"cg22605919",0.004895919
"cg07504977",-0.008773238
"cg14728380",-0.022056063
"cg15772157",0.005444007
"cg13185308",-0.003157028
"cg19074393",0.014229669
"cg03405128",0.003285721
"cg20912517",-0.000278321
"cg12251803",0.020374356
"cg13526488",0.001352443
"cg23580038",0.002572423
"cg06473675",0.014357552
"cg09650488",0.013387398
"cg09497409",-0.012996941
"cg11070176",0.003330738
"cg06500161",-0.019359717
"cg01940273",0.044987151
"cg08364654",0.007486855
"cg07628841",0.022569945
"cg22744079",0.001063162
"cg07320695",-0.000314636
"cg11612852",0.002099947
"cg19401111",0.009518592
"cg02456521",0.010031921
"cg21566642",0.030105862
"cg17061862",0.019325958
"cg03130816",-0.008771993
"cg05183966",0.005661344
"cg22382854",0.001092337
"cg00210249",-0.043633856
"cg26286198",0.000991012
"cg07947016",0.005609898
"cg25799879",0.002985607
"cg03503785",0.006299558
"cg06666376",-0.001357892
"cg17501210",0.014451928
"cg14914552",-0.026546664
"cg00965168",-0.00454215
"cg07003900",0.007806624
"cg11323650",0.013246584
"cg07313064",-0.011361663
"cg06923233",0.000999236
"cg23510313",-0.030370963
"cg13945667",0.003480449
"cg11784243",-0.001616355
"cg17172569",0.008486481
"cg21150843",-0.004419721
"cg22853325",0.00028068
"cg01854076",0.00789274
"cg02501544",0.006788495
"cg27223882",-0.008936307
"cg08649379",0.000496727
"cg19773385",-0.000285237
"cg20438286",0.017161281
"cg15187040",-0.002629895
"cg06690548",0.092134653
"cg24979407",0.024536859
"cg07088935",0.003818594
"cg05301556",0.010803483
"cg00034003",-0.000618062
"cg01620672",0.007645662
"cg07694400",0.00907698
"cg13023584",0.010337215
"cg04736911",0.002327366
"cg05194509",0.016196372
"cg16604528",0.012166471
"cg12190416",0.010901612
"cg02999390",-0.009360964
"cg26011692",0.008330968
"cg02821693",0.002599076
"cg01640443",-0.001999147
"cg23097261",-0.008956946
"cg24689583",0.012530102
"cg21411366",0.009457499
"cg21182616",-0.000473451
"cg25727008",0.00349621
"cg03704393",-0.002353112
"cg09503311",0.004157061
"cg13176198",-0.024895075
"cg08036285",-0.014719755
"cg05575921",0.016628073
"cg00121465",-0.005260268
"cg06698053",-0.005890881
"cg16374906",-0.010478807
"cg00612225",-0.00022028
"cg15900051",0.006087466
"cg03577139",0.001853454
"cg22297750",-0.002114591
"cg15077070",0.000553058
"cg20706526",0.004043638
"cg03127656",0.000500932
"cg02480397",0.012062119
"cg05906295",0.000751625
"cg05232211",0.008618978
"cg03525191",-0.0080197
"cg09721516",0.007873297
"cg18864179",0.00192447
"cg01767200",-0.003233222
"cg05310046",0.000469278
"cg00981070",0.00293215
"cg26576890",0.037664461
"cg16755833",-0.004437093
"cg00771642",0.023314823
"cg14663333",-0.000975731
"cg11372436",0.001643455
"cg17850539",-0.000942689
"cg23418467",0.003125391
"cg05969038",0.01077343
"cg10154010",0.002026301
"cg03625807",-0.002501112
"cg20119495",-0.001468346
"cg10784273",0.008941456
"cg17493839",0.026327907
"cg01678790",-0.008085587
