"pred.var","coef"
"cg10460470",-0.012489074
"cg16857610",-0.012063061
"cg14733855",0.015908917
"cg26855208",0.015952642
"cg10706389",-0.001338752
"cg08981702",0.00059898
"cg03429569",0.007593962
"cg08360771",0.015608811
"cg03032497",-0.010305709
"cg25651505",-0.028953221
"cg03244277",0.005451018
"cg24147543",0.000826416
"cg01358993",0.008135765
"cg04207142",-0.004793286
"cg14836555",0.016786984
"cg08325929",0.024116362
"cg19045239",0.004109258
"cg00184732",0.018329218
"cg10304824",0.028756208
"cg01997599",0.002394251
"cg08151370",0.004518957
"cg01256260",0.027530128
"cg08230268",0.003037606
"cg16696476",0.009093006
"cg00169354",-0.010306648
"cg03607951",0.01229499
"cg09123721",-0.00065877
"cg06500161",0.006976374
"cg14574843",-0.008777478
"cg02872767",0.010502809
"cg16435686",-0.120908679
"cg18438850",-0.010631917
"cg26498247",-0.004490831
"cg17638213",0.000672334
"cg22850451",0.003563805
"cg03403093",0.017045724
"cg19750657",0.000425577
"cg09744397",0.006531842
"cg02828514",-0.025596345
"cg21865751",0.003170766
"cg02021641",0.000455441
"cg26852894",-0.009372688
"cg05595088",0.036698936
"cg22645355",0.128602126
"cg13941982",0.011464681
"cg08977014",0.000213123
"cg18160150",-0.01643547
"cg24545602",-0.0218968
"cg09792343",-0.010351451
"cg03510477",0.005936408
