"pred.var","coef"
"cg09315878",-8.72
"cg11832534",12.47
"cg08648047",19.57
"cg03885055",-23.01
"cg12484113",16.93
"cg16815882",16.96
"cg17971578",-22.67
"cg27547344",14.46
"cg17901584",-12.27
"cg16594806",-20.41
"cg25001190",-8.89
"cg03050965",-24.12
"cg03725309",-22.96
"cg14476101",-13.48
"cg10505902",-13.66
"cg22700686",-23.51
"cg12593793",-33.39
"cg25217710",21.97
"cg07202479",-16.43
"cg09554443",-11.42
"cg22534374",-6.25
"cg10717869",23.17
"cg15323828",-18.56
"cg01101459",12.11
"cg02560388",-10.59
"cg04011474",-17.2
"ch.2.30415474F",-34.58
"cg16163382",-23.24
"cg26253134",-27.63
"cg25570328",-14.94
"cg09152259",-8.79
"cg15357118",13.2
"cg03327570",-18.86
"cg17178175",-13.2
"cg09613192",9
"cg19373099",7.77
"cg00634542",13.08
"cg00144180",16.97
"cg23032421",-17.65
"cg15681239",-9.39
"cg00138407",11.63
"cg00108715",19
"cg22012981",17.21
"cg10549088",7.44
"cg12992827",-8.81
"cg23232188",15.27
"cg16846518",-14.53
"cg25197194",-10.09
"cg00673344",-16.29
"cg18098839",-15.2
"cg15721584",7.7
"cg10513161",20.67
"cg06164260",-28.85
"cg18513344",-15.81
"cg10438589",11.69
"cg26542660",-21.04
"cg06690548",-19
"cg11080651",-24.62
"cg10179300",13.56
"cg04232128",-18.09
"cg26403843",9.52
"cg11927233",9.96
"cg02286155",18.39
"cg22590032",14.7
"cg09222732",-24.06
"cg10975897",-10.68
"cg00094412",-15
"cg13123009",16.72
"cg03957124",-17.98
"cg18120259",-20.46
"cg06012428",-18.61
"cg03940776",-23.4
"cg17501210",-15.86
"cg05095590",9.02
"cg26804423",19.47
"cg24469729",11.59
"cg21429551",-7.32
"cg04577162",16.67
"cg19566658",10.49
"cg22103219",-15.07
"cg05720226",13.42
"cg27269962",21.16
"cg25435714",13.24
"cg24531955",-12.4
"cg19589396",-14.22
"cg07471614",16.17
"cg26952928",14.16
"cg26361535",9.12
"cg02716826",-14.6
"cg13591783",-15.25
"cg14264316",10.41
"cg13781414",-10.36
"cg19695507",7.03
"cg26033520",9.18
"cg04126866",23.5
"cg16578636",-9.58
"cg07504977",11.41
"cg00431050",-20.73
"cg26878209",12.03
"cg00244001",-33.52
"cg00238353",8.08
"cg10927968",9.98
"cg06603309",-20.69
"cg07136133",-16.78
"cg21108085",-19.2
"cg05648472",12.52
"cg11376147",-44.77
"cg03433986",-17.87
"cg00574958",-42.08
"cg09777883",15.08
"cg17260706",-24.09
"cg26894079",-11.38
"cg22488164",11.6
"cg06898549",8.56
"cg06559575",-18.67
"cg05845030",-16.27
"cg27117792",-13.17
"cg01511901",-15.09
"cg19750657",18.8
"cg26687842",15.29
"cg11650298",-24.12
"cg19881557",6.28
"cg03523676",17.16
"cg13097800",-18.87
"cg26357885",-21.16
"cg10919522",-12.72
"cg19998073",15.03
"cg10814005",-12.58
"cg25096107",-15.73
"cg10734665",-11.48
"cg27184903",12.49
"cg06192883",11.28
"cg07037944",-19.59
"cg02119938",-22.57
"cg07728579",14.66
"cg11183227",15.23
"cg27614723",21.56
"cg00973118",10.26
"cg05063895",-29.68
"cg06946797",-11.71
"cg26663590",13.79
"cg00711896",17.36
"cg01243823",-13.44
"cg00863378",12.65
"cg10922280",19.5
"cg08305942",-16.04
"cg03159676",8.57
"cg07021906",13.44
"cg08443038",-14.73
"cg08726900",-8.13
"cg09664445",25.33
"cg01798813",12.49
"cg19217955",-32.08
"cg22695339",-12.14
"cg11024682",28
"cg16611584",6.85
"cg25649826",12.66
"cg13274938",17.66
"cg08857797",17.16
"cg18219562",21.16
"cg27050612",-29.11
"cg02650017",-26.63
"cg24174557",-9.69
"cg08813944",11.19
"cg14020176",15.03
"cg21486834",21.9
"cg18181703",-16.79
"cg11202345",14.44
"cg11969813",15.01
"cg18608055",-17.33
"cg04524040",-13.06
"cg07769588",10.12
"cg13922488",17.94
"cg24679890",21.61
"cg07682160",12.4
"cg26836479",-27.44
"cg27087650",-19.04
"cg02711608",-20.48
"cg11614585",10.24
"cg18217136",21.85
"cg24403644",28.08
"cg08309687",-13.82
"cg06500161",38.86
"cg08548559",-9.61
"cg27115863",-12.25
"cg03318904",17.53
"cg09349128",-19.22
