"pred.var","coef"
"(Intercept)",2.376853787
"cg00343092",-1.135997653
"cg00563932",-2.254967927
"cg00571634",1.205130235
"cg00629217",-1.443114744
"cg01511567",0.5572547
"cg01515426",-4.753889226
"cg01756060",-2.975525682
"cg01899253",-0.877083763
"cg02385474",-1.101457403
"cg02489552",0.534293486
"cg02626929",0.128916398
"cg02789485",0.353159992
"cg03224418",-0.165348646
"cg03340261",-6.689713985
"cg03970609",0.563336196
"cg04458548",-0.283434273
"cg04460372",-0.967940889
"cg04474832",-1.203668298
"cg04527989",0.677609524
"cg04784672",1.786235879
"cg05073035",1.216035058
"cg05228408",-0.609085835
"cg05294455",0.910369194
"cg05352668",-1.571369198
"cg05921699",1.800240774
"cg05995267",0.600433301
"cg06204948",0.639126779
"cg06495803",0.396327381
"cg07408456",-2.025444379
"cg08032971",0.688587081
"cg08355340",7.896033939
"cg08418332",1.173668556
"cg08675585",-1.519238797
"cg08711674",1.119106843
"cg08724636",-6.996531515
"cg08733315",-6.468543656
"cg08872742",0.940541228
"cg09013626",0.613837924
"cg09600829",-0.732377239
"cg09809672",-0.614857266
"cg09816471",1.516437238
"cg10052840",-0.923536683
"cg10834677",0.797599347
"cg10986043",-2.379443118
"cg11267879",-0.554874255
"cg11314292",-3.38499408
"cg11635563",-0.586380758
"cg12024906",1.17757674
"cg12467090",1.860965096
"cg12688670",0.186533062
"cg12810837",-1.305939966
"cg13018903",0.152892228
"cg13269407",-0.157006414
"cg13436343",3.64661945
"cg13590277",1.591073245
"cg13870494",0.189212303
"cg13946500",-3.850796145
"cg14093936",-0.902373468
"cg14271400",5.710688531
"cg14456683",2.071567414
"cg14494596",1.371768443
"cg14839898",1.815352105
"cg15051063",1.366658344
"cg15238200",2.004655666
"cg15297650",-1.589846694
"cg15416233",-2.474569514
"cg15457899",0.461285026
"cg15700197",-0.378835203
"cg16466334",-0.519673323
"cg16713808",2.149119757
"cg16744741",-0.628229923
"cg17397493",0.501381132
"cg17421623",0.555595016
"cg17536532",1.437845258
"cg17907567",0.722904509
"cg18081104",0.414502763
"cg18644543",0.931062722
"cg18804206",1.561205825
"cg19162158",3.204798604
"cg19654437",-0.721912821
"cg19722847",-1.328174578
"cg19761273",-1.792864828
"cg20025656",1.883236071
"cg20349377",-1.099138807
"cg20654468",0.335556248
"cg21057046",-1.746170745
"cg21959619",-0.108227218
"cg22705225",-1.211995542
"cg22724153",-0.712185236
"cg22747092",-0.155437965
"cg22884082",0.62832282
"cg22919728",-0.292299689
"cg23320649",-0.87213435
"cg23587449",-5.214476293
"cg23668631",-0.54580146
"cg24001070",1.273455384
"cg24433189",0.475029669
"cg24453664",1.335584886
"cg24471894",-0.519909509
"cg24949049",0.75191663
"cg25152942",0.511762568
"cg25398949",3.475324556
"cg25538571",-0.430581867
"cg25762706",1.555819249
"cg25809905",-1.731180008
"cg25827666",-1.920330281
"cg26227465",0.34441217
"cg26232558",0.386260531
"cg26379475",-0.547110473
"cg27003571",-0.675385959
"cg27553955",1.215637677
