"pred.var","coef"
"intercept",-31.99702227
"Age",0.142143891
"cg20462449",14.69794947
"cg19802390",0.459989489
"cg14084907",0.382295598
"cg23251761",7.986436882
"cg14825555",1.68030998
"cg04967775",1.096749783
"cg05817517",16.30382392
"cg00500789",2.40145796
"cg23800435",0.685907032
"cg08871545",1.677318963
"cg04135242",21.50156467
"cg25189904",-2.096100295
"cg16511983",2.292730541
"cg12067764",0.128796256
"cg09396704",0.51890028
"cg17440248",9.517244855
"cg01491219",1.363695563
"cg02356786",1.775402061
"cg08980304",2.124492065
"cg26881591",3.708309183
"cg14528537",3.046075368
"cg04053045",1.327420342
"cg05515143",-0.6062916
"cg06625640",-1.11719719
"cg00102512",-13.95649719
"cg06372850",0.365790372
"cg16978914",-0.648516871
"cg00706683",4.8814322
"cg06644428",-24.69486377
"cg21566642",-37.78700124
"cg21120063",-0.580799608
"cg00356999",4.310892273
"cg02931526",-2.080348691
"cg19393314",7.757108769
"cg15876825",1.516762372
"cg21770393",0.065128362
"cg01206872",14.47598074
"cg02019988",0.125763968
"cg04785972",1.518864292
"cg19859270",-47.38626474
"cg16665506",0.319724421
"cg01328703",13.85390351
"cg17894318",2.065314116
"cg17500754",1.700751372
"cg21924273",67.50523683
"cg22518157",1.554802596
"cg22659049",0.084150462
"cg25806704",-2.58635668
"cg07973162",-0.290174324
"cg10144483",-0.150281185
"cg11554391",-1.625196903
"cg05575921",-43.0869322
"cg03604011",4.060668468
"cg12035880",0.599925084
"cg19601991",12.72488709
"cg26921969",6.555467273
"cg04836987",3.117816517
"cg15658426",-0.330927598
"cg21777188",0.091293775
"cg05845376",1.148687555
"cg07039560",0.489136761
"cg25587069",17.96694709
"cg13667243",2.381331556
"cg12363682",0.107930599
"cg07412232",-2.771003844
"cg15174951",23.34977072
"cg18892128",1.861772765
"cg14924781",5.003749135
"cg25955180",0.961628707
"cg27067781",2.991633777
"cg21091547",-6.686851304
"cg26470115",3.063395843
"cg04344923",2.783604084
"cg06413272",0.147775649
"cg02817030",5.365511872
"cg26403206",-5.951830446
"cg15777014",2.747317285
"cg01704252",4.829419045
"cg15600935",21.9966522
"cg25949550",-17.24767428
"cg11207515",0.139611859
"cg09159795",1.822118623
"cg07338119",-3.47170502
"cg09608412",11.0856959
"cg14700531",2.483894939
"cg03900851",16.01100623
"cg27272363",0.084351627
"cg16821867",-3.859998474
"cg15410835",-0.828013888
"cg00844308",-1.489778513
"cg13728106",-4.187361777
"cg19012696",-4.072548988
"cg17886420",0.690595072
"cg12465010",-0.869500275
"cg15777335",14.20266878
"cg03634479",6.551137455
"cg13458005",0.388134632
"cg14371731",7.683394437
"cg23322172",10.8085544
"cg02089135",6.160446265
"cg05747812",0.373792872
"cg11019008",21.39008062
"cg02580250",-1.386428306
"cg24869272",0.936046849
"cg23938637",0.538599491
"cg09690118",0.164719486
"cg01518025",2.130945535
"cg06809342",1.253729735
"cg00161556",0.004516974
"cg06911753",43.56481497
"cg04265051",1.205889029
"cg16385335",3.597107849
"cg11660018",-6.722415718
"cg23771366",-2.421866677
"cg12051762",2.051753841
"cg10130564",0.196302622
"cg19174059",-8.436635358
"cg04832325",0.514769452
"cg08161922",1.376285087
"cg00417288",0.625992976
"cg21368094",9.700846551
"cg05661164",1.190490533
"cg09244872",-6.647780972
"cg22277972",-15.66881194
"cg13406893",1.711039883
"cg12384004",-0.053415462
"cg17116694",13.06576913
"cg25939203",28.14395296
"cg02922734",-18.41051974
"cg01873886",1.146062237
"cg01637125",1.576313251
"cg10920224",0.513419727
"cg18425651",-18.57178865
"cg13316619",-0.139014389
"cg23047825",-2.452917086
"cg08923669",0.002021538
"cg06259664",3.225375382
"cg05090127",3.225138456
"cg01960979",-1.56476388
"cg06213463",50.49198207
"cg01773760",14.60005615
"cg01130056",-6.105876751
"cg03974717",11.24476187
"cg26573797",-47.79651922
"cg06127256",13.26412321
"cg03574306",0.145934276
"cg08439518",0.811635344
"cg11235787",-4.146216477
"cg20361594",11.33414512
"cg13029847",6.909930102
"cg00126959",9.991275586
"cg24093538",4.432932511
"cg16067628",2.439019764
"cg15258649",0.092470241
"cg03294557",0.61196656
"cg23777956",2.816387202
"cg03636183",-52.86770656
"cg06418475",-3.950910832
"cg27152890",2.317353294
"cg09438320",-3.72868334
"cg12157673",0.471970569
"cg22455450",8.490063134
"cg05303999",-10.04957081
"cg16416603",6.460287304
"cg05276137",-2.030775796
"cg16983817",9.324873975
"cg00744433",0.578512272
"cg08706141",4.53802293
"cg03860256",2.320979127
"cg27087885",3.437674254
"cg20448001",0.77682161
"cg15480287",-3.677021914
