"pred.var","coef"
"cg14626490",-0.000586134
"cg17925360",-0.001846015
"cg10725121",-0.000922975
"cg26785250",0.013193515
"cg24083557",-0.000533687
"cg27511255",-0.014399466
"cg15307908",-0.003456822
"cg12974599",-0.034443347
"cg02342974",0.017577381
"cg10342884",0.016008426
"cg13775495",-0.004426496
"cg05375668",0.008408867
"cg14193678",-0.016515354
"cg03952331",-0.001133563
"cg04376644",-0.017754465
"cg00560671",6.96e-05
"cg10568944",-0.006942563
"cg00397324",0.011083805
"cg21532953",0.001664792
"cg15803122",-0.016014
"cg23142964",0.009542888
"cg09904383",0.008020084
"cg10504390",0.025852699
"cg13523882",-0.028810446
"cg02513924",-0.02680704
"cg12887701",-0.003346246
"cg16144934",-0.002527436
"cg20744625",0.021051403
"cg15750102",0.006479204
"cg19757253",-0.004219034
"cg12988843",0.010529242
"cg27037018",-0.00354645
"cg10063637",0.007953426
"cg02340576",-0.002415002
"cg16268160",-0.01481128
"cg22281866",0.008971537
"cg10673833",0.021596933
"cg11720950",-0.00733164
"cg05517233",-0.012541214
"cg11549132",0.004621929
"cg02988316",-0.000171686
"cg10691592",0.000940514
"cg26649394",-0.003429788
"cg26341661",-0.011653259
"cg26172862",-0.007224547
"cg20944133",0.006795599
"cg18470710",-0.002980239
"cg08995609",-0.004656377
"cg09561739",0.003595138
"cg08634539",0.00201476
"cg03799220",0.00218471
"cg26567712",-0.009124482
"cg01378578",-0.002595687
"cg02063828",0.006450246
"cg18372353",-0.000107143
"cg05604112",-0.004952996
"cg08271632",-0.00064144
"cg08111021",0.02171854
"cg24707051",0.009088353
"cg08041481",0.005270047
"cg00607196",0.012502817
"cg10626559",0.013342106
"cg11282718",-0.003571702
"cg00547018",-0.012765062
"cg26933359",0.00598716
"cg20909664",-0.004070853
"cg04112012",0.003587375
"cg06134546",0.002733927
"cg19176816",0.005064029
"cg00574958",-0.004150268
"cg05545914",0.00168688
"cg07119463",0.005746808
"cg05811904",-0.000790626
"cg23695687",0.003346604
"cg03789645",0.005969115
"cg01738650",-0.01485549
"cg07023915",0.00428062
"cg11050116",-0.00314877
"cg23643435",-0.00146985
"cg19844653",0.023428585
"cg24618354",-0.002948365
"cg22204479",0.00773597
"cg04424621",-0.009267967
"cg13905258",-0.021529581
"cg15225091",-0.00338041
"cg03725309",-0.002577116
"cg02194243",0.000662174
"cg02711608",-0.025319665
"cg23393242",0.004178442
"cg08548559",-0.003681418
"cg18426142",-0.005444916
"cg04341730",0.008898376
"cg21669326",-0.019850919
"cg01934408",-0.003660462
"cg15732230",-0.010259131
"cg10442113",0.011656304
"cg16931664",0.006391161
"cg15251779",-0.015494341
"cg10776061",-0.000596291
"cg02864688",0.011087443
"cg19850406",0.013966267
"cg15413523",0.02608918
"cg20217649",-0.018484903
"cg26725076",-0.006958316
"cg11024682",0.05567166
"cg00932510",-0.001912435
"cg21113318",0.016190137
"cg21117330",0.01929749
"cg18181703",-0.012322879
"cg07292235",0.000205558
"cg12068280",0.003740668
"cg00054774",-0.000646625
"cg07092029",0.002050454
"cg01591830",0.017697261
"cg23937382",0.004957903
"cg00809820",0.005374585
"cg26301489",-0.02561645
"cg05407200",0.002319073
"cg18828306",0.001775385
"cg05227621",0.01799361
"cg02407308",0.0045344
"cg11649376",-0.004921882
"cg04522984",0.002767874
"cg10052597",0.020400236
"cg09359749",0.013942038
"cg01238672",0.002107033
"cg07676709",-0.021942992
"cg17527975",-0.0069235
"cg06500161",0.037791758
"cg14476101",-0.025403198
"cg08196561",-0.000801198
"cg20694241",-0.010156893
"cg24694018",-0.003631182
"cg24848467",0.003080244
"cg13720865",0.003151193
"cg10342016",-0.000635195
"cg14232082",-0.008437738
"cg12538950",0.025620586
"cg02398342",0.006005066
"cg05294455",0.012162426
"cg05262369",0.024027527
"cg08146708",-0.02598264
"cg22637837",0.021442138
"cg23216015",0.005378232
"cg19750657",0.005034667
"cg03893692",-0.007822319
"cg17501210",-0.067657705
"cg27113548",-0.001046244
"cg01256539",-0.025848713
"cg11829633",-0.001328568
"cg12807937",0.012272165
"cg00176638",0.002392978
"cg09181500",0.00933325
"cg23288103",-0.00050088
"cg15903282",-0.00485337
"cg06483978",0.002014583
"cg23315424",0.000137133
"cg18252102",-0.02180552
"cg17373022",-0.00288528
"cg12760995",-0.001260816
