"pred.var","coef"
cg00004089,-0.002970849
cg00046744,0.000812721
cg00050692,0.000730483
cg00108715,0.00138873
cg00233633,0.000963477
cg00238353,0.002014879
cg00239353,-0.000758087
cg00244001,1.71E-05
cg00259097,-2.30E-05
cg00376553,0.000946442
cg00441709,-0.000810625
cg00442282,-0.000329648
cg00508575,-0.000683399
cg00567854,0.000201653
cg00574958,-0.008062003
cg00602326,-0.002322126
cg00634542,-0.000385769
cg00701514,0.00030803
cg00701951,-0.001457408
cg00718518,7.40E-05
cg00787180,-0.003102644
cg00812761,0.000274166
cg00851028,-0.000269849
cg00863378,0.00094572
cg01040624,1.53E-05
cg01115923,-0.000451596
cg01127300,0.00151274
cg01130991,0.001446484
cg01176028,0.002418266
cg01231543,-0.000578355
cg01242348,-0.000162737
cg01256539,0.000511818
cg01304182,-0.000579665
cg01317029,0.000996271
cg01368219,0.00324597
cg01406381,0.000812538
cg01413354,0.001953795
cg01419914,0.000187856
cg01438090,-0.000797702
cg01526748,0.002342415
cg01537713,-0.000993685
cg01739831,-0.000781489
cg01741041,0.001267202
cg01751802,0.001432899
cg01765641,4.19E-05
cg01798813,-0.001076138
cg01818539,0.001502941
cg01881899,0.001330835
cg01885635,-0.003667579
cg01901101,-0.000884464
cg01975495,0.000352808
cg02013841,9.75E-05
cg02119938,-0.002073435
cg02181920,3.77E-06
cg02246876,-0.000980002
cg02341197,0.000451942
cg02370100,0.001224553
cg02417857,-0.000462428
cg02544002,0.000682941
cg02569509,-0.000313506
cg02716826,0.000585448
cg02879453,-0.002402557
cg02893429,-3.64E-05
cg02913194,-0.000178831
cg02930721,-0.00101611
cg02946885,-0.000994442
cg03068497,-0.000551831
cg03152187,-0.000960314
cg03218374,0.001099428
cg03295554,-0.001270037
cg03327570,-0.002386907
cg03337218,0.003008597
cg03358636,0.000945972
cg03359362,9.01E-06
cg03500056,0.001004939
cg03523676,0.002495933
cg03546163,0.003397219
cg03593358,-0.000288987
cg03607951,0.001201807
cg03619256,-0.003201943
cg03680790,0.001097391
cg03697881,0.00074784
cg03741348,-0.000237603
cg03746015,-0.001764099
cg03847796,2.77E-05
cg03850986,-0.000330385
cg03885055,-4.03E-06
cg03922337,0.000813306
cg03957124,-0.002056775
cg04162032,0.001638691
cg04236263,0.000187183
cg04286697,5.36E-06
cg04464719,-0.002391871
cg04508739,0.002055992
cg04524040,-0.001986635
cg04569152,-0.001283256
cg04577162,0.002963612
cg04610187,-0.001722304
cg04741118,-0.000737983
cg04750536,-0.000947728
cg04757345,-0.001198173
cg04790874,-2.54E-05
cg04858631,0.001978526
cg05050042,0.00098622
cg05277504,-0.002621895
cg05295703,0.000950748
cg05323251,0.000671466
cg05369623,0.003733884
cg05413285,0.000821505
cg05418719,-0.003584874
cg05573654,0.003181956
cg05575921,0.005848899
cg05603985,-0.001568705
cg05673882,0.000128698
cg06003184,0.001078844
cg06038367,9.93E-05
cg06039074,0.001056887
cg06178669,-0.000222946
cg06192883,0.004266892
cg06375292,-0.001290484
cg06469895,2.73E-05
cg06500161,0.004599622
cg06559575,-0.00284971
cg06560379,-0.002470423
cg06568880,3.63E-05
cg06603309,-0.001143412
cg06619077,0.000617208
cg06650255,0.002548033
cg06690548,-0.003150689
cg06872964,0.000974198
cg06897661,-0.003171658
cg06898549,0.003929403
cg06965409,-0.000686985
cg07021906,-0.000988944
cg07031070,-2.36E-05
cg07037944,-0.001105289
cg07094298,-0.002790873
cg07201319,0.001765775
cg07202479,-0.001298962
cg07207669,-0.000618645
cg07265588,0.002160489
cg07417146,-3.20E-05
cg07504977,0.002346178
cg07558761,-0.000549798
cg07573872,-0.00145257
cg07769588,0.001013229
cg07772781,0.002034931
cg07814318,0.000373591
cg07912766,-0.00344081
cg07961098,0.00036492
cg08109625,-0.002648255
cg08189198,-0.000674041
cg08305942,-0.000347039
cg08388111,0.00222779
cg08548559,-0.00064337
cg08666707,-0.001230492
cg08726900,-0.001674867
cg08824847,-0.0007754
cg08843623,0.00181598
cg09012125,1.17E-05
cg09038267,0.00219838
cg09055236,8.78E-05
cg09092525,-0.000653173
cg09147065,-0.001689465
cg09251317,-0.001076341
cg09297903,0.00159224
cg09349128,-0.008842389
cg09469355,-0.001416285
cg09613192,0.000226227
cg09664445,1.53E-05
cg09831562,0.000499247
cg09834049,0.00020567
cg09978353,-0.000703955
cg10042645,0.000812413
cg10080966,0.000918747
cg10381071,-0.001928589
cg10439456,0.002518349
cg10508317,-9.23E-06
cg10548968,-0.002172951
cg10601624,-0.000531473
cg10639435,9.25E-05
cg10717869,0.001196203
cg10722267,0.000461979
cg10734665,-0.002018399
cg10753966,0.000739538
cg10811945,0.001911553
cg10814005,0.000234137
cg10819350,0.005316879
cg10852154,-1.72E-05
cg10919522,-0.000978663
cg10927968,0.001953423
cg10970124,0.001435682
cg10987503,-2.88E-05
cg11202345,0.000685327
cg11252555,0.000188104
cg11303839,-8.76E-05
cg11314668,-0.001536989
cg11370064,0.000861722
cg11494773,0.000613709
cg11574975,-9.84E-05
cg11588197,-0.002021123
cg11592786,-0.000814582
cg11614585,0.000846605
cg11660018,0.000981385
cg11900509,0.000125315
cg11927233,0.000650743
cg12054453,-0.000747933
cg12072028,-0.000758556
cg12073466,-0.000389604
cg12149299,0.001378788
cg12170787,-0.000243748
cg12269535,-0.002121028
cg12484113,0.000783289
cg12593793,-0.002388524
cg12600749,-0.000523369
cg12620005,-0.000982806
cg12644285,-0.000479571
cg12825509,0.001625578
cg12992827,-0.002432475
cg13123009,0.002103064
cg13133304,-0.000771067
cg13134297,-0.002777651
cg13139542,-0.000444634
cg13274938,0.000260181
cg13522406,0.000632332
cg13696490,-5.86E-05
cg13758913,0.000555844
cg13770461,-0.000307061
cg13781414,-0.000534834
cg13958389,-0.000433984
cg14017402,0.000943571
cg14030904,3.48E-06
cg14044707,0.000256689
cg14098681,5.22E-05
cg14141458,-3.73E-05
cg14145074,1.20E-05
cg14205864,-0.001907273
cg14341014,0.000816145
cg14435720,0.002640751
cg14476101,-0.001060897
cg14564351,-3.81E-05
cg14582057,1.99E-05
cg14649449,-0.00019022
cg14902389,-0.000375216
cg14920061,0.001181404
cg15012027,-0.003525063
cg15020801,-0.000497385
cg15135047,0.002517564
cg15138339,0.002313144
cg15154002,0.000332619
cg15357118,0.003087283
cg15448210,-0.000528469
cg15512289,7.60E-05
cg15571561,0.000353306
cg15648041,-0.00046003
cg15695155,-0.000483854
cg15696506,-0.001240491
cg15763258,0.001676328
cg15812586,2.56E-05
cg15819225,0.000483443
cg15867698,-0.000216243
cg15871086,0.0034297
cg15989436,-0.000961359
cg16144331,-0.000240044
cg16163382,0.000482307
cg16197636,0.000838174
cg16335893,-0.000768332
cg16407699,0.001823551
cg16466652,0.000172847
cg16611584,-0.001657103
cg16655795,0.00253101
cg16704703,0.000958537
cg16735495,-5.22E-05
cg16755922,-0.000187534
cg17058475,-0.005122052
cg17061862,-0.002214404
cg17137186,-0.002191583
cg17156491,0.001167843
cg17214023,-0.001059117
cg17287155,0.001999754
cg17320136,0.002551066
cg17438457,-7.70E-05
cg17501210,-0.002465409
cg17782974,0.000612337
cg17822325,0.000802995
cg17866373,-0.000321568
cg17901584,-0.005674142
cg17939040,2.38E-05
cg18063989,-0.00062899
cg18098839,-0.001993246
cg18120259,-1.75E-05
cg18172751,0.001395331
cg18181703,-0.001721986
cg18194850,0.000705478
cg18327586,0.000310193
cg18330338,-0.000115744
cg18337222,-0.000831245
cg18520851,0.000221118
cg18608055,-0.002140063
cg18680181,-0.000562168
cg18774692,0.000182527
cg18876826,0.00030497
cg18939666,0.000265501
cg19016694,-0.003431725
cg19053223,0.002060116
cg19202384,-0.001721031
cg19211853,-0.000128609
cg19217955,-0.001989648
cg19501902,0.000748082
cg19695507,0.00047428
cg19750657,2.18E-05
cg19881557,0.00080855
cg20052079,-0.001037509
cg20253855,-0.000518966
cg20313873,0.000237087
cg20318217,0.000648738
cg20360704,0.002115651
cg20496314,0.000428746
cg20520115,0.001349714
cg20722088,0.001900319
cg20793665,-0.001314063
cg20849150,-0.000750445
cg20876852,-2.33E-05
cg21113318,0.000176049
cg21587837,0.0009088
cg21723486,0.000165922
cg21867733,0.001292783
cg21912938,-0.000476274
cg21946195,-0.002298896
cg22012981,0.000657734
cg22488164,0.000337614
cg22626683,-0.000469716
cg22648996,0.002162072
cg22650271,0.00031721
cg22875823,-0.001141408
cg22902505,0.000990606
cg22925751,1.85E-05
cg23025459,-2.38E-05
cg23032421,-0.000270038
cg23068772,-0.00130517
cg23072383,0.000625633
cg23079012,0.001205421
cg23598089,-0.000346438
cg23599026,0.001242961
cg23641852,-0.002269693
cg23679724,-0.00038314
cg23683800,0.000907263
cg23732483,0.0001005
cg23733845,0.000474467
cg23850913,-0.000305798
cg23919111,0.002869287
cg24174557,-0.000273077
cg24178676,0.001749245
cg24198941,0.001871806
cg24243879,-1.11E-05
cg24397007,-1.92E-05
cg24512093,8.22E-07
