"pred.var","coef"
"cg09763839",0.00531399
"cg19669909",-0.010046441
"cg25983070",0.001650241
"cg02196294",-0.002772826
"cg21014120",0.008570361
"cg08495830",0.028147036
"cg00225132",-0.006879744
"cg19278809",0.016278761
"cg19098826",-0.001026596
"cg13132016",0.008761434
"cg21510910",0.010720219
"cg22405728",-0.006254897
"cg14567414",-0.004414864
"cg18333921",0.011389851
"cg10862723",0.014756906
"cg21018429",0.000253984
"cg19633808",0.000283394
"cg05711928",0.015471738
"cg25762068",-0.001363958
"cg17709884",-0.003614415
"cg22864613",0.011991031
"cg23801021",0.030431414
"cg12226046",0.000749649
"cg14094960",-0.007449224
"cg13537974",-0.001442478
"cg15162101",0.007950303
"cg17418304",-0.003673849
"cg11643848",7.52e-05
"cg12185828",0.00222988
"cg13391820",-0.006913706
"cg02887499",0.003730383
"cg00656387",0.000312567
"cg15760943",0.002158065
"cg24425483",0.001677641
"cg18911472",0.002486852
"cg13864107",-0.002294465
"cg21373526",0.007389539
"cg02086858",0.014466488
"cg08376992",0.017539045
"cg25329734",0.005665117
"cg13606015",-0.0135751
"cg02037863",0.034933303
"cg04285418",0.008461831
"cg13794530",-0.014334002
"cg18154014",0.008796939
"cg11447650",0.016274014
"cg23093450",0.018683691
"cg20057676",0.00869268
"cg14109799",0.005019067
"cg08403195",0.008804914
"cg05331060",-0.004832024
"cg18845189",0.000283951
"cg19891951",0.005596272
"cg03696345",-0.006225652
"cg00503090",-0.017370219
"cg11173754",0.001489025
"cg13053653",0.000700494
"cg01311181",-0.003312051
"cg06679694",0.004789893
"cg20377627",0.002732914
"cg19695507",0.011437787
"cg00590817",-0.023932427
"cg01855313",0.001718534
"cg05222924",0.026154361
"cg06032302",-0.000554159
"cg10165585",0.001046086
"cg07087293",0.005233845
"cg13337047",0.024425807
"cg13957874",0.003900276
"cg16733654",0.002213023
"cg19696083",0.009551338
"cg21879513",-0.000704132
"cg04400972",0.006519403
"cg21141812",-0.002806445
"cg15971010",0.001432858
"cg22407942",-0.018395282
"cg22061523",-0.016758931
"cg06448705",0.017695569
"cg04292976",0.000450363
"cg19936954",-0.030148663
"cg00408278",0.011867768
"cg07626482",-0.011577255
"cg06192883",0.04234073
"cg26277754",-0.026344559
"cg19241744",0.000503287
"cg21429551",-0.005620934
"cg09308553",-0.008979681
"cg26783428",-0.001543692
"cg18132363",-0.014969923
"cg12006284",0.001167261
"cg24967487",-0.015155859
"cg27174822",0.006498625
"cg13731800",-0.006267366
"cg25786696",-0.000560194
"cg24509168",0.006512661
"cg27209729",-0.006746952
"cg25800166",-0.008817973
"cg03672272",-0.007762969
"cg06500161",0.044766493
"cg07965774",0.001709395
"cg14476101",-0.011431039
"cg05285244",-0.003771163
"cg16523141",-0.029868973
"cg01904812",0.004647392
"cg17286157",0.016238683
"cg14009561",0.029059903
"cg04694205",-0.000828889
"cg19693031",-0.000401997
"cg14907737",-0.008930307
"cg10470368",0.001697142
"cg26886850",-0.003355808
"cg02727219",0.012079268
"cg04406762",-0.002390013
"cg00993308",-0.014511133
"cg13295089",-0.009568548
"cg15742515",-0.002951656
"cg24222083",-0.022667239
"cg14148981",0.011606687
"cg03366382",-0.00803838
"cg26654827",0.013109805
"cg22294523",-0.019918485
"cg26422060",-0.027309984
"cg15065123",0.006163973
"cg27550595",-0.01007324
"cg09490124",0.003126266
"cg04475846",-0.00236844
"cg09826001",0.008259916
"cg03806069",-0.004438004
"cg23426304",0.001636339
"cg26816583",-0.000476579
"cg05956769",0.009027574
"cg15405364",0.003736183
"cg23045998",0.001292917
"cg04201675",-0.008498208
"cg10183487",-0.022038775
"cg07003643",-0.006066545
"cg07117402",-0.01823147
"cg02950892",-0.000889541
"cg01575519",0.008849509
"cg19093890",0.0032116
"cg18496543",0.00090919
"cg22246906",-0.014562376
"cg22699977",-0.00974412
"cg15190754",-0.022085813
"cg10909840",0.000921893
"cg00779393",0.005611316
"cg09116580",-0.00548718
"cg25691239",0.003826919
"cg02004723",0.013942813
"cg00748978",0.001919354
"cg27468830",-0.013735745
"cg23153809",-0.000201425
"cg18525669",0.00961668
"cg06703375",0.001834342
"cg02850416",0.000598382
"cg01164118",-0.022209865
"cg17207559",-0.003849645
"cg08759238",0.005260605
"cg26923072",0.005894462
"cg22331825",0.008437224
"cg19332610",-0.000143867
"cg22203867",0.008006565
"cg16140714",-0.017550963
"cg02070077",-0.000733334
"cg03205046",0.013717027
"cg14283299",-0.001313676
"cg11903188",0.005691177
"cg06302295",0.017297436
"cg06503456",0.004125501
"cg15322500",0.010199325
"cg04935522",0.010086916
"cg20281729",-0.004316509
"cg16855817",0.003333027
"cg10160614",-0.000805062
"cg13957457",-0.002316109
"cg02274103",-0.005437389
"cg00230120",-0.002910401
"cg19369363",-0.001767109
"cg13846960",-0.002536584
"cg10785099",-0.003504603
"cg05678191",-0.023296866
"cg01547142",-0.003552326
"cg03697509",-0.013419899
