"pred.var","coef"
"cg18887608",-0.001324988
"cg16491677",-0.004756304
"cg04395977",-0.000991142
"cg24685006",-0.008923273
"cg13796319",0.001447299
"cg11641742",-0.018142557
"cg26867866",-0.002910752
"cg21254277",0.008212098
"cg18044385",0.000992921
"cg20559000",-0.000302139
"cg14439353",0.002696103
"cg03398691",-0.006554769
"cg05852416",-0.008012237
"cg05022306",0.000258597
"cg19159602",-0.00070464
"cg24837680",-0.006591581
"cg03895690",0.008706991
"cg12551029",0.008772783
"cg12565637",0.002065614
"cg05030574",-0.012193752
"cg23557926",0.001864572
"cg10962261",0.006582406
"cg13599411",0.00643164
"cg15353061",-0.003383194
"cg13947949",0.00233375
"cg24116259",0.005173041
"cg22433261",0.00962081
"cg11120927",-0.015019093
"cg24113505",0.004607822
"cg17746675",0.003324538
"cg02154874",-0.007912927
"cg27503970",-0.004465492
"cg02553516",0.005634409
"cg07835844",-0.008865954
"cg26881713",0.003275929
"cg10448527",0.010198584
"cg09411730",-0.013940575
"cg24488059",-0.014398894
"cg09410234",-0.001109229
"cg06928838",-0.004590874
"cg26280526",0.001976144
"cg15642292",0.028582307
"cg19560710",0.030521208
"cg25338563",-0.029193122
"cg25468541",0.001958291
"cg03929741",0.013037559
"cg06370862",0.004303852
"cg10149225",0.008107779
"cg08893449",0.00870329
"cg11248896",-0.004276579
"cg02535924",0.011473298
"cg16691821",0.010655845
"cg23305678",-0.008041711
"cg24174557",-0.007093389
"cg26474124",0.020515497
"cg05650260",0.012437349
"cg16578636",-0.002144741
"cg08549335",-0.003364463
"cg26229043",0.003334073
"cg05292478",-0.00452066
"cg14453423",-0.001661599
"cg11024682",0.022834104
"cg14004678",0.010616574
"cg07068382",0.00194389
"cg24697075",0.000673081
"cg18947360",0.001179967
"cg10589813",-0.033845564
"cg18708233",0.004029537
"cg04970637",0.004052589
"cg13167816",0.001700517
"cg00310412",-0.012632823
"cg08927738",0.004519458
"cg09789252",0.00363878
"cg04043642",0.002965581
"cg13921220",-0.013083689
"cg09092525",-0.001236816
"cg00535027",-0.002885866
"cg11821795",-0.005277917
"cg06500161",0.026354229
"cg12158488",-2.01e-05
"cg14476101",-0.025208877
"cg01704580",-0.003765939
"cg26361436",-0.007797354
"cg04647918",0.023961853
"cg13676220",-0.007873915
"cg07179267",-0.005923018
"cg04156077",-0.00468425
"cg16755922",0.0102682
"cg20652954",-0.002934225
"cg15764067",0.011143856
"cg05157272",-0.006691545
"cg19693031",-0.012314771
"cg10834893",-0.008622941
"cg02190928",-8.39e-05
"cg24413918",0.012755058
"cg18039042",-0.002383462
"cg01181150",0.003320722
"cg17469479",0.009698687
"cg24036039",0.001786553
"cg27243685",0.012310266
"cg07278181",0.001103613
"cg15317722",-0.006964671
"cg18986335",-0.018786907
"cg15949845",-0.016093148
"cg23242341",-0.007948291
"cg25665606",0.002916761
"cg25801113",0.006381723
"cg13105709",-0.021059193
"cg19298400",0.004424546
"cg23955434",-0.002004929
"cg01084270",0.000996338
"cg09915601",-0.037083211
"cg01022501",-0.007299516
"cg03389046",0.020806218
"cg03722802",-0.005273079
"cg10793646",-0.005792775
"cg10882886",-0.023250915
"cg00955039",0.004828062
"cg05839748",-0.012394422
"cg10147462",0.002695307
"cg04487857",0.000130558
"cg24468765",0.012676415
"cg05607801",-0.000929994
"cg12049093",0.000908124
"cg06150148",0.011729764
"cg26200585",0.0089418
"cg27248741",-0.004086488
"cg23819286",-0.021146969
"cg22933582",-0.007934836
"cg27587095",-0.004062286
"cg18247172",0.013715792
"cg06624020",-0.039391763
"cg00250409",-0.002306356
"cg17504453",0.005213668
"cg14042099",0.000619215
"cg07776015",0.001515952
"cg21649520",-0.005637995
"cg08979573",0.006552041
"cg14902168",-0.008241698
"cg26251472",-0.003472321
"cg14613365",0.003517507
"cg24302133",0.013630339
"cg01550915",-0.008747515
"cg15240419",-0.001402729
"cg24530471",0.004048161
"cg07919493",-0.003867752
"cg07666727",-0.001552877
"cg19674937",0.001102369
"cg18269894",-0.003003492
"cg01833122",0.010312852
"cg02152233",0.004448329
"cg11033938",-0.001393586
"cg27548752",-0.00298411
"cg26959247",0.000563588
"cg04658601",0.005110541
"cg07224455",0.015010637
"cg05228196",0.002992311
"cg16018002",0.004134046
"cg21052025",-0.021149015
"cg27222157",0.008080332
"cg09399801",0.004134056
"cg03109964",-0.002270119
"cg23159844",0.006677141
"cg00450425",0.000555101
"cg04496104",-0.002589035
"cg26508619",0.012494957
"cg26406441",0.004652126
"cg23795234",-0.011290001
"cg15209369",0.002658102
"cg23577242",0.002637394
"cg27187798",0.024194548
"cg17810602",0.013458778
"cg14795560",0.000131053
"cg12076692",0.010237101
"cg15736734",-0.00957561
"cg05431684",0.000415535
"cg02169859",0.001186886
"cg12297774",-0.005150422
"cg24508499",0.004616619
"cg06332777",-0.014354514
"cg00209398",-0.009947571
"cg20788793",0.033697112
"cg03728457",0.020616887
"cg27380724",-0.005903275
"cg08005093",0.017413508
"cg11740194",0.014639629
