"pred.var","coef"
"cg16911342",-0.019246256
"cg11359655",-0.003065983
"cg21558508",-0.001477329
"cg10813475",-0.02061509
"cg04612488",-0.029249621
"cg19789557",-0.014067302
"cg04689082",-0.008540766
"cg25737323",-0.004715231
"cg19267259",-0.052468305
"cg09428537",-0.037364098
"cg17024952",-0.023060926
"cg02100343",-0.002632117
"cg01410316",0.026540449
"cg01923473",0.018213916
"cg14420757",0.013662348
"cg11295183",0.049174414
"cg16102793",0.00824404
"cg14921757",0.005661748
"cg19534769",0.260210155
"cg21175873",0.006413687
