"pred.var","coef"
"cg19643344",0.011905804
"cg23015983",0.013672374
"cg08233142",0.000103276
"cg22949458",0.011071182
"cg01189092",0.002104961
"cg13387677",0.000330582
"cg04689082",0.076174664
"cg03037033",0.034219979
"cg00751253",0.021274484
"cg23295127",0.000206118
"cg17342901",0.000514547
"cg16611654",0.002527263
"cg08249988",0.017342716
"cg11283427",0.008763439
"cg20656868",-0.000520401
"cg09053907",0.005464359
"cg16465430",-0.026490593
"cg23827950",0.010634775
"cg22843950",-0.010633075
"cg14413177",-0.018265363
"cg17061862",0.020887279
"cg11093474",-0.024463165
"cg24258347",-8.68e-05
"cg15900052",-0.000527487
"cg03172931",-0.015837809
"cg23939844",-0.001431271
"cg06553792",-0.024338432
"cg07731047",-0.001811613
"cg21130958",-0.005522329
"cg17922283",-0.034272059
"cg26430365",-0.008202411
"cg23737927",-0.008620034
"cg26063721",0.001131184
"cg18195416",-0.000436252
"cg10882886",-0.022345214
"cg18797923",0.009544109
"cg18236745",-0.004138948
"cg08940075",-0.019598403
"cg15057670",-0.00468454
"cg05168141",-0.001310481
"cg06624020",-0.017073919
"cg25360535",-0.008823718
"cg05575921",0.017776556
"cg19859270",0.000894217
"cg00886695",-0.003365247
"cg17575446",0.001384268
"cg02119938",0.006938974
"cg05005968",0.000307631
"cg22020954",-0.003289534
"cg25818659",-0.001922963
"cg20811857",-0.003498082
"cg15644756",-0.019532803
"cg21890309",-0.018126692
"cg24990808",-0.022092146
"cg07444005",-0.039902804
