"pred.var","coef"
"cg05925507",-0.015163969
"cg18465515",-0.008097351
"cg04984920",-0.005414922
"cg24356725",-0.005427109
"cg15720343",0.000998644
"cg09546168",0.016051306
"cg17967728",0.000360319
"cg16777620",-0.011890115
"cg00574958",0.046664518
"cg08614334",0.002015734
"cg19591573",0.001184786
"cg11376147",0.014934838
"cg26069353",0.001498416
"cg04858586",-0.002380652
"cg26139559",0.003429934
"cg01447660",-0.021192042
"cg02287371",-0.000802928
"cg05925497",-0.01020161
"cg20743744",0.00130674
"cg21784396",0.005389309
"cg23814743",0.015981621
"cg11024682",-0.027507724
"cg11400162",0.006273947
"cg12000131",0.000941467
"cg06556497",0.00492566
"cg08857797",-0.010920684
"cg16661761",-0.0341509
"cg10871120",-0.005260365
"cg04221461",-0.013832297
"cg06500161",-0.082785214
"cg00043800",-0.009929091
"cg14476101",0.042937181
"cg14015656",-0.00356616
"cg20339859",-0.000795634
"cg09862509",-0.021010445
"cg26469011",-0.010546322
"cg00441709",-0.024734317
"cg11745355",-0.004103452
"cg27243685",-0.007318286
"cg17002328",-0.003586975
"cg27242911",-0.001171958
"cg06690548",0.007647998
"cg11643285",0.134714449
"cg24592892",-0.004465327
"cg09179903",-0.00369187
"cg21042285",-0.001586916
"cg11340993",-0.001154848
"cg10794086",-0.000209767
"cg06526985",0.002555861
"cg03934354",-0.018097018
"cg27152128",-0.009500107
"cg17742903",0.001274522
"cg05982859",-0.001517639
"cg22426329",0.006491719
"cg19414711",-0.002782927
"cg23759554",-0.000119654
"cg14478475",0.0054803
"cg06928312",-0.002380392
"cg12740577",0.006544945
"cg09649135",-0.01360985
"cg24180621",-0.004895042
"cg10090414",-0.002191617
"cg01239268",-0.000807545
"cg01412419",-0.00271757
"cg01161376",-0.001141808
"cg03920544",-0.022278664
"cg12495983",-0.003678705
"cg09450771",0.007683034
