"pred.var","coef"
"cg07258794",-0.000141374
"cg09043294",0.008374465
"cg04127303",0.004424543
"cg21986225",0.01267249
"cg21357361",-0.008525523
"cg17777009",0.002386311
"cg12799689",-0.026464191
"cg16443866",-0.011114856
"cg05354929",0.002700714
"cg01999787",0.011202897
"cg15006881",0.018465634
"cg12634986",0.00375965
"cg00741600",0.003229241
"cg05278442",-0.021344207
"cg17159537",0.00014223
"cg09720701",0.000562463
"cg24425483",0.003819346
"cg12462705",0.009036208
"cg04937744",0.004378456
"cg13647349",0.008610986
"cg25329734",0.003029907
"cg08968635",0.003905484
"cg03677929",0.007770105
"cg13794530",-0.013112604
"cg26820845",-0.008869727
"cg08806699",-0.010238915
"cg02921887",0.011901635
"cg11445323",0.009223402
"cg16339434",-0.009299438
"cg06085204",-0.002663297
"cg13252030",0.000130442
"cg14145667",0.013831455
"cg02326058",-0.000345744
"cg07639520",0.010912422
"cg13101330",0.005321993
"cg13057174",-0.027864479
"cg04542977",-0.014711164
"cg06192883",0.0026393
"cg23213217",0.002266228
"cg07336751",-0.003308816
"cg05904716",-0.009851517
"cg14599440",-0.007211618
"cg10667338",0.005642798
"cg11234447",0.001970475
"cg00542975",0.008916448
"cg08388455",0.006565983
"cg07839457",-0.161976828
"cg27034466",-0.009982587
"cg18401111",0.002487758
"cg14517133",-0.012625533
"cg11820021",-0.004542422
"cg11240043",-0.001867655
"cg15615575",-0.003635248
"cg25966489",-0.008543194
"cg18568930",-0.001242054
"cg23387863",-0.023528255
"cg14225847",0.003161346
"cg04188937",-0.007820999
"cg03465682",0.000120405
"cg24101009",-0.008139726
"cg01579024",0.003459183
"cg00949386",-0.001414588
"cg13213814",-0.002463623
"cg13857169",-0.000746195
"cg19571004",-0.007386554
"cg07691146",-0.005239251
"cg14612870",-0.003794113
"cg00519039",0.004667924
"cg03536664",0.001760124
"cg08312198",0.002093659
"cg14110920",0.006111098
"cg10424303",0.012442341
"cg19598479",-0.002620746
"cg09249173",-0.005594377
"cg04833011",0.002236434
"cg01542423",0.024682427
"cg02624284",-0.009675059
"cg20445053",-0.007673226
"cg06857018",-0.008362828
"cg01757548",0.017117081
"cg16530491",-0.002340612
"cg21537623",0.005155102
"cg04657517",-0.012120673
"cg26824615",-0.005844383
"cg07478098",-0.00232738
"cg07268431",-0.010329736
"cg20594961",-0.016631918
"cg07357157",0.007818919
"cg18114363",-0.00373457
"cg23182840",-0.000505139
"cg17287155",0.01532054
"cg25932713",0.009521145
"cg09511662",-0.011879529
"cg18973743",-0.010297697
"cg05248652",-0.00443292
"cg18735136",-0.014152441
"cg27445005",-0.012255908
"cg04517903",-0.005090568
"cg15319528",-0.00160464
"cg20144521",-0.010231686
"cg08755156",-0.008210608
"cg03997730",-0.005036391
