"pred.var","coef"
"cg09315878",-10.3
"cg11832534",12.4
"cg08648047",12.6
"cg03885055",-25.2
"cg12484113",18.6
"cg16815882",21.2
"cg17971578",-12.9
"cg27547344",18.3
"cg17901584",-13.7
"cg16594806",-24.9
"cg25001190",-10.8
"cg03050965",-29.5
"cg03725309",-24.8
"cg14476101",-14.5
"cg10505902",-14.8
"cg22700686",-25.9
"cg12593793",-32
"cg25217710",26.9
"cg07202479",-14.5
"cg09554443",-14.5
"cg22534374",-7.3
"cg10717869",21.2
"cg15323828",-17.5
"cg01101459",14.2
"cg02560388",-11.4
"cg04011474",-17.3
"ch.2.30415474F",-35.4
"cg16163382",-20.3
"cg26253134",-23.8
"cg25570328",-18.3
"cg09152259",-10.3
"cg15357118",15.3
"cg03327570",-18.5
"cg17178175",-13.8
"cg09613192",10.6
"cg19373099",9
"cg00634542",15.6
"cg00144180",15.4
"cg23032421",-18.8
"cg15681239",-11.3
"cg00138407",14.1
"cg00108715",21.3
"cg22012981",10.2
"cg10549088",10.5
"cg12992827",-13
"cg23232188",18.7
"cg16846518",-15.4
"cg25197194",-11
"cg00673344",-16
"cg18098839",-15.7
"cg15721584",10.4
"cg10513161",22.4
"cg06164260",-21.3
"cg18513344",-14.7
"cg10438589",13.2
"cg26542660",-22.1
"cg06690548",-6.3
"cg11080651",-26
"cg10179300",17.1
"cg04232128",-23
"cg26403843",10.7
"cg11927233",10.5
"cg02286155",23.2
"cg22590032",13.9
"cg09222732",-26.2
"cg10975897",-12.9
"cg00094412",-16.6
"cg13123009",18.4
"cg03957124",-22.3
"cg18120259",-12.6
"cg06012428",-20.8
"cg03940776",-25.9
"cg17501210",-18.4
"cg05095590",9.5
"cg26804423",20.5
"cg24469729",16.2
"cg21429551",-6.9
"cg04577162",20.3
"cg19566658",13.5
"cg22103219",-14.9
"cg05720226",18.9
"cg27269962",22.3
"cg25435714",16.5
"cg24531955",-11
"cg19589396",-14.3
"cg07471614",21.3
"cg26952928",18.1
"cg26361535",11
"cg02716826",-14.2
"cg13591783",-14.3
"cg14264316",12.5
"cg13781414",-12
"cg19695507",9.8
"cg26033520",11.9
"cg04126866",27.4
"cg16578636",-7
"cg07504977",12.4
"cg00431050",-26.8
"cg26878209",14.9
"cg00244001",-33.3
"cg00238353",10.2
"cg10927968",12.8
"cg06603309",-27.7
"cg07136133",-19.8
"cg21108085",-18.1
"cg05648472",16.8
"cg11376147",-25.3
"cg03433986",-18.6
"cg00574958",-40.2
"cg09777883",15.7
"cg17260706",-28.4
"cg26894079",-14.2
"cg22488164",14.4
"cg06898549",9.8
"cg06559575",-21.1
"cg05845030",-19.3
"cg27117792",-12.9
"cg01511901",-17.5
"cg19750657",23.9
"cg26687842",14.2
"cg11650298",-26.6
"cg19881557",9.8
"cg03523676",19.5
"cg13097800",-18
"cg26357885",-21.8
"cg10919522",-14.1
"cg19998073",18.6
"cg10814005",-14.1
"cg25096107",-23.2
"cg10734665",-13.2
"cg27184903",15.9
"cg06192883",15.8
"cg07037944",-21.4
"cg02119938",-23.4
"cg07728579",14.9
"cg11183227",18.9
"cg27614723",24.5
"cg00973118",9.8
"cg05063895",-29.8
"cg06946797",-14.5
"cg26663590",16.6
"cg00711896",20.5
"cg01243823",-13.8
"cg00863378",14.8
"cg10922280",23.8
"cg08305942",-15.3
"cg03159676",2.1
"cg07021906",14.2
"cg08443038",-14.3
"cg08726900",-9.9
"cg09664445",31.2
"cg01798813",21.9
"cg19217955",-14.8
"cg22695339",-16.1
"cg11024682",32.5
"cg16611584",7.1
"cg25649826",16.5
"cg13274938",22.8
"cg08857797",19.8
"cg18219562",19.3
"cg27050612",-33.2
"cg02650017",-28.6
"cg24174557",-11.6
"cg08813944",14
"cg14020176",17.5
"cg21486834",17.9
"cg18181703",-18
"cg11202345",17.8
"cg11969813",17.5
"cg18608055",-21.7
"cg04524040",-13.5
"cg07769588",8.4
"cg13922488",21.2
"cg24679890",22.3
"cg07682160",16.8
"cg26836479",-25.7
"cg27087650",-21.5
"cg02711608",-17.2
"cg11614585",16.1
"cg18217136",19.8
"cg24403644",26.5
"cg08309687",-15.2
"cg06500161",34.8
"cg08548559",-9
"cg27115863",-13.6
"cg03318904",22.3
"cg09349128",-24.4
