"pred.var","coef"
"cg16770933",0.003499875
"cg13677111",0.008218837
"cg09809720",0.002804708
"cg13797425",0.000841388
"cg26787505",0.010170947
"cg20415170",0.003920741
"cg25645310",0.000771998
"cg08051310",0.003225737
"ch.1.171672612F",-0.002592317
"cg03721362",0.008553657
"cg10518543",-0.002551398
"cg09163035",-0.009888964
"cg16254746",0.006517767
"cg22590032",0.025298954
"cg03250220",-0.001022131
"cg07037944",-0.00053112
"cg00970325",0.001364841
"cg04988978",-0.009332023
"cg21348975",0.005813966
"cg03547181",0.02295597
"cg21128569",0.001404836
"cg06827038",0.001949187
"cg19621076",0.009405655
"cg27050612",-0.017118572
"cg04308687",0.010884547
"cg18748374",0.022655165
"cg22443762",0.001718949
"cg14225168",-0.033074643
"cg08072202",0.001847534
"cg17901584",-0.006052806
"cg01078446",-0.006872961
"cg13066481",-0.025527988
"cg19828063",-0.004624594
"cg06872548",0.006099496
"cg11198895",0.001235885
"cg05112224",0.007229353
"cg05358715",0.002459189
"cg06762176",0.01143125
"cg08825291",-0.009128042
"cg09607043",0.002615017
"cg14522441",0.041852508
"cg20719263",-0.009794301
"cg27202236",0.001638449
"cg02892925",0.002525728
"cg20059928",-0.011228699
"cg17835016",0.006665802
"cg10649130",0.011101884
"cg08101193",0.006059804
"cg07794010",0.028509865
"cg10987503",0.021414256
"cg00971034",-0.022383107
"cg07031070",0.007729092
"cg11231069",0.002744219
"cg10624395",0.027899313
"cg10195814",0.006952489
"cg24089263",0.007191953
"cg23391288",0.021504319
"cg21520549",-0.00645485
"cg12802093",-0.01234745
"cg05709879",-0.016202485
"cg05575921",-0.065055722
"cg13209683",-0.0111812
"cg18146226",0.007187111
"cg01502116",0.006743299
"cg18315708",0.007276
"cg03807873",-0.015833206
"cg14457610",-0.003723775
"cg25208740",0.001990173
"cg08625803",0.00095383
"cg08376310",0.013025666
"cg26102082",0.016928905
"cg11227064",0.005856615
