"pred.var","coef"
"cg16090885",-0.009102185
"cg10249221",-0.013960297
"cg06423533",-0.015100094
"cg07015725",-0.014965519
"cg11150901",-0.003417193
"cg13794530",-0.010753305
"cg14872260",-0.006281454
"cg08578734",-0.013358721
"cg15022400",-0.026662646
"cg02114909",-0.003219159
"cg03916694",-0.005597993
"cg00317577",-0.025331873
"cg04404381",-0.0051168
"cg17038235",-0.002710288
"cg20729813",-0.004279175
"cg26272069",-0.015831698
"cg00072426",0.00017444
"cg07148145",-0.007129797
"cg01656750",-0.008539324
"cg14766769",0.001770937
"cg25924746",-0.023710422
"cg13017318",-0.018806096
"cg00411413",-0.009372455
"cg06495615",-0.024137463
"cg05844321",0.010843259
"cg19779005",0.006886621
"cg25087851",-0.017114587
"cg18986335",0.011450374
"cg20317437",-0.002754628
"cg18783781",-0.009845917
"cg08698681",-0.00501
"cg13753183",-0.017754175
"cg18550847",-0.021209341
"cg22388471",0.006817967
"cg12077754",-0.023511437
"cg17429587",-0.007972974
"cg04538585",-0.000315383
"cg04766618",0.000286378
"cg20315954",-0.018102845
"cg13973002",0.003137154
"cg22232695",0.011023157
"cg26352718",-0.01805465
"cg18368116",-0.005754449
"cg01400924",0.018564086
"cg25944479",0.004039478
"cg12274567",0.001879612
"cg04983687",-0.136169769
"cg11699125",-0.016365484
"cg21544781",-0.003460475
"cg08940169",-0.042728476
"cg16129213",-0.000464183
"cg21220721",-0.02498498
"cg21824343",-0.014376486
"cg09480190",-0.024761436
"cg13054523",-0.031571955
"cg00390694",-0.000735151
"cg06607764",0.015301747
"cg11807446",-0.005016339
