"pred.var","coef","target"
"cg09041916",0.01095332,"SMPD1"
"cg26701943",0.034215445,"SMPD1"
"cg14027152",-0.01355166,"SMPD1"
"cg01142001",-0.006554445,"SMPD1"
"cg14985481",-0.002553767,"SMPD1"
"cg21755440",-0.01269926,"SMPD1"
"cg26023938",0.004047031,"SMPD1"
"cg14513822",0.000648565,"SMPD1"
"cg06064964",-0.004918583,"SMPD1"
"cg03314158",-0.010754524,"SMPD1"
"cg02512202",-3.61e-05,"SMPD1"
"cg23504463",-0.026076735,"SMPD1"
"cg04446470",0.002121847,"SMPD1"
"cg11779113",-0.000161125,"SMPD1"
"cg22364262",-0.013981312,"SMPD1"
"cg23059304",0.002586553,"SMPD1"
"cg09844573",-0.009591399,"SMPD1"
"cg06486093",-0.001389982,"SMPD1"
"cg11849717",-0.011100542,"SMPD1"
"cg03039315",-0.013879909,"SMPD1"
"cg16474684",-0.001413894,"SMPD1"
"cg23207676",-0.003898903,"SMPD1"
"cg10779037",-0.035153785,"SMPD1"
"cg12822818",-0.012009224,"SMPD1"
"cg20129210",0.003630816,"SMPD1"
"cg25716514",-0.009753462,"SMPD1"
"cg17840178",-0.001860728,"SMPD1"
"cg24019078",-0.003818723,"SMPD1"
"cg14678654",0.000114871,"SMPD1"
"cg06024079",-0.001445136,"SMPD1"
"cg04472001",0.006578113,"SMPD1"
"cg25277809",-0.001349711,"SMPD1"
"cg02583484",-0.004460925,"SMPD1"
"cg24924577",0.027907863,"SMPD1"
"cg07927540",-0.001028782,"SMPD1"
"cg21513088",0.034240851,"SMPD1"
"cg10140678",0.001704296,"SMPD1"
"cg23329272",-0.005334115,"SMPD1"
"cg18358621",-0.000686053,"SMPD1"
"cg26602314",-0.002511656,"SMPD1"
"cg01895740",-0.00664301,"SMPD1"
"cg11118962",-0.005102312,"SMPD1"
"cg08960815",-0.008588945,"SMPD1"
"cg22829325",-0.021334539,"SMPD1"
"cg19374305",-0.009537108,"SMPD1"
"cg09015433",-0.002170319,"SMPD1"
"cg09434726",0.002842203,"SMPD1"
"cg16016465",-0.014270595,"SMPD1"
"cg00149061",-0.007936828,"SMPD1"
"cg02140171",-0.002416548,"SMPD1"
"cg03301671",-0.001537814,"SMPD1"
"cg06087255",-0.004879622,"SMPD1"
"cg08072862",-0.023500451,"SMPD1"
"cg09803951",0.013181774,"SMPD1"
"cg13096242",0.00128238,"SMPD1"
"cg14375944",-0.010378198,"SMPD1"
"ch.19.1716179R",-0.000132396,"SMPD1"
"cg01149683",-0.013521945,"SMPD1"
"cg25373553",-0.00521784,"SMPD1"
"cg12284098",0.003058411,"SMPD1"
"cg10471113",0.011278066,"SMPD1"
"cg11083511",0.015681716,"SMPD1"
"cg16204989",-0.002554138,"SMPD1"
"cg14761514",-0.000763601,"SMPD1"
"cg08527195",-0.00083446,"SMPD1"
"cg02776313",-0.004788162,"SMPD1"
"cg18756931",0.017949015,"SMPD1"
"cg27123522",0.004774018,"SMPD1"
"cg08767838",0.005050119,"SMPD1"
"cg07963854",-0.002422002,"SMPD1"
"cg19919383",0.013910819,"SMPD1"
"cg19089328",0.019659731,"SMPD1"
"cg08627193",-0.004439346,"SMPD1"
"cg13902024",-0.002386096,"SMPD1"
"cg20872252",-0.010046177,"SMPD1"
"cg06372145",0.00047958,"SMPD1"
"cg04599158",-0.002094135,"SMPD1"
"cg09750210",-0.032117114,"SMPD1"
"cg19911058",0.008934223,"SMPD1"
"cg02728263",-0.002213674,"SMPD1"
"cg12126344",-0.007060748,"SMPD1"
"cg18276155",-0.006917442,"SMPD1"
"cg25423002",-0.028114416,"SMPD1"
"cg00492055",-0.005646075,"SMPD1"
"cg18477969",0.15175375,"SMPD1"
"cg03886523",-0.020723572,"SMPD1"
"cg07050493",-0.001682552,"SMPD1"
"cg22660197",-8.56e-05,"SMPD1"
"cg09583379",0.009260424,"SMPD1"
"cg24928141",0.008542302,"SMPD1"
"cg27094846",-0.001967398,"SMPD1"
"cg05469118",0.006667939,"SMPD1"
"cg03514188",0.006420753,"SMPD1"
"cg11099600",-0.040582893,"SMPD1"
"cg10353925",-0.027296804,"SMPD1"
"cg04899629",-0.024752621,"SMPD1"
"cg03203287",-0.006616862,"SMPD1"
"cg10119257",-0.000939351,"SMPD1"
"cg14604444",-0.009820814,"SMPD1"
"cg00655525",-0.005282044,"SMPD1"
"cg21170346",-0.010854525,"SMPD1"
"cg22011316",-0.019008729,"SMPD1"
"cg10778996",-0.000599926,"SMPD1"
"cg07759052",0.000468717,"SMPD1"
"cg00188321",0.002788013,"SMPD1"
"cg05694761",0.016427644,"SMPD1"
"cg03277550",0.004967606,"SMPD1"
"cg06922248",0.023692552,"SMPD1"
"cg03259564",0.001532754,"SMPD1"
"cg07081418",0.009141263,"SMPD1"
