"pred.var","coef"
"cg21294209",-0.000460921
"cg10913726",0.002938815
"cg16517114",0.009188261
"cg14447887",0.000803051
"cg01414289",0.000964077
"cg25160286",0.000639664
"cg16895254",-0.019637834
"cg09509863",-0.000451254
"cg21877855",-0.016789862
"cg10607899",0.016295384
"cg23125542",-0.006111646
"cg26567801",-0.000897299
"cg19376709",0.005214332
"cg09391093",-0.01896293
"cg08327690",-0.004817024
"cg24655899",-0.000721306
"cg20840680",-0.001887201
"cg11746037",0.004601196
"cg26187876",-0.00997023
"cg25730138",-0.000248302
"cg00491616",-0.000138782
"cg07190917",-0.005006243
"cg06539804",-0.012175995
"cg07304343",0.002414081
"cg03407666",0.004710727
"cg18836267",-0.010044333
"cg21368354",-0.004629464
"cg25770698",0.006364113
"cg24521633",0.007674793
"cg05035892",0.001891455
"cg27483261",-0.00498621
"cg02735762",0.002740892
"cg02650017",0.026674909
"cg00422488",0.001087299
"cg19950069",0.004415539
"cg16611654",0.001643063
"cg25697152",-0.030244024
"cg02553070",0.008908336
"cg20000562",0.007090116
"cg20035980",0.013967889
"cg13396858",0.000816898
"cg06972911",-0.002838898
"cg10814005",0.005473133
"cg23003085",0.001989996
"cg21584422",-0.003633643
"cg02650401",0.012072676
"cg02711608",0.03152585
"cg21467614",0.007060913
"cg21152671",0.004090615
"cg10636246",0.002575439
"cg14834850",0.007574197
"cg16963852",0.011549062
"cg03586820",-0.009632685
"cg19579183",-0.003342145
"cg17372223",0.006842082
"cg10308785",0.031664792
"cg07504977",-0.034293932
"cg27386529",0.017671205
"cg06197616",0.00166111
"cg15367212",-0.001304309
"cg07133629",0.004785217
"cg01422467",0.013343479
"cg20329047",0.003994353
"cg06020978",0.01498638
"cg07434457",0.015526304
"cg23256579",-0.021467742
"cg10550416",-0.014806639
"cg14476101",0.03977938
"cg21566642",0.081429102
"cg23717187",0.005363624
"cg16238336",0.001487725
"cg26413708",0.013976028
"cg12992827",0.003162396
"cg27524944",-0.000531661
"cg03503785",0.02554031
"cg03326252",0.001587937
"cg02907402",-0.013607568
"cg01566552",0.013025167
"cg17245405",0.023557514
"cg12559228",0.009160858
"cg00362322",0.004952193
"cg00238353",-0.008306857
"cg03172931",-0.021945219
"cg17252489",0.006538485
"cg11197664",-0.024195054
"cg04407417",-0.022357412
"cg00420347",-0.044265717
"cg18221580",-0.01075522
"cg22176018",-0.003947447
"cg15875607",-0.009509278
"cg25665606",-0.009795389
"cg16130238",-0.008248036
"cg26407309",-0.013616476
"cg13797402",0.002290367
"cg06690548",0.050510394
"cg01558401",-0.007103074
"cg12898868",0.002745742
"cg15333769",-0.007008214
"cg24833065",-0.01187095
"cg01510051",-0.004191499
"cg11263852",0.026057106
"cg01008495",-0.003200281
"cg11547667",-0.002226647
"cg07752820",-0.007046689
"cg04736911",0.001220751
"cg01217815",-0.001683635
"cg04376360",0.014351279
"cg15503728",0.002837646
"cg23374312",-0.012101222
"cg22426329",0.009848041
"cg04221738",-0.006073774
"cg11440915",-0.012676262
"cg10967434",0.004209352
"cg17141819",-0.000933527
"cg25781963",-6.42e-05
"cg19849478",0.01246487
"cg03505857",0.006071168
"cg06259818",-0.000851243
"cg10910666",-0.00271085
"cg14930335",-0.001258851
"cg25559531",-0.016057554
