"pred.var","coef"
"cg03518503",-0.003118433
"cg05484393",-0.011713874
"cg26488636",0.004230833
"cg15680624",0.007443402
"cg00499726",-0.002215037
"cg12558040",-0.000465673
"cg14330655",0.003114513
"cg15384598",0.008038095
"cg19104112",-0.015341398
"cg14638351",0.006431961
"cg06710937",0.038176322
"cg00287773",-0.002816111
"cg12172057",0.001795346
"cg21684021",-0.007471407
"cg24442609",0.000973481
"cg22608507",-0.006339756
"cg16411857",-0.001482158
"cg05044185",0.004700506
"cg26296488",0.001401108
"cg03827337",0.02462863
"cg04597433",0.002391413
"cg11115622",0.056444849
"cg25902939",0.013423231
"cg08136772",0.008685314
"cg00543073",-0.002661667
"cg00099295",0.00574116
"cg05989693",-0.012107775
"cg18362448",0.004919361
"cg22545385",0.003310794
"cg15164472",-0.003806186
"cg21650861",-0.012558726
"cg13210763",0.002897278
"cg08309069",-0.000191026
"cg15507486",-0.014626335
"cg04987362",-0.001970623
"cg09397359",0.014561833
"cg03618918",-0.018567522
"cg04993082",-0.03476057
"cg00328870",-0.014261064
"cg22244039",-0.005454895
"cg14376312",-0.014062325
"cg02220481",-0.015128046
"cg06588802",-0.051666015
"cg25029657",-0.005479916
"cg25797454",0.002701179
"cg21078963",-0.0046558
"cg11643285",0.02931902
"cg25945504",0.005571379
"cg22005565",0.010288932
"cg14055655",-0.067364796
"cg26105766",0.001307653
"cg24647031",0.005089931
