"pred.var","coef"
"cg00146096",0.002378934
"cg26248608",-0.004020477
"cg17752595",-0.006926756
"cg01761409",0.008403651
"cg13135595",0.004886793
"cg22108864",0.002140091
"cg18928584",0.015589242
"cg13168314",-0.013510297
"cg00050984",0.005357709
"cg23558337",-0.002684681
"cg05502939",0.001080879
"cg07892785",0.00175601
"cg10580269",0.017543411
"cg08002883",0.027331575
"cg24822696",0.02213696
"cg10770187",0.018930295
"cg16750440",0.020136915
"cg00631221",0.004595137
"cg05280133",0.012977421
"cg23613857",0.023180528
"cg12023170",0.001572288
"cg09801824",0.027347362
"cg03888592",0.002415751
"cg04010091",0.003596803
"cg15322932",-0.021624925
"cg10867751",0.023845937
"cg16411857",-0.037205489
"cg14717122",-0.005796704
"cg01187920",0.007467246
"cg27589058",0.002062309
"cg05107535",-0.014841549
"cg27612129",0.011479031
"cg07839457",-0.057087373
"cg06096336",0.045076287
"cg20794824",0.007524482
"cg03736201",0.00850293
"cg15871544",0.00546495
"cg22281363",0.018983745
"ch.3.3302591F",-0.033763044
"cg17250770",0.013622503
"cg25223623",-0.002438253
"cg04506342",-0.024420781
"cg08634357",-0.002245395
"cg03461641",0.007013528
"cg20009327",0.002271922
"cg09107344",9.19e-05
"cg25942860",-0.003060331
"cg09583957",0.001095464
"cg07537896",0.002124586
"cg26999501",0.006012437
"cg14297966",0.001928987
"cg03207593",0.002521034
"cg17124581",0.000313641
"cg07536507",0.001698796
"cg01132515",0.004151874
"cg24670927",-0.036713235
"cg20688340",0.008116225
"cg21245653",0.003213843
"cg01490663",-0.003390788
"cg11217193",0.024207105
"cg02405003",0.000131643
"cg19380578",0.000401298
"cg14631761",0.004881855
"cg19533231",0.009527023
