"pred.var","coef"
"cg00910907",0.002263143
"cg04730047",-0.026290188
"cg06192883",0.058020595
"cg08716584",-0.007136857
"cg04085585",-0.001962813
"cg16104584",-0.020375329
"cg27545615",-0.009842606
"cg16434190",-0.021415936
"cg07401324",-4.93e-05
"cg07896832",-0.002153548
"cg03717961",-8.44e-05
"cg02856688",-0.007996498
"cg03371275",-0.008718676
"cg13817046",-0.007409086
"cg10313337",-0.013052706
"cg09342997",-0.002252612
"cg07638500",-0.013957062
"cg01176433",-0.003216675
"cg26341831",0.008138789
"cg23261443",-0.014961921
"cg09299075",-0.000429734
"cg24310395",0.002726988
"cg21253043",0.002967564
"cg06721806",0.037676354
"cg10513161",0.027129298
"cg23341085",0.006026747
"cg25957599",0.003469382
