"pred.var","coef","target"
"cg02723850",0.018459879,"CLEC11A_e2"
"cg05380522",0.007397242,"CLEC11A_e2"
"cg09453752",0.004445762,"CLEC11A_e2"
"cg22317104",0.007344752,"CLEC11A_e2"
"cg08472459",-3.89e-06,"CLEC11A_e2"
"cg00248310",-0.004527594,"CLEC11A_e2"
"cg14954491",0.006483153,"CLEC11A_e2"
"cg12418535",-0.00528897,"CLEC11A_e2"
"cg06755373",-0.007786035,"CLEC11A_e2"
"cg11501931",-0.002468758,"CLEC11A_e2"
"cg00059053",0.000651155,"CLEC11A_e2"
"cg08724254",-0.01726313,"CLEC11A_e2"
"cg05527430",0.005125187,"CLEC11A_e2"
"cg16557178",0.011684885,"CLEC11A_e2"
"cg14328457",0.004081065,"CLEC11A_e2"
"cg12423733",-0.002515601,"CLEC11A_e2"
"cg19755435",0.004324227,"CLEC11A_e2"
"cg14397231",-0.002816971,"CLEC11A_e2"
"cg06947430",0.012566024,"CLEC11A_e2"
"cg08678044",-0.017675251,"CLEC11A_e2"
"cg16604086",0.003003024,"CLEC11A_e2"
"cg16602500",7.79e-05,"CLEC11A_e2"
"cg22845236",-0.011534574,"CLEC11A_e2"
"cg07909178",-0.000157513,"CLEC11A_e2"
"cg10626063",-0.01028089,"CLEC11A_e2"
"cg07370221",0.001934209,"CLEC11A_e2"
"cg17508941",-0.003400154,"CLEC11A_e2"
"cg25309343",-0.023474846,"CLEC11A_e2"
"cg22536775",-0.032906878,"CLEC11A_e2"
"cg25902229",0.014060011,"CLEC11A_e2"
"cg27259408",-0.006097118,"CLEC11A_e2"
"cg17038235",-0.002709748,"CLEC11A_e2"
"cg20566897",0.004878083,"CLEC11A_e2"
"cg08414676",-0.000262384,"CLEC11A_e2"
"cg02691360",-0.01924145,"CLEC11A_e2"
"cg27098804",-0.018950907,"CLEC11A_e2"
"cg18465834",0.015237595,"CLEC11A_e2"
"cg16651537",-0.110438693,"CLEC11A_e2"
"cg24790297",-0.048374574,"CLEC11A_e2"
"cg21664281",-0.013049157,"CLEC11A_e2"
"cg15807855",-0.000963949,"CLEC11A_e2"
"cg04247152",-0.002313399,"CLEC11A_e2"
"cg08893853",-0.007205796,"CLEC11A_e2"
"cg10773601",-0.090572568,"CLEC11A_e2"
"cg00178427",-0.006518315,"CLEC11A_e2"
"cg05976840",-0.00199479,"CLEC11A_e2"
"cg09978353",-0.011165765,"CLEC11A_e2"
"cg24693478",0.003541105,"CLEC11A_e2"
"cg01768960",0.004980251,"CLEC11A_e2"
"cg17174814",0.001894407,"CLEC11A_e2"
"cg26507353",0.006203902,"CLEC11A_e2"
"cg04539111",-0.000848891,"CLEC11A_e2"
"cg02986791",0.0082589,"CLEC11A_e2"
"cg01974091",-0.011311753,"CLEC11A_e2"
"cg21861305",0.015960501,"CLEC11A_e2"
"cg15000222",-0.017410723,"CLEC11A_e2"
"cg18457110",0.002567015,"CLEC11A_e2"
"cg23404351",0.003404005,"CLEC11A_e2"
"cg06890028",-0.004630421,"CLEC11A_e2"
"cg15182215",-0.008189443,"CLEC11A_e2"
"cg26111887",0.005870749,"CLEC11A_e2"
"cg07137983",-0.001568212,"CLEC11A_e2"
"cg24676120",-0.001374722,"CLEC11A_e2"
"cg20389847",-0.011831118,"CLEC11A_e2"
"cg07954316",0.002452356,"CLEC11A_e2"
"cg24401044",0.014271464,"CLEC11A_e2"
"cg11385631",0.003137661,"CLEC11A_e2"
"cg00621838",0.010260163,"CLEC11A_e2"
"cg07751039",0.026946885,"CLEC11A_e2"
"cg16097955",0.006511891,"CLEC11A_e2"
"cg23031135",-0.003746179,"CLEC11A_e2"
"cg05881068",0.005865542,"CLEC11A_e2"
"cg05040219",0.016449186,"CLEC11A_e2"
"cg12536809",0.012137478,"CLEC11A_e2"
"cg09567197",0.008367395,"CLEC11A_e2"
"cg14796107",-0.001643626,"CLEC11A_e2"
"cg10634598",0.0017642,"CLEC11A_e2"
"cg16770697",0.001215085,"CLEC11A_e2"
"cg16701523",-0.001404828,"CLEC11A_e2"
"cg12201943",-0.004226763,"CLEC11A_e2"
"cg11383802",-0.028577865,"CLEC11A_e2"
"cg24739849",-3.86e-05,"CLEC11A_e2"
