"pred.var","coef"
"cg22101147",0.009642739
"cg22339091",0.00226404
"cg13599477",0.005320992
"cg08288561",0.004710447
"cg00238213",0.007944396
"cg26955383",0.004063024
"cg14753432",-0.001783576
"cg04987734",0.003113175
"cg12103569",0.009684816
"cg10284440",0.013598176
"cg18404041",-0.03091316
"cg22940798",-0.028562793
"cg26663590",0.034314812
"cg20556803",0.008796099
"cg13150925",0.024964396
"cg19404184",-0.00423327
"cg20735041",-0.002297768
"cg05393861",-0.029939619
"cg17343451",0.031977969
"cg24101283",0.03422035
"cg11645453",0.066051328
"cg26034658",0.002263163
"cg27243685",0.026245518
"cg06690548",-0.106497413
"cg26688212",-0.005863886
"cg19548470",-0.000289207
"cg24204878",-0.00584111
"cg16035267",-0.009949193
"cg01301319",-0.001101207
"cg00783409",-0.012549063
"cg07066815",-0.012896192
"cg02720725",0.003505656
"cg23635663",-0.008842838
"cg01369228",-0.000209168
