"pred.var","coef"
"cg12837057",-0.009153824
"cg22122462",-0.001927987
"cg16277835",0.001530141
"cg07367434",-0.00201856
"cg13134535",-4.52e-05
"cg24960563",-0.002214392
"cg10755375",-0.006464525
"cg14227032",-0.004646955
"cg27063607",0.004823187
"cg04848196",-0.001680762
"cg26526036",-0.00026644
"cg02643218",-0.01582769
"cg08391287",-0.012873638
"cg18176689",-0.012020604
"cg18115436",-0.017020369
"cg18677965",0.047792774
"cg04016744",-0.004586175
"cg21503826",0.001978496
"cg23753457",-0.01072377
"cg06196122",0.000870963
"cg16777839",-0.017497623
"cg15079981",-0.000292771
"cg03056436",0.006153917
"cg20607710",0.000957082
"cg17197538",-0.007489608
"cg19935397",-0.009330661
"cg15575641",0.000809543
"cg05305434",-0.000807341
"cg09435824",-0.00821418
"cg10993336",-0.003791918
"cg18058532",0.004357791
"cg12507125",-0.014948836
"cg02239968",0.007471108
"cg12040278",-0.013270918
"cg10537193",-0.005953008
"cg22334665",-0.01052777
"cg01708552",-0.008137718
"cg11781976",-0.003027456
"cg20283449",0.013923315
"cg00574958",-0.016775903
"cg10886678",-0.01130088
"cg03253831",-0.001398634
"cg06545019",-0.001881109
"cg25012577",-0.00545806
"cg01005968",0.019888681
"cg17046650",0.005679015
"cg14039237",-0.011463562
"cg06281680",-0.004698332
"cg10726816",0.00022162
"cg10044101",0.003297539
"cg07976603",0.008802719
"cg00124375",0.001631238
"cg08575696",8.41e-05
"cg01827933",0.001568046
"cg26277754",-0.002924557
"cg17716663",0.004518115
"cg22934308",0.000521946
"cg17471062",-0.00274207
"cg18402261",-0.0084042
"cg04018474",-0.007068518
"cg18234115",0.002806687
"cg05312293",0.004011379
"cg21167269",0.001362096
"cg06500161",0.048801747
"cg20432211",-0.005413126
"cg00862597",0.033247416
"cg14476101",-0.029275151
"cg23371436",0.000171527
"cg21942572",0.000563238
"cg12860109",0.034807788
"cg16824477",-0.002087819
"cg21530267",0.010084255
"cg04848107",-0.008013597
"cg13830794",0.011802813
"cg18757405",-0.001688871
"cg08255481",0.02220992
"cg02417857",0.004448297
"cg19693031",-0.013925801
"cg09518270",-0.010576188
"cg02113214",0.007420572
"cg06825317",-0.006670797
"cg14440550",-0.012679925
"cg27570575",0.027873828
"cg26761826",0.006729863
"cg03618918",0.000232638
"cg12786198",0.0100496
"cg14947218",-0.001619982
"cg20022454",0.0010739
"cg13724706",0.00758732
"cg17475467",0.011425504
"cg10813585",-0.02994151
"cg21773820",0.000978384
"cg13706315",0.000841944
"cg03125531",-0.006844318
"cg06690548",-0.030695191
"cg07028598",0.037424606
"cg05060175",0.003397933
"cg11643285",-0.087318361
"cg07359183",-0.016789957
"cg22819171",-0.000619318
"cg26332985",-0.001060332
"cg15405364",0.008339984
"cg07972026",-0.006394988
"cg11691383",-0.00199452
"cg24410453",0.022185665
"cg08947445",-0.002261998
"cg25879946",-0.004568274
"cg18061255",-0.001628687
"cg00994936",0.007881839
"cg07320630",-0.025383198
"cg17905091",0.00276536
"cg26979829",-0.001890869
"cg13316472",-0.000753999
"cg03998493",-0.004656793
"cg13067139",0.014222224
"cg25404454",0.014331607
"cg17069662",-0.002741117
"cg22004693",0.004034713
"cg00233887",-0.015449095
"cg02526838",-0.012203107
"cg04781839",0.016936647
"cg08823975",-0.005751158
"cg11817892",0.000897155
"cg20406528",-0.001659687
"cg15520955",0.002638509
"cg05678191",-0.009535319
