"pred.var","coef"
"cg21393018",0.006443095
"cg19269027",0.002093306
"cg19149410",0.002550617
"cg19125323",0.00184497
"cg21253282",-0.003899862
"cg24774340",-0.010150847
"cg18255614",0.015917713
"cg07769507",-0.002765801
"cg24422027",0.01842605
"cg18834489",-0.015020367
"cg07204069",-0.006475301
"cg10003667",-0.013126213
"cg21332729",-0.008322413
"cg24778383",-0.0023582
"cg02587643",0.002371946
"cg05762694",0.00192256
"cg10580269",0.021409611
"cg00942551",0.054593429
"cg17256073",-0.004664891
"cg27606567",0.022343303
"cg15099667",-0.003910125
"cg25552843",0.009762314
"cg09328024",0.006263735
"cg06606318",0.0280574
"cg18345115",0.001330615
"cg02183025",0.000338377
"cg24867247",0.003797409
"cg15319451",-0.000979497
"cg09321817",-0.014629378
"cg20926024",0.009226088
"cg02595823",0.019098938
"cg21710324",0.016031386
"cg19223299",0.007720009
"cg00695416",0.006760571
"cg02061047",0.009313753
"cg00218409",-0.007349653
"cg24035484",0.013827375
"cg01340312",-0.011576564
"cg02086310",0.010157397
"cg09671951",0.026017348
"cg01915516",0.008539862
"cg17855264",0.00011059
"cg00980319",0.005930516
"cg10836110",0.006563383
"cg11429292",0.008071784
"cg06825448",0.001353955
"cg23495279",0.000744403
"cg18650367",0.008161931
"cg16477774",0.014132424
"cg02650401",0.009543111
"cg12355110",0.000571078
"cg27655512",-0.006947964
"cg16411857",-0.013586611
"cg12431087",0.000285502
"cg10056627",0.029504422
"cg23064601",0.012402855
"cg09729012",0.021590816
"cg17394978",-0.008057264
"cg17112975",0.001354758
"cg07839457",-0.063134601
"cg10490842",0.005110493
"cg20954977",0.011738469
"cg02662495",-0.013507444
"cg01393705",-0.009328391
"cg05819130",0.007855124
"cg09087961",-0.003509214
"cg01973483",0.000444726
"cg09494379",8.07e-05
"cg10502206",0.002432712
"cg04286697",0.014078008
"cg00014104",-0.011709303
"cg26020069",-0.003625281
"cg06292709",-0.003616371
"cg23834593",-0.016170662
"cg08684854",0.006587321
"cg24527461",0.002599524
"cg08417595",0.005254531
"cg18850929",0.014434635
"cg26668906",-0.006506936
"cg00537351",-0.017106449
"cg16556633",-0.014457022
"cg22083166",-0.010945366
"cg14162076",-0.009550205
"cg10882886",-0.027618378
"cg09241174",0.031400008
"cg27028800",-0.00841206
"cg26169700",0.002113388
"cg02825630",0.007824879
"cg17827569",-0.003015802
"cg05952672",0.000116104
"cg11187662",0.00015435
"cg23820746",-0.008897374
"cg09026600",-0.000875407
"cg14537179",0.008332707
"cg00908631",0.015103888
"cg02975268",0.006432173
"cg23981526",0.013506537
"cg26904198",0.006032399
"cg17754168",-0.001798894
"cg05911749",0.007574316
"cg22761482",-0.005023673
"cg21253087",-0.001918966
"cg12160186",-0.026910448
