"pred.var","coef"
"intercept",-1129.601744
"cg10143960",62.57840495
"cg07284273",321.1955481
"cg17747265",-476.7257722
"cg09971184",6221.585387
"cg00935435",7843.179899
"cg15651727",-313.1407795
"cg13990487",-3855.916412
"cg00456299",3294.652461
"cg04974804",752.2315379
"cg13574848",-47.93123449
"cg25616777",301.0967729
"cg12386614",-321.5203524
"cg15355146",24.40200123
"cg19471466",-568.0665926
"cg14709691",-3272.887657
"cg21280384",1760.79304
"cg14476101",-6259.561221
"cg19693031",-10119.81535
"cg16700924",2037.019184
"cg20246707",2472.403552
"cg01365152",-3049.897849
"cg20327105",4225.282586
"cg25741192",982.7287959
"cg13678787",-152.8766001
"cg02591356",-356.9750066
"cg26471058",-4542.030067
"cg25939861",433.3308101
"cg03913456",-169.2424637
"cg24506130",-2095.550521
"cg26009035",311.5204961
"cg05308744",-17.00532352
"cg22663545",4431.735957
"cg02767242",1918.002325
"cg13603203",2327.358238
"cg20951650",4428.042588
"cg18405719",-764.8258954
"cg21614211",2152.270554
"cg06813250",390.8633601
"cg15705999",895.7830943
"cg09000779",1794.706567
"cg12473849",-406.8387742
"cg27336439",-1818.640734
"cg00480331",810.0369968
"cg13724379",2360.006584
"cg15012625",-1971.541466
"cg01658265",-2011.486477
"cg00252095",-2538.085056
"cg26805150",-427.2829635
"cg02373784",4591.724458
"cg07951602",286.7629563
"cg19719391",2803.889355
"cg08284371",3668.769308
"cg26816491",819.756996
"cg06690548",-4122.693219
"cg18376497",-314.3544478
"cg06176987",1383.091231
"cg22744079",-642.0743309
"cg16400903",60578.64044
"cg09884076",2251.887309
"cg12599971",423.2370259
"cg26403843",1921.428629
"cg07017437",-833.5372707
"cg21036336",1048.383777
"cg03714531",26482.89906
"cg23036136",-752.4168357
"cg10189661",758.9346539
"cg05218245",11272.96549
"cg04018738",4711.76495
"cg02115397",1757.937421
"cg12927358",9715.711081
"cg05466385",-348.5416783
"cg01702009",1763.919206
"cg06560379",-23106.41737
"cg21710255",-216.905829
"cg20459712",1535.204655
"cg18718984",922.0543692
"cg03707967",-41.22903107
"cg02027561",-2438.116583
"cg00695799",-1048.591816
"cg18116267",-5706.483512
"cg17501210",-4317.188386
"cg26905845",-1895.450333
"cg03730314",187.1846391
"cg03394401",-944.2145873
"cg19196326",195.2042429
"cg13550401",4758.166466
"cg08549335",-321.2362945
"cg17220237",194.0006183
"cg22322818",-6245.036515
"cg08695830",-2189.098137
"cg17981101",-1514.637898
"cg01337813",2628.364805
"cg25977769",85.99036191
"cg07592681",-3266.77536
"cg09584650",-958.1576672
"cg01070197",-20393.5518
"cg17744279",-661.0451875
"cg13518625",-1163.409394
"cg03393241",-291.6135934
"cg22660904",1387.804757
"cg26074100",-238.2875559
"cg01029867",-42460.6632
"cg14268714",2283.345021
"cg13673536",3638.56333
"cg14457452",-297.0888266
"cg21208062",-3.715684723
"cg12020464",146.9097406
"cg13873209",-1613.126126
"cg13499318",-488.4409095
"cg13915886",-208.4853899
"cg08614871",-1942.935859
"cg22660341",-73.73280204
"cg19647685",1921.804286
"cg03153178",1362.74599
"cg10531748",609.443408
"cg01508796",2208.754696
"cg06439736",-3785.227502
"cg18853287",-2207.616255
"cg13446658",3090.435998
"cg03322338",-325.5491086
"cg09566331",304.0975924
"cg21992507",1822.751731
"cg01438090",-984.6270609
"cg01562537",1498.633117
"cg17044529",25.57166254
"cg00574958",-50898.29542
"cg17058475",-3697.61439
"cg21960184",17725.62268
"cg02395454",-209.902261
"cg24675983",187.8259851
"cg21574681",902.4876946
"cg17850642",2078.159746
"cg01031441",-492.8471667
"cg01638369",1236.671873
"cg07539443",4190.020648
"cg15997315",1832.408927
"cg13842421",-520.0129399
"cg02925268",9389.491468
"cg26975476",-265.2910749
"cg13589330",5258.297983
"cg02853801",-193.1102711
"cg06147196",70.06775739
"cg24126612",435.2083321
"cg26407029",3935.614907
"cg01802397",10016.62399
"cg01885071",2460.869113
"cg01308343",-704.475333
"cg15471661",386.6508122
"cg16558846",-2618.407496
"cg17382302",218.2649939
"cg25291250",-2897.607067
"cg01021485",28206.75261
"cg27505538",14708.70716
"cg24924577",550.8799544
"cg00564555",925.2065559
"cg02193806",542.7053564
"cg05732130",18047.77785
"cg02189786",10463.00128
"cg00534468",2562.6889
"cg03699074",-1748.016204
"cg01829657",-5535.439099
"cg00892703",-741.6753337
"cg27113347",5242.914814
"cg09826306",141.8587598
"cg25567048",22.73783978
"cg06513864",17976.28368
"cg11020638",1446.78248
"cg05815247",-769.3776056
"cg21348173",3105.938359
"cg22850234",1893.385046
"cg10508317",-6677.512204
"cg27637521",-2659.616096
"cg16252995",-3970.067797
"cg03524223",23669.08605
"cg05495454",-5867.994099
"cg07573872",-1757.169021
"cg22519313",-215.1648061
"cg05313771",1211.996612
"cg09522532",2799.020632
"cg15783941",1304.648792
"cg24115922",1766.688545
"cg18593194",964.5429797
"cg25654926",543.9696832
"cg10853231",900.7680115
"cg19717326",-1731.682279
"cg13650654",1499.541266
"cg02875404",725.3215333
"cg14889658",806.9233623
"cg12683410",-1043.503355
"cg16887334",-789.8518703
"cg26126740",3438.368044
"cg10120040",1011.209119
"cg25761955",2273.989075
"cg22871721",-210.7911445
"cg22778797",4597.111115
"cg27243685",855.1850804
"cg06500161",14363.78578
"cg17215151",-306.4595427
"cg01127300",-3615.650425
"cg12511214",2543.104254
"cg07031797",5733.930262
"cg22249566",-381.8503078
"cg17511128",-1849.779291
"cg02495445",1778.859391
"cg16088894",113.3297101
"cg13573587",1527.246141
"cg03788610",745.3463686
"cg03990195",20.54534652
"cg08147391",-3123.403758
"cg05548952",200.272325
"cg07929447",2689.948692
