"pred.var","coef"
"intercept",7210.062555
"cg11781622",399.8157175
"cg13947317",3861.580695
"cg24145109",4281.873546
"cg19694465",1714.111981
"cg15211499",-25588.53889
"cg10511249",25643.77174
"cg16383389",-3710.896933
"cg04607246",1028.214894
"cg08926056",4559.8158
"cg14652203",-9729.961107
"cg20248954",28351.38633
"cg23814988",60980.607
"cg05971102",894.3289153
"cg07520608",2256.300527
"cg01412762",-997.8344934
"cg09920725",16759.64498
"cg12977946",637.7293094
"cg20150163",-14579.91235
"cg04946715",-7351.828196
"cg08645207",37.74680593
"cg14716323",5151.525593
"cg01956624",-38035.12987
"cg00497251",-3955.98995
"cg27114661",-2736.428547
"cg17025841",154.3168335
"cg06841024",-5049.840735
"cg27326062",4.86061302
"cg10747042",-59299.39182
"cg18098839",-594.4842658
"cg13457961",3549.596512
"cg10407935",-4825.477677
"cg01096266",335.4860145
"cg05613002",6936.508392
"cg05890887",15074.09632
"cg06440348",781.0175574
"cg21833476",-6655.535973
"cg26036479",-550.4651688
"cg25629712",-389.0636919
"cg12716346",-1213.035928
"cg02514143",24.97302735
"cg15016740",65.77379944
"cg01256539",-1934.203211
"cg08260658",-697.1682098
"cg25024993",1391.068527
"cg22157525",-24617.38563
"cg21227060",-1330.318226
"cg17255947",-501.769534
"cg26372792",58135.54135
"cg26867866",-15740.06378
"cg09144073",-14404.24442
"cg11074353",583.6484126
"cg10000096",-3205.998198
"cg17501210",-5372.871739
"cg26960221",2016.401804
"cg24172278",-12108.51207
"cg01753176",652.7037237
"cg21843627",186.6953473
"cg19080320",12399.56891
"cg20915897",1966.546943
"cg26116499",1392.503915
"cg07665217",-513.3730387
"cg02505126",2504.703653
"cg13565994",4129.144105
"cg17561365",-1024.291998
"cg09194449",706.4462886
"cg26206456",645.8830691
"cg21462914",-1802.010539
"cg17560136",1397.713913
"cg19033875",-6400.632526
"cg18995788",-2777.127849
"cg14387545",-42945.52732
"cg14626196",-2634.813574
"cg16704703",-969.6755621
"cg19328485",863.0370262
"cg04254609",-651.4583282
"cg02974659",620.4637981
"cg19795482",-1709.168746
"cg17133967",-13133.84913
"cg17639894",-31632.20713
"cg13657511",922.3733356
"cg26411299",1171.155432
"cg05425050",20186.8944
"cg11058730",-12052.84345
"cg05590616",2424.665426
"cg07268726",1831.986719
"cg02780017",96.15905904
"cg05710301",4653.136553
"cg00574958",-23541.59879
"cg02580722",8795.942608
"cg11507178",-1818.350358
"cg08832227",82.69296489
"cg22047262",2295.243156
"cg11043909",3732.599117
"cg06705834",-3207.659709
"cg17177219",329.2958425
"cg24805559",766.1399831
"cg10323552",-891.5016985
"cg13649020",-3158.706564
"cg01936220",-411.3079557
"cg09225388",1731.883418
"cg05241355",983.4730975
"cg21112391",230.0052075
"cg12155356",-3108.401615
"cg08140104",1348.3989
"cg01823956",-6972.369394
"cg10439456",571.9232556
"cg21791657",-2935.475457
"cg19510604",-5604.569362
"cg07120314",177527.1735
"cg10530344",-466.5335478
"cg21658515",-8259.562879
"cg16708495",1614.263133
"cg03997502",97.83918782
"cg08405844",-17.22268733
"cg05144928",-111.8654657
"cg09351263",-91.08173347
"cg22510362",703.7846118
"cg03072681",-77.70118401
"cg06959205",-507.3314612
"cg00892703",-1314.129115
"cg06912355",306.0510052
"cg13606988",4565.824772
"cg16569347",4105.738419
"cg12165215",855.9714643
"cg08667899",16368.7261
"cg01130991",3463.559802
"cg12054453",-375.3464161
"cg18181703",-560.6150522
"cg10508317",-6991.586996
"cg27637521",-1478.899725
"cg04243822",11248.3782
"cg12486944",-570.236291
"cg24391240",-6867.311616
"cg19617213",23322.39356
"cg12846567",9420.530873
"cg03358468",10295.26129
"cg18569704",1059.404004
"cg15001547",140.6096739
"cg02991799",-26774.41282
"cg25450266",-1921.30082
"cg22030032",-5552.255026
"cg09915601",1767.011288
"cg03443360",3006.454383
"cg17758363",531.0423125
"cg14928764",2315.709965
"cg11850311",24469.40814
"cg14234805",-2124.110799
"cg20747455",411.5875929
"cg12112556",-2511.507755
"cg17262492",7076.659222
"cg07871532",232.0860396
"cg08548559",-179.0485844
"cg27115863",-2274.229741
"cg22650271",7641.218961
"cg19778944",-29876.29297
"cg23083672",2041.960777
"cg02758183",-4899.274233
"cg20308511",81.1718922
"cg21412053",-1385.112656
"cg26071410",875.0354197
"cg09625066",-4639.950402
"cg11235848",2973.031239
"cg02311013",-2170.988053
"cg21664443",-3061.649632
"cg05127178",385.3773417
"cg19110434",-127.520037
"cg25697726",2148.520557
"cg03204600",3238.206182
"cg11049305",107.1150082
"cg13501581",-4270.715107
"cg01564693",-4136.361017
"cg10509982",-482.7367021
"cg20557017",1316.688232
"cg05373692",377.1439534
"cg05470074",466.5591909
"cg08262933",1120.54901
"cg15062055",477.5191909
"cg12889449",1366.462301
"cg23955970",-212.8689774
"cg05530348",-1102.288196
"cg11595135",3745.520524
"cg06298190",251.0905928
"cg20686207",381.6825626
"cg14686949",-795.8567583
"cg18003791",2671.475726
"cg05295197",-1501.562991
"cg23106779",2762.079458
