"pred.var","coef"
"cg10706454",0.001130775
"cg21385822",-0.001125696
"cg15828364",6.79e-05
"cg09916783",-0.003940317
"cg13984040",-0.001230078
"cg11835347",0.00205687
"cg19295068",-0.018454088
"cg05381960",-0.0169283
"cg22322184",-0.052894267
"cg02346997",-0.074539223
"cg17901584",-0.0118503
"cg24843346",-0.000780402
"cg07071764",-0.013990222
"cg00867472",-0.026332295
"cg07787977",-0.036653038
"cg05431171",-0.00085036
"cg18935453",-0.00821053
"cg07744435",-0.00211004
"cg02048220",0.000642198
"cg25406989",-0.002262125
"cg11276500",-0.00547622
