"pred.var","coef"
"intercept",0.0103803100323081
"cg16649792",-0.000182830766259097
"cg10277044",-3.67598392671316e-05
"cg24155358",-3.22390363222528e-05
"cg26508200",-0.000212355010882002
"cg17650255",-0.000192022689563784
"cg19438764",-4.83195155048474e-05
"cg12622973",-1.99715942096157e-05
"cg05611939",-7.98234788286483e-05
"cg26444086",-4.04455579334532e-05
"cg10713875",-2.33855734979098e-05
"cg17050687",-4.35723840686846e-05
"cg07227049",-8.07665675142578e-05
"cg01891940",-0.000120368103624366
"cg23352245",0.000154054003230284
"cg08628635",-4.11659748964731e-05
"cg11745838",-9.86161584605683e-06
"cg11853249",-2.07574312997697e-05
"cg26709988",-9.14414327169988e-05
"cg03636618",-2.87424150911438e-05
"cg08472008",-1.45137470196236e-05
"cg12011397",-2.66569574060831e-05
"cg12108234",-7.69650197179013e-05
"cg01474011",-4.37224006615733e-05
"cg11376341",-8.05662077729488e-05
"cg27388185",-1.39646535927409e-06
"cg14863672",-3.19722331668695e-05
"cg26708484",-1.90433442331872e-05
"cg11884954",-2.14112980561831e-06
"cg04100356",-9.96043518509177e-06
"cg06386426",-1.04248052466805e-05
"cg27141099",-1.62882611014037e-05
"cg26942829",-5.18814375539659e-05
"cg23615741",-9.48918315336451e-05
"cg03404346",-0.000188482348443174
"cg13712829",-2.09847554742131e-05
"cg06339338",-2.71610462987516e-05
"cg25197157",-9.42311920874234e-05
"cg26307396",-0.000143115218324055
"cg11800812",-4.1518796033326e-06
"cg27057526",-5.55762890776715e-06
"cg02399947",-1.46093976170716e-06
"cg20891765",-2.80605982665791e-05
"cg00622957",-1.69993618564648e-05
"cg24310530",-0.000121419214939952
"cg21430311",-9.59309685276577e-05
"cg19689587",-5.51923077497413e-05
"cg25596327",-2.47709586896749e-05
"cg03388043",9.4040012892681e-05
"cg24827600",-5.42364017597723e-05
"cg11288428",-6.16424051638101e-05
"cg04832566",-2.91311674046168e-05
"cg12077963",0.000266127826039635
"cg19282986",-1.22499654384456e-05
"cg11137113",-0.000137255158538862
"cg08428726",-2.47353970475623e-05
"cg24025721",-1.75710754289884e-05
"cg21042336",-1.21133411784821e-05
"cg06275503",-0.000156157477203078
"cg14188519",-1.33760554433746e-05
"cg02499548",-0.000205647908592596
"cg26298914",-0.00020489204551819
"cg01179618",-2.34766367054706e-05
"cg08592614",-0.000218893462081135
"cg20940424",-8.22030536936041e-05
"cg16958707",-2.14387955488597e-05
"cg13022415",-2.51879805243953e-05
"cg21223191",-0.000148685662439535
"cg11789991",-8.55030785181707e-06
"cg21962903",-2.98410621527169e-05
"cg00619294",-4.18608209573165e-05
"cg06594079",-6.29738254337465e-05
"cg09166556",-5.60471280208623e-05
"cg21862228",-7.91778381824871e-05
"cg07677920",-5.22505324845283e-06
"cg22712983",-8.85079647251182e-06
"cg24827643",-8.25893043465221e-05
"cg09248399",-4.38875972937941e-05
"cg09370867",-3.02879028311103e-05
"cg17657253",-8.22357506307451e-06
"cg12352426",-9.72138049429496e-06
"cg12411992",-2.84593540735633e-05
"cg17042723",-4.81586564709561e-05
"cg03146219",-0.000214701858999492
"cg04897370",-8.2670818412808e-05
"cg13645963",-7.14741619896724e-05
"cg05193189",-4.0420512207977e-05
"cg17520907",-9.67629055598592e-06
"cg11163453",-2.40419361505826e-05
"cg02787852",9.82162842991512e-05
"cg00128590",-0.000112812241593995
"cg18693202",-0.000109664532901753
"cg06095916",-0.00010758323776272
"cg21563567",-0.000113666928445013
"cg02490678",-0.000133491191246553
"cg01087254",-2.22488520657526e-05
"cg20932630",-0.000166719922023325
"cg11842599",-2.48988709040569e-05
"cg05802929",-4.00397713863191e-05
"cg04179951",-2.5075790346399e-07
"cg14414154",-7.46201174101154e-05
"cg21609524",-4.09288535744756e-05
"cg09982570",-4.62812723969983e-05
"cg15090227",-1.31401907867037e-05
"cg19540377",-1.5200281815297e-05
"cg15551201",-2.1305446583601e-05
"cg21334129",-0.000107038650488278
"cg20518353",-2.84866571053822e-06
"cg03614362",-3.92764113740876e-05
"cg07577228",-0.000117013911166517
"cg17723491",-8.83360147241513e-05
"cg02640484",-3.62959956334948e-06
"cg07495089",-3.58082880471671e-05
"cg24681307",-5.04115767725034e-05
"cg26959689",-0.000101803805080194
"cg15240213",-6.43729990495678e-06
"cg10251229",-0.00012368148770056
"cg10890106",-5.9352833824272e-05
"cg25198994",-8.95414608748137e-05
"cg15645600",-1.88242182518756e-05
