"pred.var","coef"
"cg12855247",0.002778166
"cg11219407",0.019797583
"cg04512424",0.017338771
"cg06553107",0.026565208
"cg15985196",0.022901743
"cg16583279",0.003108313
"cg19438469",0.010045581
"cg14494623",-0.004532392
"cg14537362",-0.000972126
"cg09958090",0.001897257
"cg18813148",0.005100121
"cg00171126",-0.010609214
"cg18539745",-0.004646682
"cg17060195",4.59e-05
"cg07342545",0.019346554
"cg27523491",0.00193189
"cg22412063",-0.00308442
"cg08443814",0.00137854
"cg24722365",-0.000842566
"cg10342789",0.000144516
"cg10279487",-0.013927228
"cg17271180",-0.000383388
"cg18383069",-0.004938602
"cg04710402",-0.014296701
"cg25645310",0.008007858
"cg11418036",0.003696521
"cg01681367",-0.005349591
"cg24553364",0.007554708
"cg16173736",0.003977569
"cg01829024",-0.005135466
"cg12267291",-0.00467082
"cg16361282",0.010341418
"cg15244223",0.01493438
"cg01548300",0.013257261
"cg25034941",0.009819079
"cg24153044",0.00871845
"cg23444713",0.001910831
"cg02147989",0.016942499
"cg19927028",0.003978115
"cg03731202",0.003329678
"cg09161412",-0.001301248
"cg11631518",0.006815784
"cg10693058",-0.007626565
"cg14751914",0.00139399
"cg23072086",0.014976896
"cg17826834",0.001465917
"cg07564061",0.003757966
"cg26882164",0.015250314
"cg25052320",-0.016272854
"cg07216976",0.002843815
"cg06038367",0.001976234
"cg16411857",-0.008228505
"cg19265972",0.026086385
"cg15551881",0.035151807
"cg06192883",0.000669182
"cg01243823",-0.000660022
"cg26314722",0.004778455
"cg08482465",0.006761645
"cg03238702",-0.005776157
"cg04922154",-0.018763471
"cg12648811",0.001934647
"cg07375256",0.002696963
"cg23299133",0.012978785
"cg11024682",0.043137099
"cg00812761",0.003379258
"cg04610187",-0.008355289
"cg07839457",-0.135287788
"cg26470501",-0.001047038
"cg09738410",-0.001504925
"cg24393673",-0.020149635
"cg06500161",0.002847875
"cg11240043",-0.006152661
"cg27274446",-0.005056492
"cg03653817",-0.014756639
"cg00520135",-0.007967768
"cg06969622",-0.005743224
"cg02981703",0.002994413
"cg10115368",-0.002891491
"cg08634298",-0.006560176
"cg06068373",0.013603564
"cg14178765",0.007881773
"cg12180253",-0.00046959
"cg17061206",-0.001070742
"cg23957311",-0.038141255
"cg27005487",-0.004885682
"cg14195992",0.02211395
"cg25087851",-0.018115815
"cg26584747",-0.000709965
"cg00259097",0.010978838
"cg23433318",0.006062826
"cg23268290",-0.004617601
"cg11806635",0.005294034
"cg04982193",0.000326614
"cg07691146",-0.006807613
"cg05106191",-0.023149399
"cg19585797",-0.020381942
"cg15464485",0.000331173
"cg10780002",-0.000293477
"cg08463775",-0.008618418
"cg17851021",0.009163985
"cg00644351",0.00220094
"cg07444554",-0.001876599
"cg08428188",-0.001850188
"cg09062288",0.009615616
"cg25879360",-0.002009481
"cg00245075",-0.005518046
"cg14527610",0.008585689
"cg11527695",-0.001502152
"cg01108642",0.01431394
"cg17430424",-0.006119694
"cg09272186",-0.004414403
"cg14902168",-0.016899803
"cg16919456",-0.01746185
"cg12785276",-0.004257152
"cg04043011",-0.000309256
"cg18496140",0.002604599
"cg06639763",-0.000587283
"cg14209522",0.015864617
"cg15094634",0.006972769
"cg21554886",0.001061969
"cg11033938",-0.001735922
"cg09507608",-0.002840395
"cg06545359",-0.006340741
"cg26687497",-0.00448965
"cg16064623",-0.000104193
"cg23345618",-0.016918814
"cg13362794",0.001064535
"cg21590827",-0.000197269
"cg14689456",0.001112071
"cg22829706",0.003930736
"cg08981478",-0.004545275
"cg24118521",0.018189274
"cg16757248",0.016291063
"cg00196474",-0.010091046
"cg03886315",-0.041607116
"cg15776929",-0.007259644
"cg23740652",0.005500068
"cg06745965",1.17e-05
"cg26354221",0.003718904
"cg06307943",-0.01746454
"cg04678644",-0.000416823
"cg06292146",-0.006570857
"cg05034374",0.000440647
"cg20812772",-0.007888836
"cg09801621",-0.030583043
"cg05503916",0.001307423
"cg16590012",-0.005288499
"cg06965169",-0.001975899
"cg20858454",-0.004938118
"cg22158475",0.001780878
"cg00230120",-0.011394462
