"pred.var","coef"
"cg02299568",0.014737008
"cg21045841",0.004083112
"cg02801839",0.000938514
"cg27576679",0.009552714
"cg19784848",0.014782839
"cg07057074",0.013931424
"cg17170088",0.022759027
"cg12156831",0.080906166
"cg13448968",0.000142086
"cg24233331",0.011290161
"cg12996119",0.04339889
"cg16608053",0.058282984
"cg04586407",0.021069768
"cg16031711",0.00114803
"cg26869849",-0.017939901
"cg21934978",-0.00887344
"cg10550160",-0.001546716
"cg23033430",0.014579279
"cg15627710",-0.002611566
"cg08193100",0.02239723
"cg27410012",-0.003628842
"cg06688848",0.001190069
"cg08585380",0.017193419
"cg06866163",0.003379891
"cg00092287",0.014011865
"cg23653712",0.014984128
"cg20387712",0.007117819
"cg03872502",0.010789162
"cg01027498",0.007920226
"cg18722247",-0.002844734
"cg16232979",0.009857625
"cg14249227",0.045227228
"cg05364829",0.026669979
"cg21155796",0.024699641
"cg20367082",-0.00076084
"cg07515251",0.010651545
"cg18108716",0.022629723
"cg00115984",-0.003626643
"cg21248130",-0.00328599
"cg00463171",-0.00390781
"cg24385709",-0.015850479
"cg16662877",0.01927796
"cg13621410",-0.018910227
"cg06366213",-0.005586448
"cg07875759",0.004081436
"cg18194292",0.005008962
"cg24186939",0.007016924
"cg13465631",-0.001243037
"cg08905130",-0.018215292
"cg27478961",-0.002414391
"cg15728861",0.002418243
"cg10374258",-0.001221766
"cg03508526",-0.000899025
"cg03630710",4.68e-05
"cg02915221",-0.000771925
"cg08859095",0.01320827
"cg26691434",-0.006311399
"cg01881899",0.009672608
"cg24860475",0.020649073
"cg16589299",0.005334811
"cg12406391",0.006377063
"cg12143499",-0.002182454
"cg14207147",0.014271093
"cg19093820",-0.000295587
"cg21365298",0.001929643
"cg02126031",0.005186994
"cg12559208",0.000552178
"cg17627654",0.005349577
"cg12197142",-0.012225518
"cg16277725",-0.004941876
"cg10658666",0.002226474
"cg20674635",0.010907451
"cg09845604",-0.005232379
"cg00010742",0.003784926
"cg16051083",0.003058942
"cg22671798",-0.013596986
"cg16411857",-0.014737771
"cg15793563",0.000791612
"cg03638795",-0.003372533
"cg09251764",-0.023348347
"cg20038252",-0.005201778
"cg08022502",-0.000574018
"cg01353073",-0.001476831
"cg05360958",-0.017339056
"cg18514595",-0.011643866
"cg05548190",-0.017932648
"cg22136749",-0.002492698
"cg01517384",-0.011070089
"cg14364797",0.010694836
"cg07547549",0.000685181
"cg06299997",-0.001183741
"cg09748749",-0.001740225
"cg03132729",-0.001329746
"cg22400015",0.008117546
"cg07839457",-0.108414543
"cg03349134",-0.002437059
"cg10725861",4.45e-05
"cg22221831",-0.008741069
"cg00618711",-0.001450849
"cg04727357",-0.003808946
"cg11142333",-0.012340825
"cg06962373",-0.003862231
"cg03681057",-0.01652383
"cg01078048",-0.005890592
"cg18924562",0.023970923
"cg02481950",-0.021775192
"cg17131445",0.007799549
"cg16867657",0.045684534
"cg06719042",-0.020320254
"cg25376491",-0.011933674
"cg04576298",0.006279614
"cg27314761",0.011831928
"cg14605520",0.017108027
"cg14109551",-0.015304544
"cg04444027",0.00047472
"cg04468741",-0.001170068
"cg08871628",-0.01452538
"cg09899496",0.001160754
"cg26717590",-0.02527749
"cg10177795",0.001835675
"cg26424956",0.007848739
"cg00549798",0.010576352
"cg04149776",-0.009087372
"cg01579216",-0.002251892
"cg07630229",0.005441197
"cg24980709",0.004982494
"cg03243506",0.000396193
"cg10173172",0.004505506
"cg19911880",-0.00074147
"cg04737993",0.00653995
"cg01975529",0.009667529
"cg20883730",0.002683044
"cg00401032",0.003056739
"cg16652855",-0.003771457
"cg24653270",-0.032306645
"cg18084046",0.008420882
"cg26782150",-0.000879203
"cg08037115",0.005536469
"cg05726258",-0.025511418
"cg18416823",0.009543428
"cg02309882",-0.019098351
"cg11061975",0.029111669
"cg13637269",-0.010119518
"cg14898177",0.016594655
"cg07784293",0.022070631
"cg00628766",-0.015506861
"cg18329753",0.005691607
"cg14236957",0.002192312
"cg20735050",-0.003266359
"cg08308360",-0.006913633
"cg12568707",-0.006186806
"cg03915012",-0.018659917
"cg24919884",-0.123348962
"cg26344026",-0.004776083
"cg18642425",-0.01110664
"cg04352803",-0.014886724
"cg00699419",-0.032163083
"cg00063979",-0.037994211
"cg13146020",-0.008350725
"cg00717279",0.023927526
"cg09361941",0.00175088
"cg16739342",-0.006582487
"cg23977256",-0.006164916
"cg23056060",-0.026382622
"cg07387429",-0.002008421
"cg27418099",0.005408396
"cg22561794",-0.019027405
"cg25010805",-0.000381532
"cg20207715",-0.006198166
"cg07175733",0.006534565
"cg25767832",-0.001018425
"cg12274600",0.020076166
"cg05665093",-0.003338743
"cg09936218",-0.01108454
"cg11304283",0.004653529
"cg25972092",0.009329334
"cg18022927",0.013362325
"cg10761785",-0.007591581
"cg17509836",-0.011536608
"cg12023246",0.016659808
"cg24792692",-0.007223093
"cg16222581",0.00620464
"cg09684557",-0.005327416
"cg02922732",2.54e-05
"cg13576994",-0.001371947
"cg13022534",0.006341114
"cg04902405",0.003691178
"cg04468776",-0.00567899
"cg16590012",-0.003305234
"cg25019044",0.013954392
"cg20853771",-0.004934584
"cg19162300",-0.021638901
"cg25036357",-0.008353451
"cg09796094",-0.006713084
