"pred.var","coef"
"cg06620654",0.020835428
"cg08479688",0.038384317
"cg10768682",0.026342034
"cg19311602",-0.009481097
"cg23906144",0.02261366
"cg01077808",0.0291051
"cg17419241",0.049336908
"cg00868383",0.002026184
"cg18824571",-0.016783958
"cg24607181",0.003789244
"cg14558262",-0.006323849
"cg15775457",-0.007777808
"cg09995897",-0.000972367
"cg26528541",0.009722791
"cg05568761",0.000727473
"cg19714279",0.002086283
"cg16419235",0.003413785
"cg12655542",0.020935248
"cg15930380",-0.011931935
"cg19658332",-0.005780763
"cg20668765",0.000465019
"cg06981309",0.001553431
"cg05129572",0.012114698
"cg26444116",-0.001549275
"cg27154941",-0.003706635
"cg04104695",-0.016251672
"cg15698196",0.00553175
"cg14440550",-0.038357721
"cg11719157",-0.006326243
"cg21477638",0.000936645
"cg20426671",-0.000229439
"cg03625953",0.005869244
"cg06024391",-0.002348899
"cg03059382",0.007005868
"cg02633149",-0.033560113
"cg20247661",0.004533719
"cg12064929",0.010067544
"cg15155360",-0.008506518
"cg15935121",-0.008524835
"cg27386614",-0.002879278
"cg23668222",-0.006197492
"cg11168006",0.00321031
"cg17107691",0.007407526
"cg20889445",0.000698905
"cg01082057",0.000418343
"cg14259466",-0.002628957
"cg05387996",-0.012271738
"cg26573274",-0.003655975
"cg26332488",-0.038490847
"cg04341097",-0.005020198
"cg09159050",-0.028771387
