"pred.var","coef"
"cg23890774",-0.005320861
"cg21665078",0.009814841
"cg17738133",0.003020291
"cg07038191",-0.006798437
"cg00506629",0.000549039
"cg06459916",0.005689789
"cg14854718",0.014962191
"cg19206667",0.002960177
"cg12840261",-0.003365841
"cg14594481",-0.011654033
"cg01460805",0.012952926
"cg08080195",0.001703718
"cg11575738",0.003381547
"cg00375829",0.000132227
"cg20200605",0.001981655
"cg08888278",0.002153028
"cg07379000",0.002637475
"cg13655586",0.02764296
"cg27122888",-0.012675952
"cg03667317",-0.000723598
"cg00232453",-0.000371989
"cg16169675",-0.003281061
"cg16556397",-0.014718974
"cg23922804",-0.00655898
"cg11772020",-0.015481627
"cg07370221",-0.015167645
"cg16991589",0.007295714
"cg03856470",0.128435032
"cg16985708",-0.005277991
"cg10117369",0.001188737
"cg19377607",0.00093297
"cg20633370",-0.008537297
"cg01640660",0.121666169
"cg06087349",-0.000661098
"cg15722977",-0.004217694
"cg10130811",-0.003744746
"cg02453013",0.068589072
"cg16331565",-0.014166824
"cg02512860",-0.008424007
"cg02976109",-0.000388185
"cg25363091",0.015847404
"cg22688471",-0.014996406
"cg09085932",-0.00966769
"cg07835270",-0.003402009
"cg03319082",0.060988327
"cg18047920",-0.004766417
"cg23902550",-0.000460031
"cg10296799",-0.01053562
"cg26344818",-0.000681498
"cg03287432",-0.003356468
"cg16746221",-0.006721722
"cg03371384",-0.002287487
"cg06672250",-0.002655072
"cg26703534",-0.038879553
"cg26705764",-0.001134526
"cg03733578",0.014049299
"cg04172771",-0.016757071
"cg26987057",-0.002484275
"cg08063051",-0.016450253
"cg08214927",-0.017649023
"cg03650550",-0.000207185
"cg20024687",-0.000249666
"cg27107150",-0.06500729
"cg01101782",0.007651212
"cg01192875",-0.001171824
"cg24550560",0.008062115
"cg18550847",-0.015316696
"cg10473367",0.030507598
"cg21309351",-0.003596599
"cg17629148",-0.003367683
"cg11305134",0.010163573
"cg05825855",0.001932796
"cg12402318",-0.012229411
"cg09140593",0.002060125
"cg05076755",-0.000928839
"cg11150191",-0.002634224
"cg05834895",-0.020345343
"cg02763803",0.00054914
"cg07190903",-0.002893334
"cg16232071",-0.006779756
"cg20120371",0.008226924
"cg06487334",0.004726287
"cg13321688",-0.003597026
"cg15885788",0.002814928
"cg15438506",-0.002397058
"cg04007987",-0.005322339
"cg26832832",0.008279191
"cg05100666",0.003275751
"cg06541416",-0.024059182
"cg11198676",-0.005795501
"cg10516012",-0.187119099
"cg07412758",-0.00668841
"cg14990082",-0.001843431
"cg21824343",-0.003819096
"cg16704797",-0.0128564
"cg17581065",-0.002012357
"cg03562592",-0.005909476
"cg10021786",-0.00769259
"cg09075268",7.22e-05
"cg22851092",0.001683313
"cg14205576",0.00322662
"cg07931962",0.00019964
"cg06181703",0.007296316
"cg17081408",0.001549973
"cg06368293",0.013362541
"cg22654940",0.002701295
