"pred.var","coef"
"cg03827164",0.005650521
"cg11065518",-0.009824132
"cg00593048",-0.005207969
"cg08332594",0.003939985
"cg02325540",0.003614136
"cg09761863",0.002382597
"cg21234853",0.00721804
"cg26509146",0.006051147
"cg19600750",-0.020835054
"cg22240533",-0.016635549
"cg25607249",-0.016742564
"cg10739556",-0.004307732
"cg22517995",0.005096976
"cg27118035",0.000704175
"cg02639294",0.001131396
"cg13930892",0.000393083
"cg02711608",-0.016421436
"cg24049493",0.018706903
"cg09461728",-0.006994921
"cg06192883",0.001002242
"cg22695986",0.000448453
"cg16008148",-0.004797994
"cg09655666",0.006822173
"cg22159058",0.004315729
"cg21709871",0.028112668
"cg04987734",0.003603817
"cg07167185",0.019167136
"cg02046143",-0.028666005
"cg23500537",0.001009945
"cg11024682",0.020930203
"cg14576824",-0.002033718
"cg06639320",0.010524797
"cg06644124",-0.015650254
"cg06500161",0.068424491
"cg17460445",0.005239228
"cg22052056",-0.002699426
"cg14434412",0.007115267
"cg07645761",0.002921087
"cg14768164",0.011654788
"cg12468774",0.019176657
"cg16867657",0.024312097
"cg22304262",-0.002994626
"cg11751101",-0.021174869
"cg04986899",0.00374896
"cg13857947",0.009152656
"cg21232015",0.016976866
"cg23906872",-0.004800322
"cg13572071",0.000371671
"cg06852684",-0.000167371
"cg20407834",0.016495116
"cg22243000",-0.004206464
"cg11643285",-0.122996909
"cg20825216",-0.005253759
"cg13335935",-0.007456925
"cg14712983",-0.007439811
"cg07609703",-0.021108227
"cg07171518",-0.012932033
"cg18209359",0.002046914
"cg16945633",0.00768208
"cg15804231",-0.004445077
"cg25508605",0.000982592
