"pred.var","coef"
"intercept",0.100026121786656
"cg16649792",-0.000663939677419417
"cg25674027",-0.000121434244666064
"cg17122582",-0.000272986638129967
"cg05116792",-8.01535047287755e-05
"cg13364154",-0.000304697402090742
"cg24155358",-0.000105498880750652
"cg12223839",-0.000682285909278615
"cg08262907",-1.98088886396195e-07
"cg17650255",-2.03546217391316e-05
"cg19438764",-0.000457769518227346
"cg02372723",-0.000232521119129273
"cg11254053",-0.000324126548443074
"cg08507334",-0.000530772520719914
"cg04202597",-0.000779301414363125
"cg10713461",-0.000411209575567665
"cg14102437",-8.34316303319373e-05
"cg05434837",-0.000548727546455539
"cg05661278",-3.53006719578601e-05
"cg05611939",-0.000360775371395921
"cg20537531",-0.000178676667289729
"cg24392753",-0.000304284257779637
"cg17050687",-0.000573105655874062
"cg07125403",-0.000197014549797352
"cg07227049",-0.00151841985233346
"cg04763057",-0.000167544611017553
"cg01891940",-0.00105155467704934
"cg12818023",-0.000146463323060255
"cg08628635",-0.00086853851174159
"cg04068159",-0.000109587402098752
"cg11745838",-0.000741059907388909
"cg19405329",-0.000121255458491187
"cg16834953",-0.000445720893100789
"cg26438215",-0.000885796024341524
"cg12011397",-0.000396275835082444
"cg16762030",-0.000194862086291535
"cg21052905",-0.000146959603482076
"cg08429353",-0.00125923116042612
"cg06724500",-4.59169978301349e-05
"cg13699412",-0.000219651365704275
"cg26598162",-0.000206497495254773
"cg23283063",-0.000148158637066796
"cg08304487",-0.000492210847194211
"cg26438367",-0.000190000813215006
"cg14685461",-9.78263440719851e-05
"cg27388185",-0.000191486110542181
"cg21027759",-0.000168922050374283
"cg20805133",0.00040683192646462
"cg17054123",-0.000157483063717506
"cg16023546",-0.000183891725368281
"cg09153398",-0.000361363755415629
"cg02334092",-2.90563722267368e-05
"cg12576598",-6.23380124493203e-05
"cg04869336",-0.000210304560645464
"cg26942829",-0.000496687511782769
"cg03404346",-0.000159108452485366
"cg20693213",-0.000258139991294664
"cg25197157",-0.000552116028118595
"cg10293909",-0.000771985597602354
"cg21792134",-3.01952164658081e-05
"cg02399947",-0.000207665387205836
"cg00622957",-0.000683020887086069
"cg20588986",-0.000361781603983493
"cg24310530",-3.90505159714326e-05
"cg06373940",-0.00170154147049642
"cg18038331",-4.97684629976439e-05
"cg16899991",-0.000104061283222933
"cg24571428",-0.000217393116695507
"cg19689587",-0.000113993429314972
"cg12182708",-0.000254295763588787
"cg14064277",-2.93405204069924e-05
"cg13618516",-7.32370510650331e-05
"cg04832566",-0.000371929656081256
"cg14382954",-0.000225134498494246
"cg19282986",-0.000430229022459399
"cg10926819",-0.000223680255299514
"cg17491991",-0.000186746741258423
"cg08428726",-0.000316088167696469
"cg04620566",-0.000227497668288474
"cg02499548",-0.00170683369892233
"cg13602831",-4.84629384611588e-06
"cg13828018",-0.000782484017604931
"cg20905910",-0.000843187775668874
"cg26298914",-0.000626325336775401
"cg01179618",-0.000369744883534294
"cg07656520",-0.000409258892187306
"cg12782754",-0.000276467740076324
"cg13022415",-0.000450688414192228
"cg19966540",-0.000549669086609687
"cg24086675",-0.00042303291391489
"cg17246060",-0.00114669187472835
"cg22029028",-0.00016002633614303
"cg00619294",-0.000351900025135597
"cg18688188",-0.000237539040730286
"cg20337822",-0.000672723798838423
"cg09166556",-0.000485366611396083
"cg13647878",-5.03648992554708e-05
"cg12540941",-0.000121885839985267
"cg21862228",-2.92769775088213e-05
"cg16871855",-0.000550507534498552
"cg22712983",-0.0010245914513124
"cg00842918",-7.23354610472104e-05
"cg05405476",-0.000460070511483802
"cg03776905",-0.000411496533005312
"cg06938630",-1.5418859286905e-05
"cg05768065",-0.000774275399204486
"cg03146219",-0.000157532777330053
"cg19960185",-2.51161651868764e-05
"cg00448525",-0.000884054671280013
"cg13645963",-0.00068959079768216
