"pred.var","coef"
"cg17193369",0.026410184
"cg13611226",0.025440725
"cg10053162",-0.003578847
"cg27291138",-0.002717377
"cg03629318",0.009248737
"cg13552736",0.011519651
"cg07921371",0.003057162
"cg05548555",-0.010243377
"cg24242429",0.00829222
"cg05173758",-0.00364043
"cg24698536",0.005744037
"cg27312944",0.009789447
"cg00430888",0.012506957
"cg00547777",0.002216291
"cg12419863",0.001128372
"cg01602730",0.004493324
"cg06930757",-0.012252385
"cg16355231",0.027321762
"cg00758915",0.021796557
"cg10062919",0.001554901
"cg24621042",0.019900768
"cg25961567",-0.018637814
"cg07549715",0.005406628
"cg15787712",0.00380423
"cg05222794",-0.014462333
"cg02737268",-0.002759104
"cg20631044",0.006854701
"cg19714347",0.009567765
"cg06226386",-0.008957636
"cg23256579",0.025082279
"cg20136951",0.034004397
"cg04573702",0.00234637
"cg05998930",-0.005182228
"cg04720592",0.00469903
"cg11619216",0.011644922
"cg26052357",0.02147066
"cg03636183",0.012988346
"cg09018483",0.007493424
"cg20163980",0.016917571
"cg06937207",0.01922349
"cg19907725",0.003378869
"cg25362050",0.004888262
"cg07102001",-0.006855702
"cg08898775",-0.008336737
"cg03618918",-0.016867025
"cg05305327",-0.005590213
"cg10665844",0.005312182
"cg18560936",-0.004213324
"cg08297616",-0.00628608
"cg24694743",0.009363287
"cg09926046",0.008526573
"cg11643285",0.031258353
"cg14940760",-0.060277684
"cg02658330",-0.003296993
"cg05017994",-0.051869245
"cg04548715",-0.021690534
"cg01444501",0.012914346
"cg03596635",-0.006346669
"cg26069049",0.002724335
"cg14066207",-0.008797861
"cg24557281",-0.000582659
"cg09751071",-0.022252629
"cg07308232",-0.007424224
"cg07503211",-0.000754672
"cg01971363",-0.016102051
"cg03480698",-0.000842606
"cg19223190",-0.002348703
