"pred.var","coef"
"cg21511817",0.000108833
"cg16020069",0.010942103
"cg23213170",0.004938792
"cg14594969",0.0002493
"cg25477268",0.000442433
"cg14786285",0.015687619
"cg08205639",0.012667657
"cg23676798",0.013185688
"cg13174197",-0.00186602
"cg21455437",0.001538134
"cg08456760",5.02e-05
"cg26982386",0.004160704
"cg22306691",-0.006737389
"cg21636432",0.00540196
"cg24505395",0.002503784
"cg02270108",0.001686843
"cg09827499",0.013343094
"cg10576051",-0.005860476
"cg04251872",-0.023289049
"cg19471466",0.037592697
"cg23175074",0.015778419
"cg09866743",0.008776356
"cg19746397",0.015419025
"cg10636246",-0.022990466
"cg12054453",-0.072285947
"cg14972576",0.021455235
"cg03454353",0.00376971
"cg01427567",0.000253018
"cg09349128",-0.13747431
"cg26191422",0.004852105
"cg11779808",0.000836833
"cg00771084",0.018701267
"cg16468389",0.000985922
"cg18576206",0.000746562
"cg02914097",-0.017127797
"cg05370136",0.023533866
"cg06490943",0.007495916
"cg01059398",-0.002709516
"cg19816354",0.002533218
"cg10806197",0.021314089
"cg24998981",-0.00221646
"cg08156120",0.001840448
"cg05060440",0.012851153
"cg00645731",-0.003600864
"cg00833822",0.005567403
"cg01540522",0.002678502
"cg06622267",-0.012517221
"cg09102017",0.004404156
"cg14010379",0.000748784
"cg15475977",-0.022786629
"cg24133905",0.007195973
"cg19347782",0.015192939
"cg08629043",-0.018905391
"cg07631533",0.007886815
"cg26822870",0.002310468
"cg08176258",-0.028917845
"cg03954144",0.000115
"cg11935041",-0.015021689
"cg18963763",-0.00256756
"cg13565928",0.019001517
"cg26145268",0.001018533
"cg01427471",0.007755025
"cg08846592",-0.000859871
"cg00826902",0.025613317
"cg13219409",-0.001883945
"cg08220028",0.000289114
"cg15722533",0.003145025
"cg27469606",-0.025424799
"cg16781502",-0.011969923
"cg05195050",0.002364307
"cg23413527",-0.000379945
"cg18784113",0.001518268
"cg07118895",0.006289181
"cg02152233",0.008058898
"cg05675372",-0.004198478
"cg27395839",0.004913357
"cg05409752",0.005818718
"cg16725225",0.012871797
"cg13488220",0.012233442
