"pred.var","coef"
"cg23609571",0.007224351
"cg13677111",0.008629635
"cg07091392",0.014333241
"cg09882128",0.001350076
"cg17913259",0.00056171
"cg09809720",0.009829156
"cg25323809",0.000700305
"cg04945388",0.005249214
"cg20415170",0.006835704
"cg01163842",0.002106534
"cg10311104",0.00900379
"cg09590193",0.002300126
"cg02475834",-0.005482548
"cg25359292",0.00194718
"cg24880387",0.000692498
"cg27431247",0.001402753
"cg21615127",0.00620025
"cg09248345",0.002901451
"cg04996523",-0.001646483
"cg13009662",0.000302481
"cg17735983",0.022379203
"cg14838086",0.002519724
"cg02816363",0.002790879
"cg00324161",0.002885592
"cg16330247",0.003241111
"cg10518543",-0.004586744
"cg07924892",-0.000321685
"cg09163035",-0.005824496
"cg16254746",0.001560789
"cg10045909",-0.013451987
"cg13752933",-0.004496663
"cg04366687",0.005926315
"cg06572849",0.011512847
"cg09123368",0.012888283
"cg15164708",0.001907628
"cg18384460",-0.002766776
"cg01556246",0.00026752
"cg06405206",0.018971317
"cg24254206",-0.002312886
"cg18748374",0.012344319
"cg24921943",-0.010119602
"cg20419542",0.01067129
"cg16434190",-0.016676793
"cg03411579",0.035071306
"cg16822174",-0.002356248
"cg14225168",-0.01558092
"cg00129811",0.009987666
"cg05501357",-0.004028901
"cg13066481",-0.008198253
"cg06837426",0.001885795
"cg20977312",-0.031763736
"cg22513955",-0.012573953
"cg25174111",0.00434936
"cg12929678",0.002845187
"cg04518985",-0.005371676
"cg11555645",-3.2e-05
"cg06760077",0.020365906
"cg00645731",-0.008907863
"cg03507593",0.002602753
"cg05358715",0.030785371
"cg06133392",0.012273146
"cg06528340",-0.004284325
"cg08240881",-0.008764167
"cg10770662",-0.001126952
"cg14522441",0.012813841
"cg16994330",-0.00139503
"cg18878992",0.002167258
"cg22909083",-0.012982541
"cg23849965",0.000859189
"cg25809434",-0.009130776
"cg27120488",-0.003682011
"ch.14.1488981R",-0.004210678
"ch.5.1906008F",0.002447992
"cg08935410",-0.008357842
"cg02892925",0.013576819
"cg12550597",-0.003171839
"cg10649130",0.008179046
"cg27361847",-0.012475538
"cg07794010",0.024588075
"cg23874611",-0.009696737
"cg09518270",0.008926176
"cg07915730",-0.009384062
"cg09548084",0.012817004
"cg16155175",0.000408263
"cg01434559",0.000270075
"cg14109551",0.033029936
"cg04468741",0.029622759
"cg27405128",0.022099326
"cg12242338",-0.004988677
"cg05242065",0.003952046
"cg00908271",-0.011522085
"cg19105674",-0.00444389
"cg15708127",0.02101714
"cg04657768",-0.010427341
"cg07031070",0.019056061
"cg26230601",-0.002919099
"cg26326621",0.018914091
"cg11231069",0.009570706
"cg22055337",-0.000845006
"cg10471929",-0.005653144
"cg24822825",-0.003736779
"cg10624395",0.025829209
"cg27601809",-0.013392016
"cg22716262",0.000250252
"cg10195814",0.020990853
"cg26490758",0.000862056
"cg12802093",-0.062465661
"cg05709879",-0.000622342
"cg05575921",-0.062575978
"cg08287220",-0.014406203
"cg18315708",0.002444496
"cg16030510",-0.001688655
"cg07213264",-0.00325028
"cg15563184",-0.012118092
"cg27078727",-0.004842159
"cg23205183",-0.019730969
"cg14457610",-0.005618547
"cg09030852",3.39e-05
"cg02878901",0.004261123
"cg08376310",0.03785906
"cg24455236",0.015648344
"cg26102082",0.0424225
"cg15899913",-0.003873105
"cg17827328",0.037467645
"cg06028804",-0.01255356
