"pred.var","coef","target"
"cg13939431",0.010735094,"MMP-9"
"cg04744134",0.022004645,"MMP-9"
"cg12339424",0.002369979,"MMP-9"
"cg09793807",0.007137905,"MMP-9"
"cg15934248",0.008296728,"MMP-9"
"cg14669514",-0.002073986,"MMP-9"
"cg06567525",0.000880001,"MMP-9"
"cg03880323",0.012552272,"MMP-9"
"cg08543966",0.00442344,"MMP-9"
"cg14246204",0.02710374,"MMP-9"
"cg25572477",0.010191574,"MMP-9"
"cg01539064",0.009998542,"MMP-9"
"cg18524540",0.008530922,"MMP-9"
"cg03888365",-0.001509155,"MMP-9"
"cg06240124",-0.001887923,"MMP-9"
"cg21655280",0.00260834,"MMP-9"
"cg16655837",0.004716764,"MMP-9"
"cg00042837",-0.013390374,"MMP-9"
"cg08530237",-0.003445111,"MMP-9"
"cg23404573",0.007105172,"MMP-9"
"cg22324029",-0.001163211,"MMP-9"
"cg11880727",-0.000996089,"MMP-9"
"cg26824709",-0.007384516,"MMP-9"
"cg26494929",-0.000997415,"MMP-9"
"cg18264657",0.000633331,"MMP-9"
"cg00103778",0.00697043,"MMP-9"
"cg26294955",-0.00069068,"MMP-9"
"cg08864944",-0.008819352,"MMP-9"
"cg22960869",0.004886281,"MMP-9"
"cg08840010",-0.002074469,"MMP-9"
"cg25985504",0.002826977,"MMP-9"
"cg25458871",-0.006038257,"MMP-9"
"cg07262395",0.002209773,"MMP-9"
"cg20912517",0.003108415,"MMP-9"
"cg21426759",-0.005977102,"MMP-9"
"cg09364988",-0.01757534,"MMP-9"
"cg18397975",-0.022333375,"MMP-9"
"cg21611682",-0.005479807,"MMP-9"
"cg20572153",0.015760144,"MMP-9"
"cg07048504",0.009301009,"MMP-9"
"cg11589287",-0.009141097,"MMP-9"
"cg23039807",-0.015518443,"MMP-9"
"cg00720829",0.003446157,"MMP-9"
"cg18346531",0.019521611,"MMP-9"
"cg15035973",-0.012114177,"MMP-9"
"cg09737685",-0.001323261,"MMP-9"
"cg00834923",0.017582769,"MMP-9"
"cg06911873",-0.023263962,"MMP-9"
"cg00474031",-0.000223684,"MMP-9"
"cg18133477",-0.002312894,"MMP-9"
"cg13824385",-0.007189518,"MMP-9"
"cg19364351",0.010446405,"MMP-9"
"cg19235893",0.010150981,"MMP-9"
"cg03286535",-0.000177444,"MMP-9"
"cg17254383",-0.028522743,"MMP-9"
"cg18118795",0.002433638,"MMP-9"
"cg10917153",-0.007270823,"MMP-9"
"cg25264630",0.004402987,"MMP-9"
"cg05332152",-0.002497132,"MMP-9"
"cg16204414",-0.002432802,"MMP-9"
"cg11441148",-0.001695329,"MMP-9"
"cg00819141",0.004901444,"MMP-9"
"cg17963461",9.08e-05,"MMP-9"
"cg18270378",0.001981033,"MMP-9"
"cg21526209",-0.043250742,"MMP-9"
"cg15736783",0.015150107,"MMP-9"
"cg25940557",0.002202103,"MMP-9"
"cg21337717",0.005290659,"MMP-9"
"cg22660120",-0.014405058,"MMP-9"
"cg14661803",0.023685692,"MMP-9"
"cg27606607",0.002174401,"MMP-9"
"cg25462896",0.006946134,"MMP-9"
"cg17655451",0.011654226,"MMP-9"
"cg06674932",-0.004000591,"MMP-9"
"cg03323598",0.00864121,"MMP-9"
"cg25379156",-0.002125223,"MMP-9"
"cg14778264",-0.006213558,"MMP-9"
"cg05575921",-0.135780803,"MMP-9"
"cg13051302",-0.009036589,"MMP-9"
"cg13031537",-0.008689542,"MMP-9"
"cg13571852",-0.0084844,"MMP-9"
"cg24731241",0.000691102,"MMP-9"
"cg17098449",-0.000882133,"MMP-9"
"cg18260374",-0.000171134,"MMP-9"
"cg20732304",-0.003681648,"MMP-9"
"cg18318715",-0.005418028,"MMP-9"
"cg18155888",0.003125291,"MMP-9"
"cg00882611",-0.005696305,"MMP-9"
"cg27028202",-0.00467735,"MMP-9"
"cg06021750",-0.003784167,"MMP-9"
"cg25645272",-0.004273694,"MMP-9"
"cg05796331",-0.001990502,"MMP-9"
"cg25063864",-0.000940964,"MMP-9"
"cg01977863",-0.006369149,"MMP-9"
"cg09214398",-0.006533581,"MMP-9"
"cg26275825",-0.001000612,"MMP-9"
