"","Variable","Coefficient","Protein"
"1","(Intercept)",4.70233948617059,"IL8_FOM1"
"2","cg12682323",-1.07060099320388e-05,"IL8_FOM1"
"3","cg19539986",-1.51464353055421e-05,"IL8_FOM1"
"4","cg08103988",0.000162084440933518,"IL8_FOM1"
"5","cg21358336",2.02757931851085e-05,"IL8_FOM1"
"6","(Intercept)",10.8345017889017,"VEGFA_FOM1"
"7","cg11956442",-1.46442415899871e-05,"VEGFA_FOM1"
"8","cg04450797",4.21626091120412e-05,"VEGFA_FOM1"
"9","cg27467876",5.47537981944817e-06,"VEGFA_FOM1"
"10","(Intercept)",10.3357660741213,"CD8A_FOM1"
"11","cg09382842",-0.0027712117509714,"CD8A_FOM1"
"12","cg11574174",-0.0442059115689367,"CD8A_FOM1"
"13","cg04450797",0.00385688582558634,"CD8A_FOM1"
"14","(Intercept)",3.15831625566345,"MCP3_FOM1"
"15","cg27230769",5.28936803033977e-06,"MCP3_FOM1"
"16","cg08570077",-8.82829822075921e-05,"MCP3_FOM1"
"17","(Intercept)",1.72460805564105,"GDNF_FOM1"
"18","cg06961873",0.0162372976166627,"GDNF_FOM1"
"19","cg12434901",-0.00429643685987638,"GDNF_FOM1"
"20","(Intercept)",3.08197816490621,"CDCP1_FOM1"
"21","cg21134859",-0.00601187197618792,"CDCP1_FOM1"
"22","cg02113055",-0.000364498263671176,"CDCP1_FOM1"
"23","cg18828306",-0.000601731365790915,"CDCP1_FOM1"
"24","cg14112997",-0.00170468734077914,"CDCP1_FOM1"
"25","(Intercept)",6.71829226550683,"CD244_FOM1"
"26","cg12479705",-8.80794066564241e-06,"CD244_FOM1"
"27","cg01156747",0.00012753159115714,"CD244_FOM1"
"28","(Intercept)",2.0790211258324,"IL7_FOM1"
"29","cg22710716",-0.00142621650059619,"IL7_FOM1"
"30","cg13653328",3.96719265159762e-05,"IL7_FOM1"
"31","cg08049519",0.00418391035624944,"IL7_FOM1"
"32","(Intercept)",10.3490619700291,"OPG_FOM1"
"33","cg11956442",-6.88209239779953e-05,"OPG_FOM1"
"34","cg08657228",-1.05536575096349e-05,"OPG_FOM1"
"35","(Intercept)",7.7129009860452,"LAPTGFbeta1_FOM1"
"36","cg12479705",-0.00500123900463228,"LAPTGFbeta1_FOM1"
"37","cg19539986",-0.00153261408963449,"LAPTGFbeta1_FOM1"
"38","(Intercept)",10.7266700662106,"uPA_FOM1"
"39","cg18285337",-6.20940388031072e-07,"uPA_FOM1"
"40","cg05509228",3.43517281321491e-06,"uPA_FOM1"
"41","cg18828306",-2.62368628726038e-05,"uPA_FOM1"
"42","(Intercept)",3.67068751487552,"IL6_FOM1"
"43","cg10985055",0.000605391956698669,"IL6_FOM1"
"44","cg02113055",-0.000128731545879306,"IL6_FOM1"
"45","(Intercept)",3.58433544748209,"IL17C_FOM1"
"46","cg14856563",-0.00165597618138672,"IL17C_FOM1"
"47","cg08238375",0.000134605062680494,"IL17C_FOM1"
"48","cg27230769",0.0107627375029451,"IL17C_FOM1"
"49","(Intercept)",12.4850601174541,"MCP1_FOM1"
"50","cg26908356",-0.000111452322953358,"MCP1_FOM1"
"51","cg18828306",-0.000237154214220588,"MCP1_FOM1"
"52","cg07128503",-0.0028407837914447,"MCP1_FOM1"
"53","(Intercept)",3.17113659001674,"IL17A_FOM1"
"54","cg25099095",-0.000528000981033441,"IL17A_FOM1"
"55","cg16464924",0.000196450166622512,"IL17A_FOM1"
