"pred.var","coef"
"cg14002345",0.01089069
"cg14653250",0.002293337
"cg00221745",0.030176352
"cg13010273",0.010913116
"cg01829024",0.003038339
"cg17276590",0.006480558
"cg03345093",0.002815196
"cg02262056",0.004017778
"cg05206840",-0.005639198
"cg27540367",0.050388659
"cg16411857",-0.007077478
"cg11663376",0.003288325
"cg26312951",-0.011149499
"cg06346307",-0.030947708
"cg05475010",-0.025770086
"cg06008724",0.000731606
"cg20608215",-0.001654485
"ch.17.1457304R",-0.005756541
"cg00671386",-0.006212705
"cg03839161",0.002815191
"cg04060561",-0.007873561
"cg21549285",-0.000297783
"cg15810285",-0.017266456
"cg25291978",-0.003812833
"cg19577080",-0.01576298
"cg06536988",-0.002068495
"cg07698804",-0.003347092
"cg19016062",-0.014877642
"cg00427260",-0.005416648
"cg19764940",-0.000148882
"cg03358468",0.006480617
"cg08613384",-0.009912693
"cg20908276",-0.015141779
"cg04265672",-0.000497604
"cg19172447",-0.005243189
"cg06593910",-0.010413822
"cg18092363",-0.009033937
"cg11523191",-0.040091942
