"pred.var","coef"
"cg07647353",-0.00638937
"cg12185399",0.002139338
"cg16662919",-0.004054196
"cg26438705",-0.002525194
"cg14641315",-0.002168476
"cg08251064",0.002137319
"cg17236169",-0.015689166
"cg09491948",-0.026754682
"cg18975678",-0.02032728
"cg24631920",-0.010198974
"cg17651821",0.021107046
"cg16619425",-0.009558632
"cg12510028",-0.008944649
"cg18193764",0.01596409
"cg05509777",0.014644498
"cg14076195",0.006605504
"cg05251359",0.006792619
"cg01203153",0.011028766
"cg12782294",0.000948834
"cg23599843",0.003312812
"cg07074575",0.0021769
"cg20426710",0.004326945
"cg03751527",0.006173078
"cg14940260",0.00598054
"cg04987734",-0.007989045
"cg06559839",-0.004295178
"cg24998981",0.014742999
"cg21588594",0.0023878
"cg23490829",-0.025189458
"cg01799015",0.004134704
"cg12269535",0.012388858
"cg16292768",0.009067832
"cg08266095",0.000713628
"cg13476072",0.014594736
"cg05543864",0.003241155
"cg17501210",0.014601453
"cg15603354",-0.001544599
"cg23862698",0.004870885
"cg10365743",0.010892721
"cg01311537",0.004790135
"cg15161691",-0.017991917
"cg23706819",0.006316753
"cg09866598",0.000186815
"cg07731047",-0.068503705
"cg19739774",-0.00577975
"cg21112954",-0.000175289
"cg20566970",-0.008817435
"cg21412456",-0.016006166
"cg01781018",0.006915246
"cg25544461",0.03582362
"cg06247967",0.00639818
"cg10882886",-0.020194116
"cg21765032",-0.000885478
"cg15248242",0.000147758
"cg18236745",-0.060807807
"cg05168141",-0.019341473
"cg01791906",-0.007797391
"cg15149625",0.003794744
"cg06624020",-0.005764266
"cg25707387",-0.023614007
"cg05575921",0.006205157
"cg00346300",-0.008713282
"cg02158199",0.000661779
"cg25833200",-0.005899719
"cg21431856",0.018196905
"cg12135286",0.000956442
"cg03995968",-0.008088007
"cg27174983",0.003685164
"cg13536491",0.008479851
"cg26888630",0.004283269
"cg13359031",0.026346345
"cg08560947",0.000544123
"cg08261841",0.000735726
"cg04145522",-0.069013005
