"pred.var","coef"
"cg26992213",-0.002836439
"cg00865724",0.014769344
"cg27659622",0.002027908
"cg02712555",0.012047159
"cg20384374",-0.00220832
"cg06190677",0.002214343
"cg21421701",0.002600385
"cg01262948",-0.008396877
"cg08763705",-0.028073572
"cg00596643",0.021705715
"cg04630879",-0.000503892
"cg19366835",0.010962313
"cg09563120",-0.01181381
"cg26195577",0.010151622
"cg12087004",-0.000454805
"cg17240760",-0.012205624
"cg11282718",-0.027896123
"cg01426169",0.02396659
"cg01134185",-0.003132317
"cg00574958",-0.035969321
"cg16575379",0.011583225
"cg10757065",0.012810922
"cg22304507",-0.005386272
"cg08058672",-0.002694612
"cg01747664",-0.009294562
"cg02372404",0.018080658
"cg23712018",0.01597569
"cg24453118",0.00467017
"cg16010596",0.003875906
"cg13185413",0.001389576
"cg20202016",0.007023198
"cg19211853",-0.018039736
"cg05477823",-0.00033652
"cg07626482",-0.02312638
"cg05603985",-0.020014465
"cg12547807",-0.002490226
"cg07017214",-0.001913784
"cg24924577",0.001110547
"cg05769923",0.009251299
"cg22103219",-0.045057623
"cg03979532",0.007791968
"cg22906486",0.001938022
"cg22367556",-0.016211422
"cg13035046",0.044126923
"cg11058932",0.018086008
"cg04583842",0.046962289
"cg02954903",0.014981964
"cg06500161",0.004200909
"cg17183174",0.013888662
"cg07633530",-0.014942335
"cg09140665",-0.009822549
"cg09805507",-0.012227911
"cg17165695",0.006182866
"cg03594868",0.006105518
"cg12490907",-0.018721669
"cg07465431",0.018462241
"cg22439241",0.011387197
"cg19589396",-0.001783868
"cg17412560",-0.002600678
"cg02998240",-0.011657359
"cg27346982",-0.003653024
"cg15135222",0.000496131
"cg05966078",-0.01122624
"cg14693375",0.014648942
"cg15979035",0.011170808
"cg01816258",-0.01168713
"cg27243685",0.009219266
"cg09807315",0.00366011
"cg25264268",0.004025994
"cg14387312",0.007835755
"cg12250561",-0.033679328
"cg19427345",0.011794067
"cg22345519",0.000133376
"cg06690548",-0.092367591
"cg05893845",-0.000419728
"cg06872036",-0.000551598
"cg12940230",-0.004036078
"cg10434754",0.015287274
"cg26131932",-0.005407237
"cg27101899",-0.028698655
"cg01195628",0.005339345
"cg23280807",0.007184396
"cg26806713",-0.012150806
"cg08417991",0.008995385
"cg01829163",0.006670695
"cg05575921",-0.036318132
"cg15539879",-0.008448605
"cg16524240",-0.003669531
"cg02683509",-0.002694423
"cg24502933",-0.003120502
"cg03964343",-0.019418901
"cg24976563",-0.008481051
"cg09029046",0.000513039
"cg17884201",-0.003199058
"cg06144920",-0.003241063
"cg09422701",-0.001333938
"cg01040499",-0.002134765
"cg16944941",0.019530077
"cg11848882",-0.011905901
"cg07466560",-0.002999678
"cg19575244",-0.001591245
"cg23527409",0.000853352
"cg18972013",0.005640271
