"pred.var","coef"
"cg00043095",1
"cg00060320",1
"cg00181968",1
"cg00329270",1
"cg00347369",1
"cg00397986",1
"cg00466268",1
"cg00665492",1
"cg00884606",1
"cg00916884",1
"cg00930628",1
"cg00962913",1
"cg01050423",1
"cg01185626",1
"cg01435574",1
"cg01537995",1
"cg01587896",1
"cg01670677",1
"cg01699217",1
"cg01783070",1
"cg01830294",1
"cg02004418",1
"cg02056682",1
"cg02071825",1
"cg02150988",1
"cg02160530",1
"cg02186542",1
"cg02266732",1
"cg02315940",1
"cg02554246",1
"cg02583151",1
"cg02590345",1
"cg02631468",1
"cg02660347",1
"cg02726121",1
"cg02796545",1
"cg02964724",1
"cg03045425",1
"cg03045635",1
"cg03111498",1
"cg03140968",1
"cg03181582",1
"cg03191889",1
"cg03310469",1
"cg03315215",1
"cg03388293",1
"cg03430846",1
"cg03450948",1
"cg03566719",1
"cg03603951",1
"cg03767531",1
"cg03790908",1
"cg03845289",1
"cg03874199",1
"cg04188273",1
"cg04210284",1
"cg04234680",1
"cg04237663",1
"cg04408488",1
"cg04431946",1
"cg04543008",1
"cg04549460",1
"cg04597433",1
"cg04633225",1
"cg04672706",1
"cg04690395",1
"cg04796189",1
"cg04808029",1
"cg04902729",1
"cg04975505",1
"cg04996219",1
"cg05030481",1
"cg05063138",1
"cg05091519",1
"cg05093169",1
"cg05099387",1
"cg05158197",1
"cg05182249",1
"cg05344430",1
"cg05362516",1
"cg05446424",1
"cg05666607",1
"cg05694245",1
"cg05791136",1
"cg05870072",1
"cg05886671",1
"cg05894910",1
"cg06191898",1
"cg06263193",1
"cg06424860",1
"cg06441568",1
"cg06469345",1
"cg06614469",1
"cg06672560",1
"cg06804921",1
"cg06987468",1
"cg07033372",1
"cg07095995",1
"cg07195011",1
"cg07234102",1
"cg07311313",1
"cg07315745",1
"cg07357987",1
"cg07557260",1
"cg07621749",1
"cg07724977",1
"cg07882671",1
"cg07897248",1
"cg07950000",1
"cg08073312",1
"cg08074621",1
"cg08074851",1
"cg08132837",1
"cg08323075",1
"cg08327269",1
"cg08330778",1
"cg08413157",1
"cg08448701",1
"cg08478074",1
"cg08478447",1
"cg08530317",1
"cg08592707",1
"cg08593261",1
"cg08681432",1
"cg08696727",1
"cg08751472",1
"cg08834401",1
"cg08870743",1
"cg08911275",1
"cg08961408",1
"cg09010671",1
"cg09137696",1
"cg09578028",1
"cg09683824",1
"cg09868336",1
"cg09968620",1
"cg10021043",1
"cg10071824",1
"cg10094616",1
"cg10281002",1
"cg10343742",1
"cg10351287",1
"cg10406295",1
"cg10460820",1
"cg10530281",1
"cg10615414",1
"cg10755973",1
"cg10810799",1
"cg10824063",1
"cg11021744",1
"cg11064073",1
"cg11082362",1
"cg11248413",1
"cg11302943",1
"cg11334771",1
"cg11354629",1
"cg11419506",1
"cg11722699",1
"cg11723848",1
"cg11825621",1
"cg11848563",1
"cg11947011",1
"cg11979589",1
"cg12042587",1
"cg12071328",1
"cg12180703",1
"cg12219082",1
"cg12307306",1
"cg12401926",1
"cg12412079",1
"cg12417685",1
"cg12506005",1
"cg12528713",1
"cg12573071",1
"cg12628145",1
"cg12743978",1
"cg12839593",1
"cg12859211",1
"cg12882697",1
"cg12936746",1
"cg13078140",1
"cg13177747",1
"cg13187788",1
"cg13237033",1
"cg13281139",1
"cg13325154",1
"cg13363454",1
"cg13368756",1
"cg13378628",1
"cg13454407",1
"cg13509849",1
"cg13526007",1
"cg13713293",1
"cg13724160",1
"cg13762060",1
"cg13921352",1
"cg14060496",1
"cg14207210",1
"cg14345128",1
"cg14456683",1
"cg14473102",1
"cg14492800",1
"cg14546394",1
"cg14681055",1
"cg14717170",1
"cg14769207",1
"cg14834938",1
"cg14991487",1
"cg15119027",1
"cg15186181",1
"cg15237923",1
"cg15272362",1
"cg15353061",1
"cg15493780",1
"cg15554875",1
"cg15680624",1
"cg15778437",1
"cg15897645",1
"cg15984718",1
"cg15987088",1
"cg16023545",1
"cg16027761",1
"cg16033053",1
"cg16426339",1
"cg16492377",1
"cg16523380",1
"cg16696270",1
"cg16800165",1
"cg17037282",1
"cg17076890",1
"cg17152757",1
"cg17334018",1
"cg17339147",1
"cg17369527",1
"cg17371081",1
"cg17381377",1
"cg17389504",1
"cg17412886",1
"cg17477445",1
"cg17498296",1
"cg17535595",1
"cg17567560",1
"cg17576288",1
"cg17816908",1
"cg17863912",1
"cg17929687",1
"cg18097532",1
"cg18349138",1
"cg18369866",1
"cg18424634",1
"cg18438944",1
"cg18498593",1
"cg18529845",1
"cg18589016",1
"cg18639233",1
"cg18794577",1
"cg18920423",1
"cg19042459",1
"cg19054524",1
"cg19117365",1
"cg19180624",1
"cg19283196",1
"cg19346645",1
"cg19367540",1
"cg19384289",1
"cg19401340",1
"cg19542816",1
"cg19711579",1
"cg19712603",1
"cg19761848",1
"cg19974854",1
"cg19993589",1
"cg20007130",1
"cg20014049",1
"cg20097440",1
"cg20375342",1
"cg20393324",1
"cg20539752",1
"cg20576153",1
"cg20585530",1
"cg20598560",1
"cg20626645",1
"cg20720059",1
"cg20926035",1
"cg21053529",1
"cg21237313",1
"cg21264189",1
"cg21269843",1
"cg21426003",1
"cg21517947",1
"cg21816539",1
"cg21859781",1
"cg21883754",1
"cg21913681",1
"cg22152407",1
"cg22240472",1
"cg22274395",1
"cg22277994",1
"cg22359606",1
"cg22428147",1
"cg22600043",1
"cg22603247",1
"cg22630755",1
"cg22653976",1
"cg22714094",1
"cg22733687",1
"cg22763718",1
"cg22797735",1
"cg22889573",1
"cg23027583",1
"cg23132624",1
"cg23140554",1
"cg23148701",1
"cg23217126",1
"cg23253569",1
"cg23335460",1
"cg23400512",1
"cg23405575",1
"cg23420260",1
"cg23584743",1
"cg23604012",1
"cg23774356",1
"cg23805360",1
"cg23827572",1
"cg23847712",1
"cg24154839",1
"cg24188073",1
"cg24213507",1
"cg24248713",1
"cg24249778",1
"cg24319902",1
"cg24359323",1
"cg24374738",1
"cg24403845",1
"cg24526702",1
"cg24632756",1
"cg24680586",1
"cg24869535",1
"cg24891539",1
"cg24974423",1
"cg24989962",1
"cg25077778",1
"cg25116388",1
"cg25307168",1
"cg25599538",1
"cg25602684",1
"cg25640822",1
"cg25662463",1
"cg25682299",1
"cg25694447",1
"cg25789861",1
"cg25797055",1
"cg25861340",1
"cg25938646",1
"cg25951981",1
"cg25993718",1
"cg26011014",1
"cg26124980",1
"cg26129769",1
"cg26295057",1
"cg26315277",1
"cg26332560",1
"cg26410450",1
"cg26533717",1
"cg26554592",1
"cg26565021",1
"cg26677448",1
"cg26685352",1
"cg26710722",1
"cg26745332",1
"cg26789779",1
"cg26866482",1
"cg26988406",1
"cg27019126",1
"cg27037018",1
"cg27058486",1
"cg27176138",1
"cg27254482",1
"cg27335600",1
"cg27357571",1
"cg27363829",1
"cg27505273",1
"cg27625055",1
"cg27648075",1
"cg27649073",1
