"pred.var","coef"
"cg23609571",0.00042285
"cg12802921",-0.011063479
"cg22051865",-0.002126931
"cg10311104",0.006175509
"cg08268798",0.003159371
"cg02475834",-0.00110952
"cg25359292",0.004963749
"cg00419333",-0.018206502
"cg14676817",0.003989165
"cg22562040",0.006899003
"cg17735983",0.006743401
"cg26118759",-0.005399503
"cg03226554",-0.005272501
"cg10045909",-0.033272064
"cg10365597",0.006238095
"cg04988978",-0.019525678
"cg14230378",0.002665132
"cg05958050",0.021852695
"cg18384460",-0.001332991
"cg05860956",-0.000342083
"cg13765061",-0.0052811
"cg16945415",-0.001054137
"cg05709770",-0.001366697
"cg03411579",0.023063042
"cg14225168",-0.008184005
"cg05501357",-0.026845594
"cg06355720",-0.012634491
"cg25354587",-0.00493126
"cg08072202",0.000656907
"cg20977312",-0.029733223
"cg10976975",-0.003022952
"cg00705730",-0.003186919
"cg22513955",-0.020755644
"cg06760077",0.013176851
"cg03507593",0.011978591
"cg05358715",0.01717956
"cg06528340",-0.005678589
"cg08240881",-0.005731336
"cg14522441",0.010970733
"cg20458223",0.011389235
"cg25809434",-0.012288081
"ch.5.1906008F",0.006575301
"cg10649130",0.00024042
"cg07794010",0.047567052
"cg20253251",0.004022451
"cg25051805",0.002010563
"cg01434559",0.002060869
"cg14109551",0.02768522
"cg04468741",0.004723268
"cg27405128",0.01488377
"cg00908271",-0.000674644
"cg07031070",0.021419572
"cg26230601",-0.000577722
"cg05266271",-0.003233845
"cg13661323",-0.010904513
"cg11231069",0.038746324
"cg24822825",-0.010069052
"cg12448298",0.005225265
"cg10624395",0.007452925
"cg01793161",-0.007960312
"cg04960880",-0.016547419
"cg11882488",0.008884244
"cg23391288",0.001644267
"cg06601993",0.011740591
"cg12802093",-0.008749546
"cg12806681",-0.000682519
"cg05575921",-0.022141292
"cg18315708",0.003474706
"cg07213264",-0.006926401
"cg15563184",-0.03573649
"cg03807873",-0.001985537
"cg23205183",-0.017991824
"cg06500074",-0.000987286
"cg07308232",7.68e-05
"cg00574017",-0.003999709
"cg12760498",-2.65e-05
"cg10470200",-0.002746581
"cg04315086",-0.001462501
"cg08376310",0.0361079
"cg21609154",-0.007588674
"cg26102082",0.020621834
"cg17827328",0.010542289
