name,tissue,target,publication,source,filename
ADAMTS,blood,ADAMTS,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/ADAMTS.csv
Adiponectin,blood,Adiponectin,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Adiponectin.csv
Afamin,blood,Afamin,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Afamin.csv
Alpha-L-iduronidase,blood,Alpha-L-iduronidase,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Alpha-L-iduronidase.csv
Aminoacylase-1,blood,Aminoacylase-1,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Aminoacylase-1.csv
B2-microglobulin,blood,B2-microglobulin,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/B2-microglobulin.csv
BCAM,blood,BCAM,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/BCAM.csv
BMP-1,blood,BMP-1,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/BMP-1.csv
CCL11,blood,CCL11,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CCL11.csv
CCL17,blood,CCL17,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CCL17.csv
CCL18,blood,CCL18,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CCL18.csv
CCL21,blood,CCL21,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CCL21.csv
CCL22,blood,CCL22,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CCL22.csv
CCL25_C-C,blood,CCL25_C-C,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CCL25_C-C.csv
CD163,blood,CD163,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CD163.csv
CD209_antigen,blood,CD209_antigen,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CD209_antigen.csv
CD48_antigen,blood,CD48_antigen,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CD48_antigen.csv
CD6,blood,CD6,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CD6.csv
CDL5,blood,CDL5,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CDL5.csv
CHIT-1,blood,CHIT-1,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CHIT-1.csv
CLEC11A_e1,blood,CLEC11A_e1,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CLEC11A_e1.csv
CLEC11A_e2,blood,CLEC11A_e2,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CLEC11A_e2.csv
Coagulation_factor VII,blood,Coagulation_factor VII,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Coagulation_factor VII.csv
Complement_C4,blood,Complement_C4,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Complement_C4.csv
Complement_C5a,blood,Complement_C5a,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Complement_C5a.csv
Complement_c9,blood,Complement_c9,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Complement_c9.csv
Contactin-4,blood,Contactin-4,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Contactin-4.csv
CRP,blood,CRP,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CRP.csv
CRTAM,blood,CRTAM,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CRTAM.csv
CXCL10,blood,CXCL10,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CXCL10.csv
CXCL10_soma,blood,CXCL10_soma,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CXCL10_soma.csv
CXCL11,blood,CXCL11,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CXCL11.csv
CXCL11_soma,blood,CXCL11_soma,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CXCL11_soma.csv
CXCL9,blood,CXCL9,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CXCL9.csv
E-selectin,blood,E-selectin,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/E-selectin.csv
