"pred.var","coef"
"intercept",1412953.393
"Age",10486.91547
"cg13947317",316962.6492
"cg22510139",33927.1042
"cg10116490",-160612.3804
"cg27396830",75457.17274
"cg19414383",87985.73857
"cg03345668",292882.8911
"cg17719473",-23280.17088
"cg20569940",43791.18143
"cg26156167",302011.9723
"cg10578779",1916187.015
"cg15631106",-58500.59545
"cg22704788",-126869.8824
"cg20240347",1506.065233
"cg17803430",1417.454451
"cg20800892",44895.46997
"cg01909777",267379.5564
"cg15849439",-924930.5628
"cg12605080",69711.03841
"cg01163330",102607.992
"cg10753966",49483.26376
"cg19501902",65359.76625
"cg13287247",-13569.71904
"cg22930808",-13531.30007
"cg08122652",-84787.7023
"cg00959259",-129131.7259
"cg20576510",412413.8858
"cg10202557",-67296.72476
"cg27134386",28426.35623
"cg10584300",89744.1912
"cg03274876",1278255.848
"cg17287155",49852.97055
"cg04764584",71716.6572
"cg15679283",-122608.1084
"cg17533522",79928.491
"cg14868212",4164.677973
"cg16274199",-74981.86697
"cg13309828",-2250.349967
"cg12612118",310046.3391
"cg03415429",2041585.627
"cg15947697",121995.1908
"cg11867651",36182.60312
"cg17096289",-37112.88694
"cg01517384",-365377.9035
"cg16928551",32859.05057
"cg26987613",-138988.7742
"cg20660989",179808.7389
"cg21288889",86176.99038
"cg06649410",237640.8251
"cg17501210",-158080.4982
"cg02515033",-148592.0268
"cg00907204",-189628.6213
"cg16847637",365717.66
"cg03473532",-102274.4971
"cg07205627",50242.36957
"cg14508358",1295.171698
"cg04661709",15704.82135
"cg13428009",-272551.6717
"cg08410533",-25204.31115
"cg12329405",919782.4496
"cg14984434",31913.94442
"cg07690734",-775104.4541
"cg17310258",43111.35817
"cg14955976",-56813.12005
"cg06975311",96077.82849
"cg16246188",128678.1953
"cg07631435",15934.67087
"cg12211040",8327.360248
"cg11764442",273393.7647
"cg10535933",-14274.58866
"cg01624571",-496774.2826
"cg24521756",4509.127622
"cg07842062",44148.76489
"cg08072101",17501.36534
"cg03955530",44832.14358
"cg07839457",-124411.6712
"cg04976151",-22183.86084
"cg03400403",-152041.3774
"cg04745805",-227903.3573
"cg14545159",168092.1947
"cg18181703",-287256.3104
"cg17100770",102877.7095
"cg27145096",-98452.62323
"cg13077366",-960.4882798
"cg21656736",-115220.4438
"cg07573872",-73518.91487
"cg21736089",-282215.1372
"cg07543883",13142.6588
"cg10224107",-185521.7222
"cg03760035",264986.9129
"cg03706056",-21140.30584
"cg13092901",-53686.4042
