"pred.var","coef"
"cg13963446",0.017341076
"cg01267315",-1.44e-06
"cg05687210",-0.005777469
"cg27277403",0.002447482
"cg25983677",-0.005234397
"cg26657240",-0.01308806
"cg10537708",0.001551723
"cg18649319",-0.000143516
"cg07284407",-0.010277415
"cg05541096",0.006934117
"cg06500161",0.002277442
"cg25274157",-0.021822683
"cg25998745",-0.009889712
"cg18059464",-0.000912868
"cg00508575",0.014176703
"cg17432857",0.002693533
"cg03497652",0.005037323
"cg00908828",-0.01041041
"cg05695762",-0.011627577
"cg23375717",-0.001140732
"cg07745344",0.021091955
"cg12627726",0.01234121
"cg06690548",-0.120806961
"cg00496026",0.001403901
"cg01024792",-0.004955467
