"pred.var","coef"
"cg25954729",0.048607031
"cg09746170",0.012602445
"cg13788820",0.012468239
"cg00093890",0.008667421
"cg06709828",-0.026514215
"cg02270541",0.014821277
"cg18912855",-0.007254931
"cg00035969",0.016091269
"cg07883622",-0.006551784
"cg00579292",-0.002910136
"cg02271560",-0.017661144
"cg10508317",-0.000322902
"cg15792653",-0.000443784
"cg01631319",-0.019081789
"cg21370522",0.034946744
"cg23195373",0.054109868
"cg05928806",0.002264131
"cg11007426",0.002272555
"cg09470274",0.006114484
"cg06743552",0.000811699
"cg03329539",-0.029706912
"cg04411541",0.004009378
"cg11370064",0.00404854
"cg22980293",3.8e-05
"cg22481405",0.01581297
"cg24707889",0.041052911
"cg18788940",-0.001840798
"cg01324343",-0.003355096
"cg18394552",0.012115813
"cg25542654",0.005855529
"cg02486520",0.013375564
"cg03736201",0.019288934
"cg12014753",-0.007540129
"cg04340729",0.002337925
"cg18757405",0.012622871
"cg22716280",0.032147198
"cg04017512",-0.002182292
"cg07306755",0.001617236
"cg12458003",0.008406573
"cg16087940",0.004555448
"cg13215593",-0.000392083
"cg22109623",0.0021298
"cg25120405",0.004465267
"cg02625638",0.00218392
"cg03793951",0.002957882
"cg17944885",0.009300629
"cg19084127",0.011030032
"cg17556421",0.001382235
"cg18594963",0.009928565
"cg00628375",0.007026035
"cg20026576",-0.008367192
"cg18429235",0.003705312
"cg06076512",0.009356283
"cg14126733",0.001220611
"cg15922705",0.012112716
"cg26979974",-0.009068434
"cg09388160",0.009887394
"cg08600218",0.0039867
"cg06197024",0.006605246
"cg23352245",0.02041639
"cg05575921",-0.082816444
"cg23929609",0.005830759
"cg26002437",-0.007617252
"cg03899412",0.005754597
"cg03269363",0.003482938
"cg07704990",0.008142603
"cg05593726",0.00998054
"cg11109027",0.010376593
