"pred.var","coef"
"cg13511115",-0.00552218
"cg08322205",-0.005819881
"cg26124717",0.004080755
"cg03097336",-0.014265071
"cg26958486",-0.004962494
"cg01352468",-0.003136732
"cg20713898",-0.004343138
"cg00332680",0.003256146
"cg19356117",-0.019858369
"cg08738300",-0.000406696
"cg16383222",0.000972335
"cg12479098",0.020243785
"cg18650367",-0.014919387
"cg19486271",0.009098389
"cg03320005",-0.011855384
"cg10919522",-0.001343172
"cg22190437",-0.000903911
"cg05364567",0.005018858
"cg26125366",-0.007644488
"cg07004386",0.017249879
"cg25189904",-0.019874309
"cg10517650",0.011857402
"cg22678136",-0.024480291
"cg24003560",0.011777659
"cg08843623",0.012659902
"cg09719269",0.006684428
"cg23576855",-0.0025674
"cg21566642",-0.020033783
"cg26703534",-0.016856674
"cg01285435",0.008275474
"cg04503319",0.003945143
"cg22852840",-0.00620308
"cg17468855",0.000505801
"cg04551776",-0.00497567
"cg06553792",0.008507817
"cg26008509",0.012936226
"cg02442900",0.004751092
"cg26998078",-0.012566734
"cg02642891",0.003668137
"cg05575921",-0.048254408
"cg17474545",0.00394667
"cg08189280",0.012180112
"cg19859270",-0.00468765
"cg05516328",0.016445079
"cg10746224",0.01413427
"cg11619995",-0.002967959
"cg11565007",0.003460282
"cg20387347",0.015877038
"cg26703758",-0.016726556
"cg22348001",0.02112294
"cg10547527",0.011220001
"cg25211622",0.004524636
