"pred.var","coef","target"
"cg26272105",0.003566982,"Complement_C4"
"cg06728579",-0.04578769,"Complement_C4"
"cg21631878",0.001534715,"Complement_C4"
"cg13014103",0.000459954,"Complement_C4"
"cg17083941",0.003766246,"Complement_C4"
"cg13650938",-0.006185208,"Complement_C4"
"cg13958923",0.001699671,"Complement_C4"
"cg10837142",-0.008404685,"Complement_C4"
"cg04771084",0.063862926,"Complement_C4"
"cg08210399",0.003715751,"Complement_C4"
"cg09960641",0.009258554,"Complement_C4"
"cg21722170",-0.020602516,"Complement_C4"
"cg19236328",0.017895166,"Complement_C4"
"cg17493193",0.000438778,"Complement_C4"
"cg03317682",-0.010789863,"Complement_C4"
"cg07048094",0.024597212,"Complement_C4"
"cg24580056",-0.008806607,"Complement_C4"
