"pred.var","coef"
"cg23128025",-0.002915907
"cg22077389",0.002416445
"cg17142856",0.004591195
"cg27576679",0.026689591
"cg09871980",0.001496336
"cg17509537",0.001727136
"cg09276315",-0.01578169
"cg00878630",0.001614911
"cg21510910",0.023973828
"cg10120605",-0.007630609
"cg24047689",0.019471721
"cg21826815",-0.000698988
"cg09217609",0.027155918
"cg08105748",-0.002174632
"cg12996119",0.002580092
"cg25981124",0.026401636
"cg00486627",0.007038831
"cg25901444",0.017935393
"cg26833667",0.002488064
"cg23797577",-0.001779113
"cg16571354",0.000964711
"cg05755010",0.016814276
"cg10727654",0.011723012
"cg08953547",0.005431232
"cg13037259",-0.00711429
"cg04526965",0.000188175
"cg25658278",5.43e-05
"cg22806837",0.002821158
"cg15886244",0.002272937
"cg07029998",0.0146455
"cg23943879",-0.012118924
"cg16338201",0.001042799
"cg19267259",0.015471995
"cg05531255",0.002649192
"cg09575269",0.00336493
"cg22900193",0.001648577
"cg00376639",-0.01682164
"cg15676488",-0.001154282
"cg10567273",-0.004011001
"cg24463006",0.000462057
"cg06890502",-0.009430686
"cg10207042",0.003851584
"cg23588161",0.026731602
"cg14134153",0.006254819
"cg02942287",0.002675718
"cg06636971",0.003903945
"cg02699447",0.007554522
"cg15166332",0.005373072
"cg19267760",-0.003310659
"cg02928476",0.015613517
"cg16184930",0.001153439
"cg11418427",-0.004016321
"cg23233200",-0.003833764
"cg24885055",-0.000700703
"cg21388169",0.002744787
"cg09859091",3.75e-05
"cg27202210",0.00744257
"cg05900883",0.017543782
"cg22159421",-0.000823112
"cg26422975",-0.011145703
"cg27305704",0.0043093
"cg25329734",0.009032556
"cg07724309",0.006239541
"cg16762684",-0.014151514
"cg09044633",-0.013641669
"cg22648885",0.010922734
"cg22932215",0.003346482
"cg26569670",0.019467421
"cg24436715",0.015635262
"cg04832466",0.006518905
"cg15059932",-0.000588542
"cg02141675",-0.012065994
"cg16340178",-0.002485788
"cg07678644",-0.000581351
"cg02650017",-0.004751566
"cg17935811",-0.000335968
"cg01229798",0.002011436
"cg02971546",-0.000756015
"cg25227364",-0.000501524
"cg11498079",-0.009066878
"cg17945447",-0.003237495
"cg27347434",-0.008404667
"cg03630710",0.001096671
"cg11252953",-0.000293455
"cg26691434",-0.005298787
"cg01620360",-0.032940644
"cg22159951",-0.007611907
"cg17657502",-0.006220115
"cg13782884",1.89e-05
"cg07921777",-0.003924505
"cg01122889",0.02097453
"cg17096807",0.01442408
"cg12778395",-4.71e-05
"cg11351746",0.00109628
"cg16637254",-0.00072488
"cg13602242",-0.017247317
"cg16379910",0.010990924
"cg14351425",-0.013656621
"cg08601457",0.004599593
"cg13363708",-0.007137967
"cg20014596",-0.011096517
"cg16234966",0.007677584
"cg13899718",-0.007155329
"cg21566689",0.000748961
"cg07974890",-0.002424096
"cg03725309",-0.000320596
"cg06394247",-0.010194554
"cg10658666",0.00593691
"cg26332926",-0.000442114
"cg02973171",0.01747
"cg06976598",-0.003075994
"cg14214856",0.011661127
"cg25843003",-0.029194932
"cg07833397",-0.001848651
"cg05024939",0.006379212
"cg16411857",-0.004784056
"cg02328239",0.018861603
"cg26257814",0.001746091
"cg25439807",-0.007047663
"cg01594260",0.005306813
"cg11826008",0.008610767
"cg05886620",0.002968934
"cg10154826",-0.002207914
"cg02481528",-0.000388951
"cg13561855",-0.004416975
"cg11491998",0.003103593
"cg17803175",0.013042946
"cg24112628",-0.005357365
"cg04403049",0.007112324
"cg00255919",-0.009342507
"cg11492723",-0.005254211
"cg09305680",-0.005075951
"cg23505644",-0.009250998
"cg07176842",0.019601975
"cg07301105",0.001815401
"cg20748038",-0.003669411
"cg00280220",-0.000401999
"cg23500537",0.002060539
"cg04018474",-0.020729866
"cg00812761",0.003427805
"cg18855195",-0.005791393
"cg07025011",0.023624119
"cg26038582",-0.000248041
"cg04521449",-0.003509564
"cg00512563",-0.001764594
"cg03484180",-0.011175606
"cg07839457",-0.112893551
"cg23351289",-0.015037481
"cg04767897",-0.008743253
"cg00387658",-0.0142545
"cg13410764",-0.011538777
"cg18745031",-0.010194664
"cg24239961",-0.004778853
"cg06951626",0.009130228
"cg11986743",-0.005678668
"cg19338056",-0.013227463
"cg23861386",0.0043211
"cg23589174",0.009079995
"cg02401978",-0.005899391
"cg06893273",-0.008297327
"cg19143336",0.001062531
"cg18062721",0.001985293
"cg05793930",0.007853897
"cg13868001",0.011483126
"cg27396284",0.004611575
"cg23280999",0.00306773
"cg19507267",0.015333418
"cg17096289",-0.00327338
"cg20536364",-0.00474333
"cg21356710",-0.002152501
"cg13872627",0.002110574
"cg03457472",-1.87e-05
"cg23586959",-0.011953758
"cg00849044",0.006098789
"cg26413730",0.006251704
"cg16465663",0.004820721
"cg09276072",0.007759234
"cg09239591",0.002670972
"cg23387863",-0.015529386
"cg10807643",0.012748019
"cg06090161",0.000776574
"cg07810162",0.00795937
"cg02683731",-0.003850264
"cg07914962",-0.004259158
"cg00753885",-0.004399843
"cg14255824",-0.0021056
"cg13041894",0.003151942
"cg16867657",0.082388275
"cg11855705",0.020824359
"cg03512172",0.014067747
"cg26886850",-0.018419764
"cg08994982",-0.014133066
"cg11751101",-0.012875666
"cg21149466",0.016321651
"cg12458003",0.011329376
"cg17166338",-0.023920821
"cg21743925",0.008842884
"cg18849279",0.007149765
"cg03978169",-0.015922188
"cg02849754",-0.008493525
"cg02897570",0.001547826
"cg14467134",0.010811037
"cg19700658",0.004137116
"cg02711665",-0.00456624
"cg14797865",-0.015015551
"cg14313373",0.002215634
"cg16571786",-0.008166454
"cg10173172",0.0386782
"cg01817897",0.000388109
"cg04809904",0.007853034
"cg05912499",0.017153948
"cg22590902",-0.040357887
"cg05236731",-0.008560131
"cg05437148",-0.009696331
"cg24485951",0.004774669
"cg05457730",-0.002272517
"cg04877893",-0.008054369
"cg10506742",-0.000464888
"cg11743665",-0.000757758
"cg08888553",-0.05794108
"cg05181597",0.002139918
"cg09502865",0.001620964
"cg09805172",-0.011945478
"cg16770400",4.26e-06
"cg19980718",0.007308632
"cg21638357",0.00957449
"cg03684977",0.00563308
"cg00181061",-0.006740817
"cg18787382",-0.013278622
"cg03984502",0.037594544
"cg17103314",0.01365528
"cg24135615",0.021804564
"cg19975218",0.01511848
"cg03915012",-0.004992365
"cg02658330",-0.095662623
"cg18043120",-0.005791982
"cg03438674",-0.004420125
"cg01473643",0.009415175
"cg08711320",-0.0174321
"cg03333188",-0.002152345
"cg09919743",0.02326009
"cg01179055",-0.060863512
"cg20171624",0.020430945
"cg00685622",-3.42e-05
"cg23110286",-0.004762833
"cg01931685",-0.001145819
