"pred.var","coef"
"cg11890080",-0.008696696
"cg25509822",-0.006312543
"cg06620654",0.11978856
"cg08042643",-0.008830664
"cg10768682",0.000373951
"cg10998611",-0.00533781
"cg18666238",-0.002801512
"cg15441629",-0.000624445
"cg22764374",-0.000282097
"cg19248982",0.002309762
"cg06156157",-0.003482091
"cg05278442",-0.016638557
"cg27245606",0.000803634
"cg25125898",0.007875306
"cg05866062",-0.001740986
"cg00113554",-0.008797929
"cg10302026",0.007520495
"cg10384373",-0.006083042
"cg03251287",0.000249504
"cg25129765",-0.004006786
"cg19808825",0.015873762
"cg00574958",-0.020055813
"cg19538089",0.000254091
"cg23782734",0.01225893
"cg22353329",-0.002186327
"cg13044277",-0.001187027
"cg02293668",0.014229265
"cg07258627",0.006988217
"cg06180356",0.022468501
"cg07365960",-0.008894193
"cg17713673",-0.004122908
"cg25974380",0.010860017
"cg05415146",-0.002301442
"cg16578636",-0.00425696
"cg14056187",0.000927123
"cg24145109",0.057470009
"cg01289544",-0.0010806
"cg26708797",-0.001032694
"cg18984103",0.00917706
"cg17514528",0.013258604
"cg17942763",-0.023501581
"cg01971676",0.005736791
"cg02481307",0.004861032
"cg07008193",0.005095457
"cg23598089",-0.009704836
"cg21723486",0.000618384
"cg15227231",-0.001271914
"cg05845030",-0.001342518
"cg25094735",0.000678396
"cg16704703",-5.55e-05
"cg19458497",0.004996691
"cg04292993",0.004207897
"cg06500161",0.07188867
"cg14476101",-0.054893646
"cg19838043",0.024336496
"cg04757345",-0.001678447
"cg14709481",0.004506348
"cg01836137",0.001344783
"cg00863378",0.039892127
"cg04247152",0.013127796
"cg07800658",0.016597509
"cg15564619",-0.005758393
"cg00108715",0.001232927
"cg26209487",-0.009210826
"cg19228683",0.008392347
"cg04113258",-0.002270565
"cg04225785",-0.008436648
"cg26234644",0.000895905
"cg27627493",-0.005759108
"cg03444566",-0.000570832
"cg13188263",-0.013839034
"cg06043908",0.004916668
"cg22620689",-0.002281894
"cg01444797",-0.012359146
"cg17822807",0.003670867
"cg14508633",0.006204033
"cg05816157",0.018069703
"cg06961539",0.004765398
"cg02893348",-0.002615328
"cg24204406",0.009929486
"cg21694161",-0.022269448
"cg23452119",-0.000976706
"cg16723805",0.004016732
"cg05769505",-0.013308538
"cg16643422",0.037996159
"cg11845620",0.003245492
"cg01649064",0.000118292
"cg21929717",-0.001147787
"cg17264541",-0.009917674
"cg15337107",0.005118502
"cg00994936",0.011619118
"cg17578330",0.001558256
"cg01408881",0.000619975
"cg05162256",0.000199209
"cg12968732",0.002770469
"cg25580656",0.011879003
"cg18281723",-0.028551642
"cg03909478",-0.000188542
"cg26697691",0.007690044
"cg18509239",-0.005184954
"cg25177139",0.010526293
"cg11687966",0.014477807
"cg05035024",-0.006961008
"cg15728744",0.001896815
"cg21852757",0.008676332
"cg08573478",0.004253629
"cg04387175",0.001134938
"cg11350208",0.005547014
