"pred.var","coef"
"cg01541629",0.003431384
"cg10889506",0.005150885
"cg16770933",0.008085407
"cg11523685",0.014692885
"cg03375579",-0.012956846
"cg22051865",-0.008904019
"cg05290904",0.01970685
"cg14324927",0.001087733
"cg09163117",0.000244876
"cg14723918",-0.007600355
"cg19750882",0.007843909
"cg15604233",0.006930309
"cg00419333",-0.005356459
"cg20522387",0.002507464
"cg00751937",0.004894117
"cg09509622",0.004059742
"cg09000112",0.011607916
"cg14498492",-0.00139151
"cg12535380",-0.00625771
"ch.1.171672612F",-0.019286622
"cg14022881",0.001762195
"cg02816363",0.008837161
"cg03143365",-0.003959633
"cg23966363",-7.48e-05
"cg03877020",-0.005832035
"cg04928129",-0.003987908
"cg04771248",0.005914844
"cg03721362",0.000554195
"cg10518543",-0.030732951
"cg07924892",-0.001140612
"cg06014307",0.007386883
"cg22766080",0.00290057
"cg22406469",-0.006732794
"cg03810198",0.007188017
"cg14010318",0.02204768
"cg09123368",0.00277666
"cg01203153",0.000190686
"cg16476235",0.001301751
"cg20472746",0.002528022
"cg03250220",-0.010599883
"cg03638795",-0.000725694
"cg21348975",0.006273654
"cg03547181",0.007725502
"cg16725094",0.014846167
"cg18384460",-0.009767781
"cg21128569",0.011041122
"cg13984040",-0.01400151
"cg27050612",-0.010626916
"cg07672814",0.001449087
"cg18748374",0.001241676
"cg21429551",-0.010648663
"cg20419542",0.00498064
"cg03411579",0.014068164
"cg25189904",-0.008040136
"cg00129811",0.001693764
"cg05144928",0.006973226
"cg20371266",0.014666082
"cg01078446",-0.006182095
"cg13066481",-0.018162537
"cg06837426",0.001756735
"cg01148088",0.023463064
"cg02347487",-0.007259349
"cg06992846",0.003147777
"cg09323728",0.004927819
"cg13105234",0.003185713
"cg05178136",0.002905787
"cg03507593",0.005721136
"cg05358715",0.019989177
"cg08825291",-0.037814901
"cg14238625",-0.000628806
"cg14522441",0.025280203
"cg19929123",-0.008319775
"cg26180383",0.012627725
"cg26791266",4.84e-05
"ch.2.219167520R",0.004105254
"ch.6.614588F",0.005716223
"cg23911637",0.020993284
"cg02892925",0.018778264
"cg20059928",-0.022335598
"cg08825200",0.008579431
"cg17835016",0.003637367
"cg03636183",-0.008922702
"cg14528056",0.000122822
"cg01901332",-0.002648054
"cg07434082",0.010777591
"cg10649130",0.010714275
"cg13442016",-0.000526787
"cg07794010",0.031019873
"cg21865762",0.000651622
"cg02083319",2.78e-05
"cg01511480",0.008800659
"cg10676309",0.014717823
"cg16007742",0.002050125
"cg25197238",-0.023666025
"cg19065106",0.002132471
"cg09548084",5.88e-05
"cg23471393",0.001572552
"cg19958890",-0.003651622
"cg23050227",-0.010118142
"cg04468741",0.039236227
"cg01272202",-0.003729059
"cg10815657",0.000763407
"cg19398496",0.002087284
"cg10927968",0.009238889
"cg22974210",0.003086275
"cg08836353",0.008955904
"cg00971034",-0.004818531
"cg14827056",0.009866413
"cg26953469",0.001356729
"cg07573872",-0.009737368
"cg19105674",-0.025037275
"cg24263283",-0.000390711
"cg17350544",0.017628767
"cg11231069",0.0065872
"cg17891977",-0.011186028
"cg24822825",-0.000702754
"cg12705326",0.014696863
"cg26385126",0.007828672
"cg06078830",0.002896803
"cg05997730",0.016063575
"cg20069977",0.001652551
"cg24089263",0.006390584
"cg22607220",-0.009272153
"cg24089887",0.015242365
"cg13472610",-0.006624558
"cg24235613",0.004504406
"cg16599007",0.012465838
"cg13380319",-0.008256299
"cg14971574",0.000836635
"cg12802093",-0.026882625
"cg05575921",-0.048181826
"cg13209683",-0.028923292
"cg24161838",0.007960365
"cg02585745",-0.004092899
"cg24690427",0.006052416
"cg10716862",0.011315822
"cg04294331",0.00494147
"cg11290286",0.00362164
"cg18111924",-0.012849303
"cg24543939",-0.008072437
"cg16288872",0.001650609
"cg10420542",0.006373836
"cg05697751",0.004933999
"cg03807873",-0.023212063
"cg27625815",0.005368998
"cg07990658",0.003765415
"cg21158781",0.000129489
"cg00152126",-0.00553913
"cg25208740",0.010520068
"cg19575244",-0.006252399
"cg22946979",-0.011790784
"cg14181874",0.01256589
"cg08376310",0.003908674
"cg26600753",0.012491643
"cg08713695",0.001714933
"cg26102082",0.001203826
"cg15407819",0.012587622
"cg11227064",0.026177761
"cg18496502",-0.005528337
